embryo,model_id,bin,n,mean_score,annotation_rate
6bba,constant,0,2246135,0.006516666617244482,0.04638501247698825
6bba,hgb_all_leaf15,0,2236865,0.006668518763035536,0.045865083498557134
6bba,hgb_all_leaf15,1,5202,0.13757164776325226,0.1255286428296809
6bba,hgb_all_leaf15,2,1991,0.24444438517093658,0.18282270215971874
6bba,hgb_all_leaf15,3,1103,0.34450045228004456,0.2302810516772439
6bba,hgb_all_leaf15,4,539,0.442947655916214,0.25788497217068646
6bba,hgb_all_leaf15,5,237,0.5421149134635925,0.3924050632911392
6bba,hgb_all_leaf15,6,106,0.6331748366355896,0.42452830188679247
6bba,hgb_all_leaf15,7,50,0.7421225905418396,0.32
6bba,hgb_all_leaf15,8,26,0.8481931090354919,0.6923076923076923
6bba,hgb_all_leaf15,9,16,0.9297031760215759,0.6875
6bba,hgb_all_leaf7,0,2238548,0.007174712605774403,0.04592441171688076
6bba,hgb_all_leaf7,1,3439,0.14557014405727386,0.12445478336725792
6bba,hgb_all_leaf7,2,2248,0.24444487690925598,0.18861209964412812
6bba,hgb_all_leaf7,3,1036,0.3428178131580353,0.22876447876447875
6bba,hgb_all_leaf7,4,543,0.4430971145629883,0.30755064456721914
6bba,hgb_all_leaf7,5,207,0.5438214540481567,0.3526570048309179
6bba,hgb_all_leaf7,6,60,0.6364696621894836,0.4
6bba,hgb_all_leaf7,7,18,0.7476872205734253,0.3888888888888889
6bba,hgb_all_leaf7,8,21,0.8365778923034668,0.6190476190476191
6bba,hgb_all_leaf7,9,15,0.9169262051582336,0.6666666666666666
6bba,hgb_all_leaf7_ambiguous_excluded,0,2238692,0.0069977776147425175,0.0459125239202177
6bba,hgb_all_leaf7_ambiguous_excluded,1,3275,0.14681071043014526,0.1316030534351145
6bba,hgb_all_leaf7_ambiguous_excluded,2,2326,0.24309174716472626,0.17798796216680998
6bba,hgb_all_leaf7_ambiguous_excluded,3,1001,0.3416941165924072,0.25374625374625376
6bba,hgb_all_leaf7_ambiguous_excluded,4,422,0.44436362385749817,0.3104265402843602
6bba,hgb_all_leaf7_ambiguous_excluded,5,265,0.5442623496055603,0.36981132075471695
6bba,hgb_all_leaf7_ambiguous_excluded,6,84,0.6381486058235168,0.39285714285714285
6bba,hgb_all_leaf7_ambiguous_excluded,7,25,0.7434960007667542,0.68
6bba,hgb_all_leaf7_ambiguous_excluded,8,23,0.8463361859321594,0.43478260869565216
6bba,hgb_all_leaf7_ambiguous_excluded,9,22,0.9261294007301331,0.6818181818181818
6bba,hgb_all_leaf7_high_confidence,0,2237383,0.007539978716522455,0.045861169053309156
6bba,hgb_all_leaf7_high_confidence,1,4952,0.14108742773532867,0.13247172859450726
6bba,hgb_all_leaf7_high_confidence,2,2014,0.24250856041908264,0.18371400198609733
6bba,hgb_all_leaf7_high_confidence,3,893,0.34407249093055725,0.2721164613661814
6bba,hgb_all_leaf7_high_confidence,4,528,0.4462733268737793,0.2821969696969697
