embryo,direction,model_id,subset,n,prevalence,auroc,average_precision,ap_over_prevalence,brier,interpretation,randomization_unit
6bba,44b6->6bba,quality,all,2246135,0.04638501247698825,0.6831608537843258,0.08377415056198868,1.8060607529975183,,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,quality,high_confidence,1677243,0.056084300247489484,0.6414139132982568,0.08671892970807227,1.5462246890020543,,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,quality,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6838308178156587,0.0846890076247535,1.8068459562285524,,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,constant,all,2246135,0.04638501247698825,0.5,0.04638501247698825,1.0,0.04582292214035988,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,constant,high_confidence,1677243,0.056084300247489484,0.5,0.056084300247489484,1.0,0.055395789444446564,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,constant,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5,0.046871183087198925,1.0,0.04630275070667267,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf15,all,2246135,0.04638501247698825,0.6725815455934778,0.08677800638025754,1.8708199426120318,0.04537387564778328,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf15,high_confidence,1677243,0.056084300247489484,0.6373450581180127,0.0927957312230264,1.6545758940298134,0.05476365238428116,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf15,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6735068742458657,0.08804277206745992,1.8783987573700789,0.045839134603738785,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7,all,2246135,0.04638501247698825,0.6798607995446811,0.09059510782402683,1.953111640726007,0.045297764241695404,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7,high_confidence,1677243,0.056084300247489484,0.6460363863542826,0.09683746285930134,1.7266411889240982,0.05467316880822182,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6807153587134767,0.0918032755596403,1.9586293648455582,0.04576442763209343,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_ambiguous_excluded,all,2246135,0.04638501247698825,0.6716217201398907,0.08736876807136285,1.8835559894417786,0.045346345752477646,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_ambiguous_excluded,high_confidence,1677243,0.056084300247489484,0.6362141430441453,0.0933659188001549,1.6647425106161375,0.054732657968997955,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_ambiguous_excluded,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.672481829342584,0.08859240315044432,1.8901251753263288,0.045812252908945084,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_high_confidence,all,2246135,0.04638501247698825,0.6719735627932533,0.08894018121556249,1.9174335947346353,0.04525795206427574,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_high_confidence,high_confidence,1677243,0.056084300247489484,0.6448302446440046,0.0983316579570904,1.753283138474961,0.05460185557603836,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_high_confidence,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6727511834589234,0.09021986350846793,1.924847156954057,0.04572085291147232,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_shuffled,all,2246135,0.04638501247698825,0.5170624467017293,0.05434185625702943,1.1715391104829087,0.045917801558971405,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_shuffled,high_confidence,1677243,0.056084300247489484,0.5170228512660251,0.06584470736519474,1.1740310046596714,0.05550820752978325,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_shuffled,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5168985034343607,0.054832627339766876,1.1698579751604843,0.04639878496527672,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_synthetic,all,2246135,0.04638501247698825,0.4951602802347954,0.04721768965043907,1.0179514271741097,0.04583626613020897,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_synthetic,high_confidence,1677243,0.056084300247489484,0.4931246317831385,0.056666567718631405,1.0103820047423697,0.055412281304597855,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_synthetic,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.49534738385017263,0.047725991907725446,1.0182374065304953,0.04631613940000534,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf15,all,2246135,0.04638501247698825,0.7021406114480717,0.09747749696576605,2.1014869191665073,0.04511517658829689,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf15,high_confidence,1677243,0.056084300247489484,0.6740641458974197,0.103281220094766,1.8415353251980566,0.05444176122546196,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf15,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.7029249104717727,0.0984961701866692,2.1014227441928957,0.04558650404214859,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf7,all,2246135,0.04638501247698825,0.7156193010703572,0.10241474819829151,2.207927576802955,0.04505620896816254,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf7,high_confidence,1677243,0.056084300247489484,0.6885797435035511,0.10760212473970353,1.918578359092929,0.0543663427233696,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_appearance_quality_leaf7,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.716314782505235,0.10334245548841423,2.2048185832253564,0.04552726075053215,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf15,all,2246135,0.04638501247698825,0.555477714135941,0.0589358336837212,1.270579235328641,0.04575128108263016,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf15,high_confidence,1677243,0.056084300247489484,0.544172552665943,0.06874470026953323,1.2257387533797477,0.05528119578957558,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf15,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5560787202355941,0.05986834247791521,1.2772953131252616,0.04621879383921623,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf7,all,2246135,0.04638501247698825,0.5590479771363437,0.059697155016406336,1.2869923242129617,0.04572917893528938,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf7,high_confidence,1677243,0.056084300247489484,0.5476073373645294,0.06960912855676306,1.241151770630837,0.05525660142302513,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_geometry_time_leaf7,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5596708104027602,0.06065255662280011,1.2940265772673667,0.04619808495044708,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf15,all,2246135,0.04638501247698825,0.5378189933240675,0.05145287130766909,1.1092563860620932,0.04583408311009407,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf15,high_confidence,1677243,0.056084300247489484,0.5163174321367838,0.058810451677319464,1.0486081027631617,0.05539160966873169,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf15,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5371858444414715,0.05188972099436902,1.107070860529243,0.046313993632793427,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf7,all,2246135,0.04638501247698825,0.5437329415214425,0.05246175408871155,1.1310065749090397,0.045814163982868195,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf7,high_confidence,1677243,0.056084300247489484,0.5184469792078563,0.059476036400725185,1.0604756792590548,0.05536825209856033,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_predicted_temporal_leaf7,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5429198124606505,0.05287993479591987,1.1281971418887013,0.046293940395116806,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C0.1,all,2246135,0.04638501247698825,0.689925716739258,0.09879305546464082,2.1298486340529146,0.04510153830051422,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C0.1,high_confidence,1677243,0.056084300247489484,0.670125141627096,0.10690269461463205,1.9061073088705847,0.05444241315126419,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C0.1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6907250648310199,0.1001443707828632,2.1365872202661302,0.04557109996676445,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C1,all,2246135,0.04638501247698825,0.6972933161261322,0.10312301446336163,2.223196868051319,0.0450204536318779,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C1,high_confidence,1677243,0.056084300247489484,0.6785575878274038,0.1114394398321489,1.9869988453165608,0.054336946457624435,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6982109654900859,0.10464915352310411,2.2326970780407938,0.0454883798956871,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C10,all,2246135,0.04638501247698825,0.6966047009383176,0.1033660861642191,2.228437174949545,0.045007750391960144,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C10,high_confidence,1677243,0.056084300247489484,0.6780879424154724,0.11183316824066941,1.9940191416701403,0.05432051420211792,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_all_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6974951254387114,0.1048800550851916,2.2376233791682463,0.04547552391886711,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C0.1,all,2246135,0.04638501247698825,0.744373828213961,0.11878728166473837,2.5608979133867673,0.045124441385269165,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C0.1,high_confidence,1677243,0.056084300247489484,0.7233724620756384,0.12420795241143126,2.214665278220908,0.05446917191147804,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C0.1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.7449741837750314,0.1199443051607102,2.559020217978419,0.0455961599946022,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C1,all,2246135,0.04638501247698825,0.7498976423934474,0.12444428966693112,2.682855582472212,0.04505321756005287,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C1,high_confidence,1677243,0.056084300247489484,0.7304316068976681,0.13018672156264746,2.321268536616449,0.05437605082988739,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.750669390961203,0.12584082758722015,2.6848229402084107,0.045523881912231445,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C10,all,2246135,0.04638501247698825,0.7505491699796172,0.1251702423252149,2.698506169149189,0.04504377022385597,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C10,high_confidence,1677243,0.056084300247489484,0.7312687217090772,0.13095419918417436,2.334952894237747,0.05436370149254799,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_appearance_quality_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.7513426673345067,0.12660118923060848,2.7010453095472378,0.04551428183913231,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C0.1,all,2246135,0.04638501247698825,0.5545487432384197,0.05736590142688746,1.23673355602409,0.04575006663799286,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C0.1,high_confidence,1677243,0.056084300247489484,0.5458171582205914,0.06734283267566751,1.2007430310888474,0.0553007498383522,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C0.1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5552124460254972,0.05815295606274111,1.240697422861156,0.04622823745012283,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C1,all,2246135,0.04638501247698825,0.5544130411753221,0.05735201516012433,1.2364341863350117,0.04574975743889809,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C1,high_confidence,1677243,0.056084300247489484,0.5457120797329841,0.0673303999773863,1.2005213523262284,0.05530019477009773,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5550747174005315,0.05813854407532415,1.2403899420922122,0.04622790217399597,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C10,all,2246135,0.04638501247698825,0.5543992866791664,0.05735064448575895,1.2364046363943695,0.0457497276365757,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C10,high_confidence,1677243,0.056084300247489484,0.5457014470616762,0.06732917451137696,1.2004995018974287,0.05530013516545296,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5550607566557233,0.05813711946262908,1.2403595478797935,0.046227868646383286,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,all,2246135,0.04638501247698825,0.548207400904219,0.05233322347548761,1.1282356235529805,0.045808613300323486,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,high_confidence,1677243,0.056084300247489484,0.5145596095810567,0.05803308010912894,1.0347473330867971,0.05536797270178795,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5470371967352513,0.05269323575356474,1.1242139046401816,0.04628835618495941,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,all,2246135,0.04638501247698825,0.5481530026814545,0.05231434888243938,1.1278287120951556,0.045808471739292145,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,high_confidence,1677243,0.056084300247489484,0.5145204212512445,0.05801555629623241,1.0344348782140573,0.055367738008499146,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5469836281855782,0.05267443071560232,1.1238126978277263,0.04628821462392807,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,all,2246135,0.04638501247698825,0.5481476030844596,0.05231246054361119,1.1277880019880033,0.04580846056342125,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,high_confidence,1677243,0.056084300247489484,0.5145164810530916,0.058013807099742146,1.0344036895127176,0.055367711931467056,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5469783102690183,0.052672549393511695,1.1237725596881123,0.046288199722766876,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,all,2246135,0.04638501247698825,0.5541493613983574,0.0507016649112209,1.0930613619296567,0.04562045633792877,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,high_confidence,1677243,0.056084300247489484,0.5724865557490553,0.06528317456640156,1.1640187053831317,0.055143069475889206,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5543330623326467,0.051234464183689946,1.0930909102160615,0.04609772935509682,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed314159,all,2246135,0.04638501247698825,0.46870003967025625,0.04184796384201661,0.9021871851986139,0.04592032730579376,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed314159,high_confidence,1677243,0.056084300247489484,0.49548390594189445,0.054189395583002356,0.9662132779382953,0.05552111938595772,"Matched sparse-GT membership, not true-cell status",
