embryo,feature,bin,n,mean_feature,annotation_rate,ambiguous_rate
6bba,t_norm,0,212816,0.04044623672962189,0.03774622208856477,0.008848018945943914
6bba,t_norm,1,235864,0.13633961975574493,0.043609876878201,0.009929450869992877
6bba,t_norm,2,209601,0.23225821554660797,0.045319440269846044,0.010448423433094307
6bba,t_norm,3,230486,0.32815417647361755,0.0467230113759621,0.010334684102288208
6bba,t_norm,4,228530,0.4293024241924286,0.04653218395834245,0.009863037675578699
6bba,t_norm,5,227011,0.5301839709281921,0.04802410455880993,0.009726400923303275
6bba,t_norm,6,223361,0.6311337947845459,0.04839251256933842,0.010901634573627446
6bba,t_norm,7,217172,0.7321189641952515,0.04978542353526237,0.011309008527802847
6bba,t_norm,8,233727,0.8382455706596375,0.05043063060750363,0.011616116238175307
6bba,t_norm,9,227567,0.9492475986480713,0.04682576999301305,0.010691356831174994
6bba,z_norm,0,216956,0.013709239661693573,0.03270248345286602,0.006176367558398938
6bba,z_norm,1,198867,0.10314974188804626,0.046146419466276456,0.01045422317428231
6bba,z_norm,2,239263,0.2065410166978836,0.04847385513012877,0.011681705905217271
6bba,z_norm,3,212135,0.3096006512641907,0.048648266434110354,0.011139133099205695
6bba,z_norm,4,220428,0.40461060404777527,0.05127751465331083,0.011808844611392382
6bba,z_norm,5,254356,0.5077675580978394,0.05141219393291292,0.011358096526128732
6bba,z_norm,6,210733,0.6107754707336426,0.05068499001105665,0.011777937010340099
6bba,z_norm,7,224182,0.7132135033607483,0.05039655280084931,0.011053519015799663
6bba,z_norm,8,231183,0.8313881754875183,0.04529312276421709,0.010117525942651492
6bba,z_norm,9,238032,0.9642539024353027,0.038511628688579685,0.008108153525576393
6bba,y_norm,0,219522,0.02908472716808319,0.03678446807153725,0.009106148814241852
6bba,y_norm,1,219978,0.1339247226715088,0.04641827819145551,0.011523879660693343
6bba,y_norm,2,226702,0.23748067021369934,0.04190523241965223,0.01000432285555487
6bba,y_norm,3,231860,0.33762919902801514,0.04686448719054602,0.01027775381695851
6bba,y_norm,4,222471,0.43141698837280273,0.04813211609603049,0.010486760072099284
6bba,y_norm,5,217346,0.5191791653633118,0.05364718007232707,0.011622022029390925
6bba,y_norm,6,224841,0.6088941693305969,0.05052459293456265,0.010665314600095179
6bba,y_norm,7,231181,0.7101992964744568,0.04753850878748686,0.010338219836405241
6bba,y_norm,8,226059,0.8263203501701355,0.050597410410556536,0.011337748110006679
6bba,y_norm,9,226175,0.9550013542175293,0.04146788990825688,0.008413838841604952
6bba,x_norm,0,219956,0.03044808655977249,0.03546618414592009,0.007274182109149103
6bba,x_norm,1,221774,0.13963976502418518,0.049365570355406854,0.012544301856845257
6bba,x_norm,2,229574,0.24758464097976685,0.04693911331422548,0.011948217132602124
6bba,x_norm,3,222475,0.34931889176368713,0.04736711990111248,0.010684346555792786
6bba,x_norm,4,226313,0.44711896777153015,0.050929464944567925,0.011307348671972004
6bba,x_norm,5,223002,0.5448410511016846,0.052654236284876366,0.011677025318158582
6bba,x_norm,6,225309,0.644504725933075,0.0492434833939168,0.010545517489314675
6bba,x_norm,7,226142,0.7483854293823242,0.04762936561983179,0.010223664776998523
6bba,x_norm,8,220866,0.8566251993179321,0.047254896634158265,0.009933624912843081
6bba,x_norm,9,230724,0.9672011137008667,0.037070265772091326,0.0075891541408782785
6bba,boundary_um,0,398156,0.0,0.02409105978561167,0.004902600990566512
6bba,boundary_um,1,230759,1.3074771165847778,0.03575158498693442,0.008298701242421748
6bba,boundary_um,2,253845,4.472195625305176,0.051933266363331954,0.010242470799109693
6bba,boundary_um,3,231928,7.6823530197143555,0.053839984822876066,0.012202062709116623
6bba,boundary_um,4,205108,10.935635566711426,0.051524075121399456,0.012105817423016167
6bba,boundary_um,5,239853,14.695441246032715,0.049442783705019325,0.011240217966838021
6bba,boundary_um,6,233053,19.403100967407227,0.05083822134879191,0.012040179701612938
6bba,boundary_um,7,225101,25.236480712890625,0.05239425857726088,0.012545479584719748
6bba,boundary_um,8,228332,34.93318176269531,0.06396825674894452,0.013979643676751398
6bba,response,0,224614,0.03070891834795475,0.012163088676574034,0.004465438485579705
6bba,response,1,224613,0.04206344857811928,0.015591261414076657,0.006437739578742103
6bba,response,2,224614,0.05367415398359299,0.020568619943547597,0.008067173016819966
6bba,response,3,224613,0.06608837842941284,0.02789241940582246,0.00991037918553245
6bba,response,4,224613,0.07990619540214539,0.033813715145606,0.010596002902770543
6bba,response,5,224614,0.09612268209457397,0.042900264453684986,0.011998361633736099
6bba,response,6,224613,0.11610589921474457,0.05703587949050144,0.014224466081660456
6bba,response,7,224614,0.1419953852891922,0.07227065098346497,0.014598377661232158
6bba,response,8,224613,0.1784336417913437,0.08413137262758612,0.013302880955243018
6bba,response,9,224614,0.25785669684410095,0.0974827927021468,0.010124035011174726
6bba,intensity,0,224582,0.2995948791503906,0.03794159816904293,0.011710644664309695
6bba,intensity,1,224621,0.4081538915634155,0.03751207589673272,0.010506586650402234
6bba,intensity,2,224620,0.47672751545906067,0.038754340664232924,0.009927878194283679
6bba,intensity,3,224604,0.5347967147827148,0.043213834125839255,0.010614236611992662
6bba,intensity,4,224600,0.5893805027008057,0.04357969723953695,0.010191451469278717
6bba,intensity,5,224565,0.6441277861595154,0.04404515396433104,0.009658673435308263
6bba,intensity,6,224696,0.7023044228553772,0.045630540819596256,0.01010253854096201
6bba,intensity,7,224619,0.7695310711860657,0.05103753466981867,0.0105066802006954
6bba,intensity,8,224607,0.8575635552406311,0.05574180680032234,0.010765470354886534
6bba,intensity,9,224621,1.0457671880722046,0.06639183335485106,0.009740852369101731
6bba,local_contrast,0,224614,0.08231687545776367,0.01710489996171209,0.00575654233485001
