embryo,variant_id,model_id,policy,seed,requested_keep,source_rule_role,baseline_score,delta,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,realized_keep,prevalence,annotation_recall,specificity,precision,phi,deleted_annotation_rate,deleted_rate_relative_to_population,candidate_nodes,matched_nodes,kept_matched_nodes,old_tp_endpoint_survival,old_tp_rematched_survival,newly_recovered_tp,baseline_edge_jaccard,baseline_division_jaccard,baseline_adj_edge_jaccard,baseline_edge_tp,baseline_edge_fp,baseline_edge_fn,baseline_count_ratio_of_sums,filtered_count_ratio_of_sums,baseline_count_ratio_mean_of_ratios,filtered_count_ratio_mean_of_ratios,rematched_nodes,rematched_gt_node_recall,gt_node_recall_mean_of_ratios,fp_retained_ratio,alpha0_score,alpha0_delta,count_effect,graph_effect,division_effect,count_share_of_positive_delta,break_even_weighted_tp_ratio,measured_weighted_tp_ratio,family
44b6,image_only_seed20260908__membership_tracklets__s20260908__r0.9,image_only_seed20260908,membership_tracklets,20260908,0.9,preregistered_descriptive,0.7030718155462877,-0.02900387876879218,71,0.6730735006228866,0.0,0,0,26,0.8792178487470323,0.6740679367774955,71,0.6740679367774955,15128,2650,4698,2602010,0.9001856409525464,0.0066036423820439605,0.9122485331098072,0.09989454760994317,0.006692134157824143,0.003281099381324428,0.005805570574942118,0.879146725256975,2890526,19088,17413,0.9219588271990019,0.9217092950717405,353,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9935241717163618,1.107900397988214,0.9973840432065503,17891,0.8858246274199139,0.8792178487470323,0.9608411892675852,0.6730735006228866,-0.036721044187598695,0.007547547049502001,-0.03655142581829407,-1.1102230246251565e-16,,0.9843680879535743,0.9437598711888484,image_only
44b6,image_only_seed314159__membership_tracklets__s20260908__r0.9,image_only_seed314159,membership_tracklets,20260908,0.9,preregistered_descriptive,0.7030718155462877,-0.025275166339985167,71,0.6768184243286501,0.0,0,0,26,0.8876781489064787,0.6777966492063026,71,0.6777966492063026,15223,2666,4603,2602164,0.9002389184529044,0.0066036423820439605,0.9267602682313495,0.09993738329018421,0.006798187969705214,0.0072155036092247824,0.004848072908358244,0.73415134071171,2890526,19088,17690,0.9344354335620711,0.9341235184029943,249,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9935829734590316,1.107900397988214,0.9976062851164496,18040,0.8932019606872308,0.8876781489064787,0.9666424945612763,0.6768184243286501,-0.03297612048183518,0.007556744940312055,-0.03283191128029722,0.0,,0.985085342414927,0.9496718962518594,image_only
44b6,image_plus_tabular_seed20260908__membership_tracklets__s20260908__r0.9,image_plus_tabular_seed20260908,membership_tracklets,20260908,0.9,preregistered_descriptive,0.7030718155462877,-0.0031336936757346834,71,0.6989447548106766,0.0,0,0,26,0.918600409263165,0.699938121870553,71,0.699938121870553,15764,2728,4062,2601896,0.9001462017639696,0.0066036423820439605,0.962070410729254,0.10026544191446933,0.00705793006330768,0.016840389719689305,0.002508401760038804,0.3798512419236129,2890526,19088,18364,0.9708671241422333,0.9708671241422333,201,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9934806431536062,1.107900397988214,0.9973279571865729,18626,0.9222161707184235,0.918600409263165,0.9891225525743292,0.6989447548106766,-0.010849789999808679,0.007697206947651414,-0.010830900623385986,-1.1102230246251565e-16,,0.987776025582661,0.9833733636981059,image_plus_tabular
44b6,image_plus_tabular_seed314159__membership_tracklets__s20260908__r0.9,image_plus_tabular_seed314159,membership_tracklets,20260908,0.9,preregistered_descriptive,0.7030718155462877,-0.0055670215597426465,71,0.6965315355273662,0.0,0,0,26,0.9135173512521216,0.6975047939865451,71,0.6975047939865451,15704,2720,4122,2601878,0.900139974523668,0.0066036423820439605,0.9565171835708298,0.10023479524893103,0.007017239086536725,0.015331449015356338,0.0028754746265347414,0.43543766609068313,2890526,19088,18258,0.9651278852152214,0.9650655021834061,234,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9934737702226448,1.107900397988214,0.9973160510852405,18563,0.9190968955785512,0.9135173512521216,0.9862218999274837,0.6965315355273662,-0.013263009283119076,0.007686019981256953,-0.0132530415409996,0.0,,0.9874242231469211,0.9796056592145868,image_plus_tabular
6bba,image_only_seed20260908__membership_tracklets__s20260908__r0.9,image_only_seed20260908,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6689079629333697,-0.028059951252768833,128,0.6376268943367602,0.0,0,0,125,0.8541056978595373,0.6408480116806009,128,0.6408480116806009,79016,14865,30041,2022513,0.9004414249366134,0.04638501247698825,0.9174753088197184,0.10038712424391255,0.04726248978374923,0.012547260593164633,0.03844881093988964,0.8289059091870292,2246135,104187,95589,0.9225895838760865,0.9225540582147171,1110,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.9602905210320077,1.0615908831920393,0.9562637697946086,96800,0.8557208652681642,0.8541056978595374,0.900636170857316,0.6376268943367602,-0.0349173467552899,0.006846250017852273,-0.03490620127062111,0.0,,0.9766758277385036,0.9357053540190424,image_only
6bba,image_only_seed314159__membership_tracklets__s20260908__r0.9,image_only_seed314159,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6689079629333697,-0.022292291900271377,128,0.6433062994792087,0.0,0,0,125,0.8596842351557004,0.6466156710330984,128,0.6466156710330984,79797,14985,29260,2022348,0.9003679654161482,0.04638501247698825,0.9258640713332758,0.10087219671065778,0.047698516773572106,0.018774424902894268,0.03451496288881838,0.7440973074210417,2246135,104187,96463,0.9315065248798049,0.9314591573313123,1139,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.9602121789219841,1.0615908831920393,0.956126909604938,97691,0.863597386868928,0.8596842351557004,0.907906694940927,0.6433062994792087,-0.029237941612841434,0.006885742250913096,-0.029178034151184695,2.220446049250313e-16,,0.977602784095176,0.9450228062309589,image_only
6bba,image_plus_tabular_seed20260908__membership_tracklets__s20260908__r0.9,image_plus_tabular_seed20260908,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6689079629333697,-0.007367655586370869,128,0.6581771055533643,0.0,0,0,125,0.8804703855239419,0.6615403073469989,128,0.6615403073469989,81766,15174,27291,2022375,0.9003799860649516,0.04638501247698825,0.9496866211715473,0.10201834965181228,0.048925149885654245,0.03630959918367413,0.02342688594923132,0.5050529189973479,2246135,104187,98945,0.9578547237287734,0.9578547237287734,879,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.960224998539988,1.0615908831920393,0.9562332704723135,99723,0.8815604529662927,0.8804703855239417,0.9193577703726143,0.6581771055533643,-0.014367135538685849,0.00695766913354845,-0.01432532471991943,1.1102230246251565e-16,,0.9791019612864316,0.968317688360356,image_plus_tabular
6bba,image_plus_tabular_seed314159__membership_tracklets__s20260908__r0.9,image_plus_tabular_seed314159,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6689079629333697,0.004274538440378173,128,0.6697798747202138,0.0,0,0,125,0.8946854162394611,0.6731825013737479,128,0.6731825013737479,83188,15145,25869,2022282,0.9003385816079621,0.04638501247698825,0.9599758127213568,0.10256224707602613,0.04945749405869211,0.04390897648763177,0.018628296247984167,0.4016016220158553,2246135,104187,100017,0.970561068611894,0.970561068611894,1228,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.9601808420779746,1.0615908831920393,0.9561092468313696,101168,0.8943343853042317,0.8946854162394611,0.9176007270524084,0.6697798747202138,-0.002764366371836302,0.007026570402963228,-0.0027520319625850553,0.0,1.643819678070688,0.9788637801073978,0.9851190365669175,image_plus_tabular
pooled,image_only_seed20260908__membership_tracklets__s20260908__r0.9,image_only_seed20260908,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6741160444705704,-0.028167887730079277,199,0.6430688943838031,0.0,0,0,151,0.863065309482714,0.6459481567404911,199,0.6459481567404911,94144,17515,34739,4624523,0.9002974889719216,0.023999053081369397,0.9166659906712634,0.10010499889695308,0.024435385011600114,0.008567118891308598,0.02005904658510011,0.835826585202733,5136661,123275,113002,0.9224889525856921,0.9224192842071739,1463,0.6782228342310963,0.0,0.6741160444705704,100476,19263,28407,1.0870971025691003,0.9787107917116127,1.0781133733956998,0.9709348221174621,114691,0.860281432364722,0.863065309482714,0.9092560867985257,0.6430688943838031,-0.0351539398472932,0.006953527906184143,-0.03512141563626375,3.3306690738754696e-16,,0.9778457167190432,0.9369865076973783,image_only
pooled,image_only_seed314159__membership_tracklets__s20260908__r0.9,image_only_seed314159,membership_tracklets,20260908,0.9,preregistered_descriptive,0.6741160444705704,-0.022714299481450206,199,0.6484501890346268,0.0,0,0,151,0.8696720134285911,0.6514017449891202,199,0.6514017449891202,95020,17651,33863,4624512,0.9002953475029791,0.023999053081369397,0.9260028391806936,0.10033677837692928,0.024684334260566303,0.01345492937605407,0.017811222905834045,0.7421635697643837,5136661,123275,114153,0.9319738046896772,0.9318842310601537,1388,0.6782228342310963,0.0,0.6741160444705704,100476,19263,28407,1.0870971025691003,0.97870846372693,1.0781133733956998,0.970926083782412,115731,0.8680823294678888,0.8696720134285911,0.9163162539583658,0.6484501890346268,-0.029772645196469494,0.006988371872298282,-0.029702671353748933,4.440892098500626e-16,,0.9787408844602565,0.9457622693587132,image_only
