embryo,variant_id,model_id,policy,seed,requested_keep,source_rule_role,baseline_score,delta,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,realized_keep,prevalence,annotation_recall,specificity,precision,phi,deleted_annotation_rate,deleted_rate_relative_to_population,candidate_nodes,matched_nodes,kept_matched_nodes,old_tp_endpoint_survival,old_tp_rematched_survival,newly_recovered_tp,baseline_edge_jaccard,baseline_division_jaccard,baseline_adj_edge_jaccard,baseline_edge_tp,baseline_edge_fp,baseline_edge_fn,baseline_count_ratio_of_sums,filtered_count_ratio_of_sums,baseline_count_ratio_mean_of_ratios,filtered_count_ratio_mean_of_ratios,rematched_nodes,rematched_gt_node_recall,gt_node_recall_mean_of_ratios,fp_retained_ratio,alpha0_score,alpha0_delta,count_effect,graph_effect,division_effect,count_share_of_positive_delta,break_even_weighted_tp_ratio,measured_weighted_tp_ratio
44b6,identity__identity__s20260908__r1,identity,identity,20260908,1.0,baseline,0.7030718155462877,0.0,71,0.7097945448104853,0.0,0,0,26,0.9389252081032711,0.7030718155462877,71,0.7030718155462877,16030,2758,3796,2890526,1.0,0.0066036423820439605,1.0,0.0,0.0066036423820439605,,,,2890526,19088,19088,1.0,1.0,0,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,1.1036880911197913,1.107900397988214,1.107900397988214,19088,0.9450908550774868,0.9389252081032708,1.0,0.7097945448104853,0.0,0.0,0.0,0.0,,1.0,1.0
44b6,random__random_nodes__s0__r0.9,random,random_nodes,0,0.9,preregistered_descriptive,0.7030718155462877,-0.11574869686892697,71,0.5864601415409267,0.0,0,0,26,0.8653115295058241,0.5873231186773608,71,0.5873231186773608,13176,2641,6650,2601508,0.9000119701396908,0.0066036423820439605,0.9037615255658005,0.10001295518134119,0.006631153930720182,0.001019089016231312,0.006356005508307441,0.9624999569313638,2890526,19088,17251,0.8147223955084217,0.8145352464129757,119,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9933324933084381,1.107900397988214,0.9971290609024763,17680,0.8753775313165322,0.8653115295058242,0.957577955039884,0.5864601415409267,-0.12333440326955858,0.007094122490137855,-0.12284281935906494,1.1102230246251565e-16,,0.9839466334622882,0.8219567227682654
44b6,random__random_nodes__s0__r0.8,random,random_nodes,0,0.8,preregistered_descriptive,0.7030718155462877,-0.2218282401140786,71,0.47536022403902617,0.0,0,0,26,0.782602605728718,0.48124357543220914,71,0.48124357543220914,10524,2313,9302,2312450,0.8000101019676004,0.0066036423820439605,0.8029128248113998,0.2000091939996615,0.0066276027589785725,0.0005916764683102269,0.006507794822826064,0.9854856526636698,2890526,19088,15326,0.6447286338116033,0.6442919525888958,196,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.8829616223171705,1.107900397988214,0.8863383371671342,16053,0.7948210130217359,0.7826026057287179,0.8386511965192168,0.47536022403902617,-0.23443432077145915,0.01297573062598359,-0.23480397074006218,0.0,,0.9590978380657004,0.6564900804925697
44b6,random__random_nodes__s0__r0.7,random,random_nodes,0,0.7,preregistered_descriptive,0.7030718155462877,-0.3212064486372786,71,0.37315620705451213,0.0,0,0,26,0.6985401245065105,0.38186536690900913,71,0.38186536690900913,8146,2004,11680,2023399,0.7000106555000716,0.0066036423820439605,0.7026927912824812,0.30000717410579647,0.006628944661927776,0.0004772061275867502,0.006544600733225929,0.9910592298307109,2890526,19088,13413,0.4947598253275109,0.49426076107298816,223,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.772593424132388,1.107900397988214,0.77554761588235,14381,0.7120364410556023,0.6985401245065105,0.7266134880348079,0.37315620705451213,-0.3366383377559732,0.017784409139091795,-0.3389908577763704,0.0,,0.9355948101370293,0.5081575559582646
44b6,random__random_nodes__s0__r0.5,random,random_nodes,0,0.5,preregistered_descriptive,0.7030718155462877,-0.49402976653656944,71,0.19999048344118767,0.0,0,0,26,0.5180389972138362,0.2090420490097183,71,0.2090420490097183,4203,1190,15623,1445282,0.5000065731980962,0.0066036423820439605,0.4990046102263202,0.49998676621260846,0.006590409345719382,-0.00016338499129810112,0.006616875766306589,1.0020039522883024,2890526,19088,9525,0.24784778540237057,0.2472239550842171,240,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.5518513003203549,1.107900397988214,0.5539604208772995,10721,0.5308214091201664,0.5180389972138362,0.43147208121827413,0.19999048344118767,-0.5098040613692977,0.02489879219648948,-0.5189285587330589,-2.7755575615628914e-17,,0.881841388091721,0.2621950227446305
44b6,random__random_nodes__s0__r0.3,random,random_nodes,0,0.3,preregistered_descriptive,0.7030718155462877,-0.6207070643113869,71,0.0771848490826593,0.0,0,0,26,0.3244912949863076,0.0823647512349008,71,0.0823647512349008,1565,450,18261,867190,0.300011139840984,0.0066036423820439605,0.2948449287510478,0.6999545175622807,0.006489927236245805,-0.0009191542169252992,0.006652380029812152,1.007380419009472,2890526,19088,5628,0.08833437305053025,0.08820960698689956,151,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.3311187222457684,1.107900397988214,0.3323905232404447,6700,0.3317324355102243,0.32449129498630763,0.16316171138506164,0.0771848490826593,-0.632609695727826,0.03015653532166352,-0.6508635996330504,-1.3877787807814457e-17,,0.8333361991230239,0.09762520302776491
44b6,random__random_nodes__s0__r0.1,random,random_nodes,0,0.1,preregistered_descriptive,0.7030718155462877,-0.6926555408620954,71,0.00956456078530078,0.0,0,0,26,0.11152830530240296,0.010416274684192412,71,0.010416274684192412,190,39,19636,289081,0.10000982520136474,0.0066036423820439605,0.0977577535624476,0.899975204061519,0.006454938235304292,-0.0006120296674705729,0.006620166868797918,1.0025023291386719,2890526,19088,1866,0.010355583281347473,0.010355583281347473,24,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.11037965306971825,1.107900397988214,0.1108090782203186,2323,0.11501708174481359,0.11152830530240296,0.014140681653372008,0.00956456078530078,-0.7002299840251845,0.03543667926268834,-0.7280922201247837,0.0,,0.8000302501590038,0.011852750539920793
44b6,random__random_tracklets__s0__r0.9,random,random_tracklets,0,0.9,preregistered_descriptive,0.7030718155462877,-0.034511526992871966,71,0.6676,0.0,0,0,26,0.8845877607300691,0.6685602885534158,71,0.6685602885534158,15021,2674,4805,2602253,0.9002697086966178,0.0066036423820439605,0.9243503772003353,0.09989036851918795,0.006780278474076118,0.006552381387410019,0.005009140640989618,0.7585420819591971,2890526,19088,17644,0.9266999376169682,0.9265127885215222,169,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.9936169562843408,1.107900397988214,0.997541831185895,17937,0.8881021933950587,0.8845877607300691,0.9695431472081218,0.6676,-0.042194544810485346,0.007510885701899062,-0.042022412694770916,-1.1102230246251565e-16,,0.9854302254026887,0.9370586350877621
44b6,random__random_tracklets__s0__r0.8,random,random_tracklets,0,0.8,preregistered_descriptive,0.7030718155462877,-0.08527593063695749,71,0.6102681169150889,0.0,0,0,26,0.7976242259182025,0.6177958849093302,71,0.6177958849093302,13634,2515,6192,2313286,0.8002993226838299,0.0066036423820439605,0.8270117351215424,0.1998782491559978,0.006824058936076214,0.005447880960604265,0.0057203243018501835,0.8662377474292646,2890526,19088,15786,0.8283218964441672,0.8280723643169058,360,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.8832808317773782,1.107900397988214,0.8867779194289673,16370,0.8105164133287122,0.7976242259182025,0.9118926758520667,0.6102681169150889,-0.09952642789539645,0.014425478648530499,-0.09970140928548799,0.0,,0.9678893160165174,0.8504935388685672
44b6,random__random_tracklets__s0__r0.7,random,random_tracklets,0,0.7,preregistered_descriptive,0.7030718155462877,-0.14887468256623715,71,0.5414568345323741,0.0,0,0,26,0.7043391135715539,0.5541971329800506,71,0.5541971329800506,12042,2414,7784,2024284,0.7003168281482333,0.0066036423820439605,0.7175188600167645,0.29979752305290935,0.006765849060704921,0.0030614824902482542,0.006224588509908317,0.9425992732183176,2890526,19088,13696,0.7175296319401123,0.7172177167810355,545,0.7097945448104853,0.0,0.7030718155462877,16030,2758,3796,1.1036880911197913,0.7729313432379905,1.107900397988214,0.7760071169296816,14586,0.722186463336139,0.7043391135715539,0.8752719361856418,0.5414568345323741,-0.16833771027811117,0.02049229860427565,-0.1693669811705127,-1.1102230246251565e-16,,0.9532108908030951,0.7513695345588153
