arm,seed,dataset,kind,index,added_by_module,depth,predicted_density10,frozen_native_response,frozen_native_intensity,boundary
G30,20260916,6bba_55c70843,false_fork_sample,27549,False,middle,middle,middle,middle,False
G30,20260916,6bba_784a78c9,false_fork_sample,5313,False,high,low,middle,middle,True
G30,20260916,6bba_cff5865f,false_fork_sample,44440,False,low,middle,middle,middle,True
G30,20260916,6bba_705ec2c9,false_fork_sample,1228,False,high,low,high,middle,True
G30,20260916,6bba_b329af44,false_fork_sample,17943,False,high,high,middle,high,False
G30,20260916,44b6_1574802b,false_fork_sample,13261,False,middle,low,high,high,False
G30,20260916,6bba_3a1849c2,false_fork_sample,5164,False,high,middle,high,high,True
G30,20260916,6bba_f17befbc,false_fork_sample,668,False,middle,low,middle,middle,True
G30,20260916,6bba_32db13fc,false_fork_sample,3841,False,middle,middle,middle,middle,False
G30,20260916,6bba_cdcfe533,false_fork_sample,25961,False,low,middle,high,high,True
G30,20260916,44b6_1d530831,false_fork_sample,14960,False,middle,high,middle,middle,False
G30,20260916,44b6_9be80b04,false_fork_sample,21595,False,middle,high,high,high,False
G30,20260916,6bba_96833384,false_fork_sample,2453,False,high,low,high,high,True
G30,20260916,6bba_12665c0e,false_fork_sample,1815,False,middle,low,high,high,False
G30,20260916,44b6_8f5ab931,false_fork_sample,19179,False,high,low,high,high,True
G30,20260916,6bba_4ffd3da3,false_fork_sample,1723,False,high,low,middle,middle,True
