arm,source,seed,step,application,score,delta,lost_supported_edges,clips,division_tp,division_fp,division_fn
G30,44b6,20260916,4096,protected,0.925583053312909,0.0,0,16,2,5,2
G30,44b6,20260916,4096,replacement,0.925583053312909,0.0,0,16,2,5,2
G30,6bba,20260916,4096,protected,0.9398739377416004,0.0,0,22,3,15,18
G30,6bba,20260916,4096,replacement,0.9398739377416004,0.0,0,22,3,15,18
J_mined,44b6,20260916,3072,protected,0.9174033215455286,-0.008179731767380405,2,16,2,9,2
J_mined,44b6,20260916,3072,replacement,0.9174033215455286,-0.008179731767380405,2,16,2,9,2
J_mined,44b6,20260916,4096,protected,0.9121409527188964,-0.01344210059401263,11,16,2,11,2
J_mined,44b6,20260916,4096,replacement,0.9133125550418592,-0.012270498271049868,11,16,2,10,2
J_mined,44b6,314159,3072,protected,0.925583053312909,0.0,0,16,2,5,2
J_mined,44b6,314159,3072,replacement,0.925583053312909,0.0,0,16,2,5,2
J_mined,44b6,314159,4096,protected,0.925583053312909,0.0,0,16,2,5,2
J_mined,44b6,314159,4096,replacement,0.925583053312909,0.0,0,16,2,5,2
J_uniform,44b6,20260916,3072,protected,0.9215745227396485,-0.00400853057326056,1,16,2,7,2
J_uniform,44b6,20260916,3072,replacement,0.9215745227396485,-0.00400853057326056,1,16,2,7,2
J_uniform,44b6,20260916,4096,protected,0.9149447479599611,-0.010638305352947963,3,16,2,11,2
J_uniform,44b6,20260916,4096,replacement,0.9161173026399675,-0.00946575067294153,3,16,2,10,2
J_uniform,44b6,314159,3072,protected,0.925583053312909,0.0,0,16,2,5,2
J_uniform,44b6,314159,3072,replacement,0.925583053312909,0.0,0,16,2,5,2
J_uniform,44b6,314159,4096,protected,0.9153166806513131,-0.010266372661595913,7,16,2,9,2
J_uniform,44b6,314159,4096,replacement,0.9153166806513131,-0.010266372661595913,7,16,2,9,2
