arm,source,target,seed,dataset,status,missing_reason,clips_expected,clips_scored,frames,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,estimated_total,matched_nodes,edge_weight,adjusted_edge_contribution,edge_jaccard,adj_edge_jaccard,division_jaccard,score,delta_C00,delta_C01,disabled_policy,accepted_actions,changed_edges,introduced_division_fp,newly_recovered_division_tp,lost_division_tp,metric_revision
C00,44b6,6bba,20260918,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C01,44b6,6bba,20260918,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C11,44b6,6bba,20260918,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,314159,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C01,44b6,6bba,314159,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C11,44b6,6bba,314159,,pending,complete frozen prediction and official score pending,128,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,6bba,44b6,20260918,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C01,6bba,44b6,20260918,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C11,6bba,44b6,20260918,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,6bba,44b6,314159,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C01,6bba,44b6,314159,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C11,6bba,44b6,314159,,pending,complete frozen prediction and official score pending,71,0,,,,,,,,,,,,,,,,,,,,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
