dataset,embryo,nodes,valid_regions,invalid_regions,seed_collisions,isotropic_inertia_regions,anisotropic_inertia_regions,regions_with_nonzero_intensity_std,candidate_edges,both_endpoint_regions_valid,finite_HOCT_edges,missing_region_edges,valid_endpoint_edges_without_HOCT_score
44b6_0113de3b,44b6,25650,23162,2488,0,7,23155,23162,108469,87600,87451,20869,149
44b6_0b24845f,44b6,20498,15914,4584,1,16,15898,15914,73345,41979,41485,31366,494
44b6_0c582fdc,44b6,27580,23258,4322,0,22,23236,23258,132956,91030,90919,41926,111
44b6_0db75fae,44b6,17809,13435,4374,3,15,13420,13435,88670,47406,47251,41264,155
44b6_12dfb391,44b6,44829,40864,3965,4,41,40823,40864,222162,180361,180170,41801,191
44b6_144b256d,44b6,29891,27365,2526,1,113,27252,27365,116236,95697,95143,20539,554
44b6_1574802b,44b6,19610,16457,3153,4,10,16447,16457,94012,65583,65531,28429,52
44b6_18ced818,44b6,73496,57242,16254,3,77,57165,57242,478581,281487,281281,197094,206
44b6_1d530831,44b6,36229,30624,5605,2,15,30609,30624,191885,132314,132166,59571,148
44b6_24264f12,44b6,27034,23209,3825,1,24,23185,23209,137545,98303,98214,39242,89
44b6_267148e4,44b6,22305,15112,7193,1,16,15096,15112,119194,53614,53504,65580,110
44b6_2a2eff9f,44b6,39990,34877,5113,1,86,34791,34877,199568,148064,147755,51504,309
44b6_2f31fc2f,44b6,19728,14187,5541,0,11,14176,14187,88636,43494,43151,45142,343
44b6_33b596bf,44b6,23912,18767,5145,1,19,18748,18767,120414,74947,74882,45467,65
44b6_341df25f,44b6,8389,7429,960,0,4,7425,7429,22866,17261,17219,5605,42
44b6_3a861e03,44b6,36679,32417,4262,1,7,32410,32417,169388,131382,131214,38006,168
44b6_3bb3690f,44b6,16203,13562,2641,3,8,13554,13562,69747,47502,47402,22245,100
44b6_40c45f5a,44b6,29929,24461,5468,0,16,24445,24461,156302,100656,100546,55646,110
44b6_415c0a3a,44b6,34241,30664,3577,2,64,30600,30664,154122,120011,119679,34111,332
44b6_53f95252,44b6,31473,27143,4330,0,21,27122,27143,128752,90661,90438,38091,223
44b6_551a5dba,44b6,31654,26503,5151,0,30,26473,26503,160252,107053,106850,53199,203
44b6_5740d24b,44b6,11447,9621,1826,0,9,9612,9621,38258,25725,25583,12533,142
44b6_587a1e22,44b6,18801,15704,3097,0,14,15690,15704,85113,57890,57714,27223,176
44b6_5f15d135,44b6,21935,17975,3960,2,20,17955,17975,97212,62652,62422,34560,230
44b6_668e0cc7,44b6,33926,30401,3525,2,22,30379,30401,171501,135505,135240,35996,265
44b6_66f9292d,44b6,23697,21597,2100,1,70,21527,21597,85699,68768,68245,16931,523
44b6_706092f0,44b6,29809,27120,2689,2,85,27035,27120,119194,95026,94534,24168,492
44b6_71a4179f,44b6,31997,29216,2781,2,81,29135,29216,126141,102042,101608,24099,434
44b6_74d0c52e,44b6,8706,7386,1320,1,6,7380,7386,25828,17464,17270,8364,194
44b6_7a302da0,44b6,44857,38006,6851,3,39,37967,38006,228441,156312,155936,72129,376
44b6_7e557709,44b6,45003,42230,2773,2,58,42172,42230,225589,196935,196744,28654,191
44b6_808952d6,44b6,15095,13737,1358,0,9,13728,13737,45633,35896,35801,9737,95
44b6_81c256f0,44b6,11284,10351,933,0,7,10344,10351,31788,25894,25856,5894,38
44b6_87bba6c4,44b6,29253,19718,9535,0,29,19689,19718,150180,66671,66524,83509,147
44b6_8cc6506c,44b6,18916,15367,3549,0,13,15354,15367,90685,58328,58197,32357,131
44b6_8f5ab931,44b6,27899,22390,5509,3,20,22370,22390,150488,94219,94112,56269,107
44b6_8f9ecab4,44b6,41115,37261,3854,3,173,37088,37261,204655,162690,162245,41965,445
44b6_90724892,44b6,23407,19845,3562,0,14,19831,19845,117958,82699,82607,35259,92
44b6_949adeb1,44b6,39204,30915,8289,3,16,30899,30915,217167,130148,130003,87019,145
44b6_95029e92,44b6,4791,4521,270,0,3,4518,4521,7311,6235,6125,1076,110
44b6_97725144,44b6,33822,28839,4983,0,10,28829,28839,124570,85500,84975,39070,525
44b6_996155de,44b6,9281,8590,691,1,3,8587,8590,19807,16229,16002,3578,227
44b6_9be80b04,44b6,26099,22467,3632,0,34,22433,22467,113646,80181,79984,33465,197
44b6_9bfa6a0a,44b6,39731,36226,3505,2,141,36085,36226,188526,151478,151133,37048,345
44b6_a21120c2,44b6,22022,19152,2870,0,4,19148,19152,104712,77628,77524,27084,104
44b6_a2bb48bb,44b6,46816,35654,11162,2,44,35610,35654,252324,139190,138937,113134,253
44b6_aaf8b0ea,44b6,15427,13879,1548,1,17,13862,13879,47412,35880,35545,11532,335
44b6_abf82518,44b6,26447,23563,2884,1,26,23537,23563,133474,104969,104899,28505,70
44b6_b2c44266,44b6,37972,34192,3780,2,35,34157,34192,164050,128380,128010,35670,370
44b6_c15fded2,44b6,19539,15896,3643,0,8,15888,15896,88752,58229,58129,30523,100
44b6_c50204e0,44b6,38081,29425,8656,1,30,29395,29425,200521,113242,113016,87279,226
44b6_c771cb04,44b6,29877,25041,4836,1,20,25021,25041,151720,103182,102903,48538,279
44b6_c8e2a523,44b6,28827,26718,2109,0,15,26703,26718,134302,115230,115079,19072,151
44b6_c96cfa10,44b6,38261,33410,4851,1,24,33386,33410,209354,154458,154287,54896,171
44b6_cf2536e8,44b6,22510,20268,2242,0,43,20225,20268,78786,62565,62178,16221,387
44b6_cf8fed6b,44b6,41645,35262,6383,2,22,35240,35262,213555,149506,149194,64049,312
44b6_d29c9ab2,44b6,36511,33147,3364,0,18,33129,33147,169685,139480,139352,30205,128
44b6_d2f34f90,44b6,15396,12132,3264,2,9,12123,12132,68725,40624,40509,28101,115
44b6_d5e7d891,44b6,43396,33676,9720,2,36,33640,33676,259517,151279,151179,108238,100
44b6_d754aa59,44b6,5607,4869,738,0,1,4868,4869,12206,7882,7756,4324,126
44b6_d78e09d9,44b6,23584,20263,3321,0,23,20240,20263,117979,84555,84435,33424,120
44b6_db3c847b,44b6,15572,13220,2352,0,6,13214,13220,64667,44734,44604,19933,130
44b6_ddf577ad,44b6,38286,33788,4498,1,64,33724,33788,208994,156965,156708,52029,257
44b6_deabac95,44b6,15694,12899,2795,1,15,12884,12899,65120,42775,42751,22345,24
44b6_e28840c6,44b6,27352,25065,2287,0,157,24908,25065,116914,96771,96416,20143,355
44b6_e29f0176,44b6,13522,9352,4170,0,11,9341,9352,55956,24284,24145,31672,139
44b6_e31261b4,44b6,66901,56080,10821,3,60,56020,56080,411109,282832,282621,128277,211
44b6_e35b117d,44b6,19836,16083,3753,0,13,16070,16083,83187,52349,52066,30838,283
44b6_e57ff5c6,44b6,17505,12311,5194,0,10,12301,12311,73997,33415,33134,40582,281
44b6_eb2880fc,44b6,37271,33509,3762,3,43,33466,33509,183128,145728,145323,37400,405
44b6_f28707c6,44b6,21689,15810,5879,2,12,15798,15810,102792,53196,53116,49596,80
6bba_05b6850b,6bba,6100,5594,506,0,0,5594,5594,9484,7642,7545,1842,97
6bba_05db0fb1,6bba,69764,58215,11549,3,39,58176,58215,271816,184772,184682,87044,90
6bba_062c8d37,6bba,5894,5475,419,0,0,5475,5475,9668,7700,7523,1968,177
6bba_07477033,6bba,4601,4001,600,0,0,4001,4001,7353,5358,5196,1995,162
6bba_07e24132,6bba,29079,25175,3904,0,21,25154,25175,94116,66596,66273,27520,323
6bba_085bf656,6bba,8272,7729,543,0,0,7729,7729,12961,10933,10883,2028,50
6bba_09961292,6bba,29678,25229,4449,2,14,25215,25229,103844,73078,73038,30766,40
6bba_0c7fa718,6bba,12495,10356,2139,0,1,10355,10356,36674,23531,23325,13143,206
6bba_0e7c0d07,6bba,22250,16848,5402,0,18,16830,16848,67660,36171,36019,31489,152
6bba_12665c0e,6bba,8104,7189,915,0,1,7188,7189,14700,10589,10491,4111,98
6bba_13f19531,6bba,5718,5274,444,0,3,5271,5274,8272,6602,6455,1670,147
6bba_15403b9a,6bba,6313,5717,596,0,3,5714,5717,11294,8505,8293,2789,212
6bba_1d0d8384,6bba,17283,14915,2368,0,13,14902,14915,44209,30850,30749,13359,101
6bba_1ebfb80d,6bba,11409,8840,2569,0,7,8833,8840,29016,16301,16198,12715,103
6bba_1f58c2f6,6bba,31909,26720,5189,0,32,26688,26720,97235,64710,64553,32525,157
6bba_207c6aaf,6bba,17356,12940,4416,1,6,12934,12940,43642,23323,23239,20319,84
6bba_20852818,6bba,9912,9018,894,0,3,9015,9018,22153,17660,17603,4493,57
6bba_2312ac41,6bba,12337,10323,2014,2,3,10320,10323,22416,15122,15061,7294,61
6bba_23af9eeb,6bba,4142,3851,291,0,1,3850,3851,6001,5069,4951,932,118
6bba_2540cd90,6bba,3480,3381,99,0,1,3380,3381,4232,3931,3874,301,57
6bba_2646afc7,6bba,5237,4797,440,0,1,4796,4797,8043,6467,6398,1576,69
6bba_268e1230,6bba,4650,3766,884,0,0,3766,3766,7991,4931,4743,3060,188
6bba_2819ca14,6bba,4957,4549,408,0,0,4549,4549,7717,5913,5771,1804,142
6bba_283bf9f1,6bba,21705,17174,4531,0,6,17168,17174,47679,29102,28992,18577,110
6bba_312f0dc3,6bba,9545,8491,1054,0,5,8486,8491,18154,13470,13279,4684,191
6bba_32db13fc,6bba,44036,34834,9202,2,38,34796,34834,139743,83984,83786,55759,198
6bba_337b1b3a,6bba,29453,27844,1609,0,18,27826,27844,70853,61658,61537,9195,121
6bba_372c8cb8,6bba,6575,6094,481,0,4,6090,6094,9115,7508,7464,1607,44
6bba_3a1849c2,6bba,6581,5700,881,0,0,5700,5700,11440,7899,7842,3541,57
6bba_3abfe10a,6bba,53153,41019,12134,3,25,40994,41019,174482,100173,99907,74309,266
6bba_3c5691b6,6bba,6214,5701,513,0,1,5700,5701,8961,7209,7132,1752,77
6bba_3db54e20,6bba,22964,16594,6370,0,11,16583,16594,71238,33667,33443,37571,224
6bba_3fda6b25,6bba,8326,7828,498,0,2,7826,7828,12492,10648,10540,1844,108
6bba_43fea39d,6bba,5381,4588,793,0,0,4588,4588,8826,6023,5926,2803,97
6bba_474be664,6bba,26810,21477,5333,2,12,21465,21477,77099,46568,46293,30531,275
6bba_48816121,6bba,25184,21811,3373,1,12,21799,21811,55042,40353,40192,14689,161
6bba_4aa14c89,6bba,7105,6147,958,1,5,6142,6147,13038,9200,9079,3838,121
6bba_4f99ce20,6bba,5382,4798,584,0,2,4796,4798,9431,6595,6434,2836,161
6bba_4ffd3da3,6bba,20132,15580,4552,1,19,15561,15580,42013,24215,24121,17798,94
6bba_55b7eebe,6bba,4569,4315,254,0,0,4315,4315,6300,5395,5280,905,115
6bba_55c70843,6bba,37687,28706,8981,3,23,28683,28706,133927,75639,75433,58288,206
6bba_57b7cc1e,6bba,76149,53608,22541,3,52,53556,53608,239126,115763,115571,123363,192
6bba_5a4d9360,6bba,5550,4815,735,0,1,4814,4815,9480,6630,6460,2850,170
6bba_5b28472a,6bba,5838,5460,378,0,2,5458,5460,8446,7120,7066,1326,54
6bba_5c039895,6bba,7900,7325,575,0,1,7324,7325,11987,10105,10018,1882,87
6bba_5c824876,6bba,25375,22723,2652,0,14,22709,22723,59691,46516,46320,13175,196
6bba_5dfe9ad1,6bba,29772,27700,2072,0,9,27691,27700,66788,57202,56986,9586,216
6bba_5f89039d,6bba,4426,4189,237,0,0,4189,4189,5467,4767,4684,700,83
6bba_61dd1e0d,6bba,9584,8235,1349,0,7,8228,8235,16973,11866,11761,5107,105
6bba_61ecbe65,6bba,5525,4701,824,0,4,4697,4701,8677,5835,5698,2842,137
6bba_6321a359,6bba,4557,4153,404,0,1,4152,4153,6384,5062,4884,1322,178
6bba_6479435d,6bba,24338,19961,4377,0,13,19948,19961,67276,43831,43666,23445,165
6bba_67ebd073,6bba,15831,13684,2147,0,10,13674,13684,41768,29771,29528,11997,243
6bba_6ca87370,6bba,6371,5364,1007,0,1,5363,5364,12395,8136,8044,4259,92
6bba_6db0e9b4,6bba,25525,20332,5193,1,10,20322,20332,68791,40040,39903,28751,137
6bba_6feb10f0,6bba,11830,8989,2841,0,7,8982,8989,22765,13495,13321,9270,174
6bba_6feeb0b1,6bba,6858,6241,617,0,1,6240,6241,12342,9635,9510,2707,125
6bba_705ec2c9,6bba,5896,4884,1012,1,4,4880,4884,10258,6849,6716,3409,133
6bba_718b21f9,6bba,4107,3953,154,0,0,3953,3953,5036,4546,4449,490,97
6bba_74686d6a,6bba,26522,21670,4852,0,10,21660,21670,66782,41346,41196,25436,150
6bba_767a1e17,6bba,47923,36781,11142,1,19,36762,36781,159168,90498,90173,68670,325
