variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,delta_C0
C0,44b6,71,71,0.9022045813208359,0.14583333333333334,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16
C0,6bba,128,128,0.9232492451543781,0.11282051282051282,22,70,103,0.9795753914358454,0.9239397328152761,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16
C0,pooled,199,199,0.9199614488076027,0.11934156378600823,29,92,122,0.982494434312724,0.9228682178819851,199,0.934802374260586,123135,4965,5748,4108943,0.0
H_general_J,44b6,71,71,0.7749879917907515,0.12727272727272726,7,29,19,0.9877569341470968,0.7877557828762571,71,0.8004830556035298,17748,3075,2078,1972750,-0.13118141311831222
H_general_J,6bba,128,128,0.9152552822328498,0.11282051282051282,22,70,103,0.9795753914358454,0.915937159676304,128,0.9272192109583552,103919,4484,5138,2136193,-0.008002573138971791
H_general_J,pooled,199,199,0.8917122293721874,0.116,29,99,122,0.982494434312724,0.894422657469521,199,0.906022657469521,121667,7559,7216,4108943,-0.028779716791064947
H_probe_J,44b6,71,71,0.8236800446968991,0.06796116504854369,7,77,19,0.9877569341470968,0.8372460828303713,71,0.8440421993352256,17691,1652,2135,1972750,-0.08762226938661644
H_probe_J,6bba,128,128,0.9158631387826333,0.1116751269035533,22,72,103,0.9795753914358454,0.9165418353784347,128,0.92770934806879,103912,4401,5145,2136193,-0.007512436028537017
H_probe_J,pooled,199,199,0.9011901938696864,0.09666666666666666,29,149,122,0.982494434312724,0.9039201912417528,199,0.9135868579084195,121603,6053,7280,4108943,-0.021215516352166452
H_probe_native_J,44b6,71,71,0.8164806151280745,0.06722689075630252,8,93,18,0.9877569341470968,0.829997744814115,71,0.8367204338897453,17627,1763,2199,1972750,-0.09494403483209679
H_probe_native_J,6bba,128,128,0.9166174747359054,0.10628019323671498,22,82,103,0.9795753914358454,0.9173000184507453,128,0.9279280377744168,104037,4444,5020,2136193,-0.007293746322910244
H_probe_native_J,pooled,199,199,0.9006144052113406,0.09202453987730061,30,175,121,0.982494434312724,0.9033480694867864,199,0.9125505234745164,121664,6207,7219,4108943,-0.022251850786069616
J_native_frozen,44b6,71,71,0.7282024938121702,0.07766990291262135,8,77,18,0.9877569341470968,0.739553852443821,71,0.7473208427350831,15593,1587,4233,1972750,-0.1843436259867589
J_native_frozen,6bba,128,128,0.890181717441931,0.11274509803921569,23,79,102,0.9795753914358454,0.8909076368728408,128,0.9021821466767623,102824,6452,6233,2136193,-0.033039637420564705
J_native_frozen,pooled,199,199,0.8648500606184543,0.10097719869706841,31,156,120,0.982494434312724,0.8672376745148662,199,0.8773353943845731,118417,8039,10466,4108943,-0.0574669798760129
N_head_J,44b6,71,71,0.751517415258194,0.07096774193548387,11,129,15,0.9877569341470968,0.7632878585665229,71,0.7703846327600713,16096,1592,3730,1972750,-0.16127983596177076
N_head_J,6bba,128,128,0.895259412804724,0.06531204644412192,45,564,80,0.9795753914358454,0.8960011030103822,128,0.9025323076547943,102791,5760,6266,2136193,-0.03268947644253273
N_head_J,pooled,199,199,0.8726612104084853,0.06635071090047394,56,693,95,0.982494434312724,0.8751367710142095,199,0.8817718421042569,118887,7352,9996,4108943,-0.053030532156329135
Oracle_augmented,44b6,71,71,0.9682858683397872,0.04681647940074907,25,508,1,0.9986586442250444,0.9843600459393197,71,0.9890416938793946,19754,575,72,1972954,0.0573772251575525
Oracle_augmented,6bba,128,128,0.9615474206669176,0.073558648111332,111,1384,14,0.9914076947168425,0.9620395090489077,128,0.9693953738600408,107326,2561,1731,2137521,0.034173589762713785
Oracle_augmented,pooled,199,199,0.962588718290549,0.06656877141458639,136,1892,15,0.9939947169031859,0.9654887191860947,199,0.9721455963275534,127080,3136,1803,4110475,0.037343222066967385
Oracle_fixed,44b6,71,71,0.9541697236488139,0.047325102880658436,23,460,3,0.9877569341470968,0.9700475611562319,71,0.9747800714442978,19508,619,318,1972750,0.04311560272245574
Oracle_fixed,6bba,128,128,0.947167921592474,0.07003891050583658,90,1160,35,0.9795753914358454,0.9477999842402093,128,0.9548038752907929,105918,2769,3139,2136193,0.019582091193465878
Oracle_fixed,pooled,199,199,0.9482501833357274,0.06380575945793338,113,1620,38,0.982494434312724,0.9512387705958585,199,0.9576193465416518,125426,3388,3457,4108943,0.022816972281065828
P_DC_native_J,44b6,71,71,0.6605399923944734,0.06086956521739131,7,89,19,0.9834097593452772,0.6712972201807583,71,0.6773841767024975,15633,3841,4193,1970205,-0.25428029201934454
P_DC_native_J,6bba,128,128,0.8979764353191341,0.10945273631840796,22,76,103,0.9792942620131807,0.8982873027371024,128,0.9092325763689433,103041,5691,6016,2141912,-0.025989207728383756
P_DC_native_J,pooled,199,199,0.8573781743308168,0.09177215189873418,29,165,122,0.9807626052824212,0.8594752210706574,199,0.8686524362605309,118674,9532,10209,4112117,-0.06614993800005509
P_image_ablation,44b6,71,71,0.6646876722785293,0.061946902654867256,7,87,19,0.983629185337098,0.6755349226217322,71,0.6817296128872189,15674,3755,4152,1970144,-0.24993485583462316
P_image_ablation,6bba,128,128,0.8981077147016011,0.11,22,75,103,0.9792921442736297,0.8985021712520204,128,0.9095021712520204,103039,5672,6018,2140985,-0.02571961284530666
P_image_ablation,pooled,199,199,0.8583110404164558,0.0926517571884984,29,162,122,0.9808395307837113,0.8604876336918235,199,0.8697528094106733,118713,9427,10170,4111129,-0.06504956484991264
P_union_native_J,44b6,71,71,0.4272583310382815,0.023728813559322035,7,269,19,0.9809836428364918,0.4317804191671859,71,0.4341533005231181,12411,9222,7415,2043645,-0.49751116819872393
P_union_native_J,6bba,128,128,0.7438855560682972,0.00734341252699784,34,4505,91,0.9867340350370514,0.7284818975872569,128,0.7292162388399567,96720,20963,12337,2477559,-0.20600554525737036
P_union_native_J,pooled,199,199,0.686065079085674,0.008324873096446701,41,4774,110,0.9846823875685101,0.6743001354154422,199,0.6751326227250869,109131,30185,19752,4521204,-0.2596697515354991
