dataset,embryo,cap,edges,gt_transitions_covered,gt_transitions_lost_given_endpoints
44b6_0113de3b,44b6,4,99717,48,0
44b6_0113de3b,44b6,8,108469,48,0
44b6_0113de3b,44b6,16,108470,48,0
44b6_0b24845f,44b6,4,70731,49,0
44b6_0b24845f,44b6,8,73345,49,0
44b6_0b24845f,44b6,16,73345,49,0
44b6_0c582fdc,44b6,4,115047,70,0
44b6_0c582fdc,44b6,8,132956,70,0
44b6_0c582fdc,44b6,16,133005,70,0
44b6_0db75fae,44b6,4,76043,149,0
44b6_0db75fae,44b6,8,88670,149,0
44b6_0db75fae,44b6,16,88709,149,0
44b6_12dfb391,44b6,4,183812,761,0
44b6_12dfb391,44b6,8,222162,761,0
44b6_12dfb391,44b6,16,222973,761,0
44b6_144b256d,44b6,4,104933,119,0
44b6_144b256d,44b6,8,116236,119,0
44b6_144b256d,44b6,16,116292,119,0
44b6_1574802b,44b6,4,81374,145,0
44b6_1574802b,44b6,8,94012,145,0
44b6_1574802b,44b6,16,94048,145,0
44b6_18ced818,44b6,4,340423,99,0
44b6_18ced818,44b6,8,478581,99,0
44b6_18ced818,44b6,16,483985,99,0
44b6_1d530831,44b6,4,152605,256,5
44b6_1d530831,44b6,8,191885,261,0
44b6_1d530831,44b6,16,192938,261,0
44b6_24264f12,44b6,4,112046,218,0
44b6_24264f12,44b6,8,137545,218,0
44b6_24264f12,44b6,16,137754,218,0
44b6_267148e4,44b6,4,101215,269,6
44b6_267148e4,44b6,8,119194,271,4
44b6_267148e4,44b6,16,119248,271,4
44b6_2a2eff9f,44b6,4,167093,208,2
44b6_2a2eff9f,44b6,8,199568,210,0
44b6_2a2eff9f,44b6,16,199937,210,0
44b6_2f31fc2f,44b6,4,81548,81,4
44b6_2f31fc2f,44b6,8,88636,83,2
44b6_2f31fc2f,44b6,16,88647,83,2
44b6_33b596bf,44b6,4,102325,49,0
44b6_33b596bf,44b6,8,120414,49,0
44b6_33b596bf,44b6,16,120441,49,0
44b6_341df25f,44b6,4,22659,209,0
44b6_341df25f,44b6,8,22866,209,0
44b6_341df25f,44b6,16,22866,209,0
44b6_3a861e03,44b6,4,148332,906,0
44b6_3a861e03,44b6,8,169388,906,0
44b6_3a861e03,44b6,16,169462,906,0
44b6_3bb3690f,44b6,4,61494,391,0
44b6_3bb3690f,44b6,8,69747,391,0
44b6_3bb3690f,44b6,16,69763,391,0
44b6_40c45f5a,44b6,4,129997,198,0
44b6_40c45f5a,44b6,8,156302,198,0
44b6_40c45f5a,44b6,16,156443,198,0
44b6_415c0a3a,44b6,4,134552,322,0
44b6_415c0a3a,44b6,8,154122,322,0
44b6_415c0a3a,44b6,16,154219,322,0
44b6_53f95252,44b6,4,114544,68,0
44b6_53f95252,44b6,8,128752,68,0
44b6_53f95252,44b6,16,129052,68,0
44b6_551a5dba,44b6,4,130757,220,0
44b6_551a5dba,44b6,8,160252,220,0
44b6_551a5dba,44b6,16,160961,220,0
44b6_5740d24b,44b6,4,36926,170,0
44b6_5740d24b,44b6,8,38258,170,0
44b6_5740d24b,44b6,16,38258,170,0
44b6_587a1e22,44b6,4,77389,371,0
44b6_587a1e22,44b6,8,85113,371,0
44b6_587a1e22,44b6,16,85116,371,0
44b6_5f15d135,44b6,4,87059,269,0
44b6_5f15d135,44b6,8,97212,269,0
44b6_5f15d135,44b6,16,97231,269,0
44b6_668e0cc7,44b6,4,144994,630,0
44b6_668e0cc7,44b6,8,171501,630,0
44b6_668e0cc7,44b6,16,171628,630,0
44b6_66f9292d,44b6,4,80192,198,0
44b6_66f9292d,44b6,8,85699,198,0
44b6_66f9292d,44b6,16,85782,198,0
44b6_706092f0,44b6,4,106232,108,0
44b6_706092f0,44b6,8,119194,108,0
44b6_706092f0,44b6,16,119471,108,0
44b6_71a4179f,44b6,4,114196,116,0
44b6_71a4179f,44b6,8,126141,116,0
44b6_71a4179f,44b6,16,126244,116,0
44b6_74d0c52e,44b6,4,25664,139,0
44b6_74d0c52e,44b6,8,25828,139,0
44b6_74d0c52e,44b6,16,25828,139,0
44b6_7a302da0,44b6,4,186177,507,0
44b6_7a302da0,44b6,8,228441,507,0
44b6_7a302da0,44b6,16,229511,507,0
44b6_7e557709,44b6,4,188223,556,0
44b6_7e557709,44b6,8,225589,556,0
44b6_7e557709,44b6,16,225880,556,0
44b6_808952d6,44b6,4,43844,179,0
44b6_808952d6,44b6,8,45633,179,0
44b6_808952d6,44b6,16,45633,179,0
44b6_81c256f0,44b6,4,31284,197,0
44b6_81c256f0,44b6,8,31788,197,0
44b6_81c256f0,44b6,16,31788,197,0
44b6_87bba6c4,44b6,4,129531,133,3
44b6_87bba6c4,44b6,8,150180,133,3
44b6_87bba6c4,44b6,16,150266,133,3
44b6_8cc6506c,44b6,4,77000,394,0
44b6_8cc6506c,44b6,8,90685,394,0
44b6_8cc6506c,44b6,16,90737,394,0
44b6_8f5ab931,44b6,4,120087,588,1
44b6_8f5ab931,44b6,8,150488,589,0
44b6_8f5ab931,44b6,16,151019,589,0
44b6_8f9ecab4,44b6,4,166556,370,0
44b6_8f9ecab4,44b6,8,204655,370,0
44b6_8f9ecab4,44b6,16,205836,370,0
44b6_90724892,44b6,4,98743,103,0
44b6_90724892,44b6,8,117958,103,0
44b6_90724892,44b6,16,118007,103,0
44b6_949adeb1,44b6,4,171398,363,4
44b6_949adeb1,44b6,8,217167,366,1
44b6_949adeb1,44b6,16,217771,366,1
44b6_95029e92,44b6,4,7311,198,0
44b6_95029e92,44b6,8,7311,198,0
44b6_95029e92,44b6,16,7311,198,0
44b6_97725144,44b6,4,118432,219,0
44b6_97725144,44b6,8,124570,219,0
44b6_97725144,44b6,16,124606,219,0
44b6_996155de,44b6,4,19769,370,0
44b6_996155de,44b6,8,19807,370,0
44b6_996155de,44b6,16,19807,370,0
44b6_9be80b04,44b6,4,101633,216,0
44b6_9be80b04,44b6,8,113646,216,0
44b6_9be80b04,44b6,16,113723,216,0
44b6_9bfa6a0a,44b6,4,158645,259,0
44b6_9bfa6a0a,44b6,8,188526,259,0
44b6_9bfa6a0a,44b6,16,189058,259,0
44b6_a21120c2,44b6,4,91662,286,0
44b6_a21120c2,44b6,8,104712,286,0
44b6_a21120c2,44b6,16,104722,286,0
44b6_a2bb48bb,44b6,4,203227,407,1
44b6_a2bb48bb,44b6,8,252324,408,0
44b6_a2bb48bb,44b6,16,253065,408,0
44b6_aaf8b0ea,44b6,4,45419,203,0
44b6_aaf8b0ea,44b6,8,47412,203,0
44b6_aaf8b0ea,44b6,16,47413,203,0
44b6_abf82518,44b6,4,110259,94,0
44b6_abf82518,44b6,8,133474,94,0
44b6_abf82518,44b6,16,133712,94,0
44b6_b2c44266,44b6,4,144231,159,0
44b6_b2c44266,44b6,8,164050,159,0
44b6_b2c44266,44b6,16,164146,159,0
44b6_c15fded2,44b6,4,78406,101,1
44b6_c15fded2,44b6,8,88752,101,1
44b6_c15fded2,44b6,16,88763,101,1
44b6_c50204e0,44b6,4,164756,317,0
44b6_c50204e0,44b6,8,200521,317,0
44b6_c50204e0,44b6,16,201169,317,0
44b6_c771cb04,44b6,4,123907,216,3
44b6_c771cb04,44b6,8,151720,218,1
44b6_c771cb04,44b6,16,152341,218,1
44b6_c8e2a523,44b6,4,114940,160,1
44b6_c8e2a523,44b6,8,134302,160,1
44b6_c8e2a523,44b6,16,134365,160,1
44b6_c96cfa10,44b6,4,161024,600,1
44b6_c96cfa10,44b6,8,209354,600,1
44b6_c96cfa10,44b6,16,212037,600,1
44b6_cf2536e8,44b6,4,75630,75,0
44b6_cf2536e8,44b6,8,78786,75,0
44b6_cf2536e8,44b6,16,78788,75,0
44b6_cf8fed6b,44b6,4,184285,187,1
44b6_cf8fed6b,44b6,8,213555,188,0
44b6_cf8fed6b,44b6,16,213585,188,0
44b6_d29c9ab2,44b6,4,150553,1315,1
44b6_d29c9ab2,44b6,8,169685,1315,1
44b6_d29c9ab2,44b6,16,169728,1315,1
44b6_d2f34f90,44b6,4,61949,278,0
44b6_d2f34f90,44b6,8,68725,278,0
44b6_d2f34f90,44b6,16,68749,278,0
44b6_d5e7d891,44b6,4,194309,877,4
44b6_d5e7d891,44b6,8,259517,878,3
44b6_d5e7d891,44b6,16,261874,878,3
44b6_d754aa59,44b6,4,12206,68,0
44b6_d754aa59,44b6,8,12206,68,0
44b6_d754aa59,44b6,16,12206,68,0
44b6_d78e09d9,44b6,4,97909,436,1
44b6_d78e09d9,44b6,8,117979,436,1
44b6_d78e09d9,44b6,16,118111,436,1
44b6_db3c847b,44b6,4,58526,158,0
44b6_db3c847b,44b6,8,64667,158,0
44b6_db3c847b,44b6,16,64701,158,0
44b6_ddf577ad,44b6,4,162567,631,8
44b6_ddf577ad,44b6,8,208994,638,1
44b6_ddf577ad,44b6,16,210873,638,1
44b6_deabac95,44b6,4,60066,122,0
44b6_deabac95,44b6,8,65120,122,0
44b6_deabac95,44b6,16,65120,122,0
44b6_e28840c6,44b6,4,101994,298,0
44b6_e28840c6,44b6,8,116914,298,0
44b6_e28840c6,44b6,16,117063,298,0
44b6_e29f0176,44b6,4,53753,48,0
44b6_e29f0176,44b6,8,55956,48,0
44b6_e29f0176,44b6,16,55956,48,0
44b6_e31261b4,44b6,4,308898,110,1
44b6_e31261b4,44b6,8,411109,110,1
44b6_e31261b4,44b6,16,413067,110,1
44b6_e35b117d,44b6,4,75808,246,0
44b6_e35b117d,44b6,8,83187,246,0
44b6_e35b117d,44b6,16,83199,246,0
44b6_e57ff5c6,44b6,4,69942,165,0
44b6_e57ff5c6,44b6,8,73997,165,0
44b6_e57ff5c6,44b6,16,73999,165,0
44b6_eb2880fc,44b6,4,155975,375,1
44b6_eb2880fc,44b6,8,183128,375,1
44b6_eb2880fc,44b6,16,183316,375,1
44b6_f28707c6,44b6,4,92707,61,0
44b6_f28707c6,44b6,8,102792,61,0
44b6_f28707c6,44b6,16,102794,61,0
6bba_05b6850b,6bba,4,9484,838,1
6bba_05b6850b,6bba,8,9484,838,1
6bba_05b6850b,6bba,16,9484,838,1
6bba_05db0fb1,6bba,4,260868,1142,11
6bba_05db0fb1,6bba,8,271816,1143,10
6bba_05db0fb1,6bba,16,271816,1143,10
6bba_062c8d37,6bba,4,9668,898,0
6bba_062c8d37,6bba,8,9668,898,0
6bba_062c8d37,6bba,16,9668,898,0
6bba_07477033,6bba,4,7353,602,0
6bba_07477033,6bba,8,7353,602,0
6bba_07477033,6bba,16,7353,602,0
6bba_07e24132,6bba,4,92107,313,0
6bba_07e24132,6bba,8,94116,313,0
6bba_07e24132,6bba,16,94116,313,0
6bba_085bf656,6bba,4,12961,1162,0
