dataset,embryo,source_motion,seconds,gt_nodes,C0_nodes,C0_matched,gt_edges,endpoints_present,candidate_edges,candidate_gt_edges,crowded_endpoint_edges,missed_candidate_edges_crowded,mitotic_endpoint_edges,missed_candidate_edges_mitotic,valid_HOCT_regions,novel_peaks,union_matched,new_peak_matched_nodes,new_peak_new_GT_recovery,union_C0_GT_matches_lost,official_local_candidate_feasible,exact_id_candidate_divisions,oracle_scope,evaluation_only
44b6_0113de3b,44b6,6bba,7.383041609000429,52,25650,49,50,48,108469,48,0,0,0,0,23162,3777,52,7,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_0b24845f,44b6,6bba,5.823725476999243,51,20498,51,49,49,73345,49,0,0,0,0,15914,32898,51,16,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_0c582fdc,44b6,6bba,8.492893931999788,71,27580,71,70,70,132956,70,0,0,0,0,23258,10068,71,3,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_0db75fae,44b6,6bba,5.592772870999397,157,17809,154,151,149,88670,149,0,0,0,0,13435,6030,157,10,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_12dfb391,44b6,6bba,17.929285744205117,788,44829,778,773,761,222162,761,43,0,2,0,40864,20834,788,60,10,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_144b256d,44b6,6bba,8.757043894000162,121,29891,121,119,119,116236,119,0,0,0,0,27365,39244,121,21,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_1574802b,44b6,6bba,6.048577061999822,155,19610,149,153,145,94012,145,2,0,0,0,16457,5412,155,15,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_18ced818,44b6,6bba,27.69142778300011,100,73496,100,99,99,478581,99,0,0,0,0,57242,37163,100,13,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_1d530831,44b6,6bba,11.686683747000643,276,36229,270,271,261,191885,261,2,0,0,0,30624,14388,276,43,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_24264f12,44b6,6bba,8.379631477999283,230,27034,228,221,218,137545,218,2,0,0,0,23209,6361,230,12,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_267148e4,44b6,6bba,8.489005118999557,280,22305,279,277,275,119194,271,0,0,2,0,15112,10682,280,52,1,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_2a2eff9f,44b6,6bba,15.923595706000924,214,39990,214,210,210,199568,210,0,0,2,0,34877,24329,214,18,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_2f31fc2f,44b6,6bba,5.859772088000682,89,19728,89,85,85,88636,83,0,0,0,0,14187,18396,89,25,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_33b596bf,44b6,6bba,7.072939596000651,50,23912,50,49,49,120414,49,0,0,0,0,18767,7413,50,5,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_341df25f,44b6,6bba,2.921326814999702,216,8389,216,209,209,22866,209,0,0,2,0,7429,2071,216,6,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_3a861e03,44b6,6bba,11.284683150001001,935,36679,924,919,906,169388,906,0,0,0,0,32417,9809,935,76,11,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_3bb3690f,44b6,6bba,4.9108162359989365,400,16203,397,396,391,69747,391,6,0,0,0,13562,14486,400,36,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_40c45f5a,44b6,6bba,9.780599092999182,200,29929,200,198,198,156302,198,0,0,0,0,24461,18583,200,19,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_415c0a3a,44b6,6bba,10.58768050800063,331,34241,331,322,322,154122,322,4,0,0,0,30664,28515,331,45,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_53f95252,44b6,6bba,9.081953225000689,70,31473,70,68,68,128752,68,0,0,0,0,27143,17300,70,0,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_551a5dba,44b6,6bba,10.480391990000498,228,31654,223,224,220,160252,220,30,0,0,0,26503,37344,228,30,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_5740d24b,44b6,6bba,3.2743049780001456,173,11447,173,170,170,38258,170,0,0,0,0,9621,11080,173,9,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_587a1e22,44b6,6bba,6.726257199999964,381,18801,381,371,371,85113,371,3,0,2,0,15704,4775,381,54,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_5f15d135,44b6,6bba,8.302093333000812,278,21935,274,273,269,97212,269,4,0,2,0,17975,22910,278,33,4,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_668e0cc7,44b6,6bba,10.632158603999414,643,33926,642,631,630,171501,630,6,0,0,0,30401,10904,642,40,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_66f9292d,44b6,6bba,6.851692287000333,200,23697,200,198,198,85699,198,3,0,0,0,21597,31834,200,30,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
44b6_706092f0,44b6,6bba,11.210659813999882,118,29809,112,117,108,119194,108,0,0,1,0,27120,40312,117,19,5,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
