embryo,samples,bucket,events
44b6,71,C0_official_recovered,7
44b6,71,available_unselected_evidence,16
44b6,71,conflict_or_protection_loss,0
44b6,71,insufficient_candidates,0
44b6,71,missing_daughter,2
44b6,71,missing_downstream_path,0
44b6,71,missing_parent,0
44b6,71,unsupported_HOCT_score,1
44b6,71,wrong_timing,0
6bba,128,C0_official_recovered,22
6bba,128,available_unselected_evidence,55
6bba,128,conflict_or_protection_loss,0
6bba,128,insufficient_candidates,4
6bba,128,missing_daughter,20
6bba,128,missing_downstream_path,5
6bba,128,missing_parent,2
6bba,128,unsupported_HOCT_score,17
6bba,128,wrong_timing,0
pooled,199,C0_official_recovered,29
pooled,199,available_unselected_evidence,71
pooled,199,conflict_or_protection_loss,0
pooled,199,insufficient_candidates,4
pooled,199,missing_daughter,22
pooled,199,missing_downstream_path,5
pooled,199,missing_parent,2
pooled,199,unsupported_HOCT_score,18
pooled,199,wrong_timing,0
