dataset,embryo,bucket,events
44b6_0113de3b,44b6,C0_official_recovered,0
44b6_0113de3b,44b6,available_unselected_evidence,0
44b6_0113de3b,44b6,conflict_or_protection_loss,0
44b6_0113de3b,44b6,insufficient_candidates,0
44b6_0113de3b,44b6,missing_daughter,0
44b6_0113de3b,44b6,missing_downstream_path,0
44b6_0113de3b,44b6,missing_parent,0
44b6_0113de3b,44b6,unsupported_HOCT_score,0
44b6_0113de3b,44b6,wrong_timing,0
44b6_0b24845f,44b6,C0_official_recovered,0
44b6_0b24845f,44b6,available_unselected_evidence,0
44b6_0b24845f,44b6,conflict_or_protection_loss,0
44b6_0b24845f,44b6,insufficient_candidates,0
44b6_0b24845f,44b6,missing_daughter,0
44b6_0b24845f,44b6,missing_downstream_path,0
44b6_0b24845f,44b6,missing_parent,0
44b6_0b24845f,44b6,unsupported_HOCT_score,0
44b6_0b24845f,44b6,wrong_timing,0
44b6_0c582fdc,44b6,C0_official_recovered,0
44b6_0c582fdc,44b6,available_unselected_evidence,0
44b6_0c582fdc,44b6,conflict_or_protection_loss,0
44b6_0c582fdc,44b6,insufficient_candidates,0
44b6_0c582fdc,44b6,missing_daughter,0
44b6_0c582fdc,44b6,missing_downstream_path,0
44b6_0c582fdc,44b6,missing_parent,0
44b6_0c582fdc,44b6,unsupported_HOCT_score,0
44b6_0c582fdc,44b6,wrong_timing,0
44b6_0db75fae,44b6,C0_official_recovered,0
44b6_0db75fae,44b6,available_unselected_evidence,0
44b6_0db75fae,44b6,conflict_or_protection_loss,0
44b6_0db75fae,44b6,insufficient_candidates,0
44b6_0db75fae,44b6,missing_daughter,0
44b6_0db75fae,44b6,missing_downstream_path,0
44b6_0db75fae,44b6,missing_parent,0
44b6_0db75fae,44b6,unsupported_HOCT_score,0
44b6_0db75fae,44b6,wrong_timing,0
44b6_12dfb391,44b6,C0_official_recovered,0
44b6_12dfb391,44b6,available_unselected_evidence,1
44b6_12dfb391,44b6,conflict_or_protection_loss,0
44b6_12dfb391,44b6,insufficient_candidates,0
44b6_12dfb391,44b6,missing_daughter,0
44b6_12dfb391,44b6,missing_downstream_path,0
44b6_12dfb391,44b6,missing_parent,0
44b6_12dfb391,44b6,unsupported_HOCT_score,0
44b6_12dfb391,44b6,wrong_timing,0
44b6_144b256d,44b6,C0_official_recovered,0
44b6_144b256d,44b6,available_unselected_evidence,0
44b6_144b256d,44b6,conflict_or_protection_loss,0
44b6_144b256d,44b6,insufficient_candidates,0
44b6_144b256d,44b6,missing_daughter,0
44b6_144b256d,44b6,missing_downstream_path,0
44b6_144b256d,44b6,missing_parent,0
44b6_144b256d,44b6,unsupported_HOCT_score,0
44b6_144b256d,44b6,wrong_timing,0
44b6_1574802b,44b6,C0_official_recovered,0
44b6_1574802b,44b6,available_unselected_evidence,0
44b6_1574802b,44b6,conflict_or_protection_loss,0
44b6_1574802b,44b6,insufficient_candidates,0
44b6_1574802b,44b6,missing_daughter,0
44b6_1574802b,44b6,missing_downstream_path,0
44b6_1574802b,44b6,missing_parent,0
44b6_1574802b,44b6,unsupported_HOCT_score,0
44b6_1574802b,44b6,wrong_timing,0
44b6_18ced818,44b6,C0_official_recovered,0
44b6_18ced818,44b6,available_unselected_evidence,0
44b6_18ced818,44b6,conflict_or_protection_loss,0
44b6_18ced818,44b6,insufficient_candidates,0
44b6_18ced818,44b6,missing_daughter,0
44b6_18ced818,44b6,missing_downstream_path,0
44b6_18ced818,44b6,missing_parent,0
44b6_18ced818,44b6,unsupported_HOCT_score,0
44b6_18ced818,44b6,wrong_timing,0
44b6_1d530831,44b6,C0_official_recovered,0
44b6_1d530831,44b6,available_unselected_evidence,0
44b6_1d530831,44b6,conflict_or_protection_loss,0
44b6_1d530831,44b6,insufficient_candidates,0
44b6_1d530831,44b6,missing_daughter,0
44b6_1d530831,44b6,missing_downstream_path,0
44b6_1d530831,44b6,missing_parent,0
44b6_1d530831,44b6,unsupported_HOCT_score,0
44b6_1d530831,44b6,wrong_timing,0
44b6_24264f12,44b6,C0_official_recovered,0
44b6_24264f12,44b6,available_unselected_evidence,0
44b6_24264f12,44b6,conflict_or_protection_loss,0
44b6_24264f12,44b6,insufficient_candidates,0
44b6_24264f12,44b6,missing_daughter,0
44b6_24264f12,44b6,missing_downstream_path,0
44b6_24264f12,44b6,missing_parent,0
44b6_24264f12,44b6,unsupported_HOCT_score,0
44b6_24264f12,44b6,wrong_timing,0
44b6_267148e4,44b6,C0_official_recovered,1
44b6_267148e4,44b6,available_unselected_evidence,0
44b6_267148e4,44b6,conflict_or_protection_loss,0
44b6_267148e4,44b6,insufficient_candidates,0
44b6_267148e4,44b6,missing_daughter,0
44b6_267148e4,44b6,missing_downstream_path,0
44b6_267148e4,44b6,missing_parent,0
44b6_267148e4,44b6,unsupported_HOCT_score,0
44b6_267148e4,44b6,wrong_timing,0
44b6_2a2eff9f,44b6,C0_official_recovered,0
44b6_2a2eff9f,44b6,available_unselected_evidence,1
44b6_2a2eff9f,44b6,conflict_or_protection_loss,0
44b6_2a2eff9f,44b6,insufficient_candidates,0
44b6_2a2eff9f,44b6,missing_daughter,0
44b6_2a2eff9f,44b6,missing_downstream_path,0
44b6_2a2eff9f,44b6,missing_parent,0
44b6_2a2eff9f,44b6,unsupported_HOCT_score,0
44b6_2a2eff9f,44b6,wrong_timing,0
44b6_2f31fc2f,44b6,C0_official_recovered,0
44b6_2f31fc2f,44b6,available_unselected_evidence,0
44b6_2f31fc2f,44b6,conflict_or_protection_loss,0
44b6_2f31fc2f,44b6,insufficient_candidates,0
44b6_2f31fc2f,44b6,missing_daughter,0
44b6_2f31fc2f,44b6,missing_downstream_path,0
44b6_2f31fc2f,44b6,missing_parent,0
44b6_2f31fc2f,44b6,unsupported_HOCT_score,0
44b6_2f31fc2f,44b6,wrong_timing,0
44b6_33b596bf,44b6,C0_official_recovered,0
44b6_33b596bf,44b6,available_unselected_evidence,0
44b6_33b596bf,44b6,conflict_or_protection_loss,0
44b6_33b596bf,44b6,insufficient_candidates,0
44b6_33b596bf,44b6,missing_daughter,0
44b6_33b596bf,44b6,missing_downstream_path,0
44b6_33b596bf,44b6,missing_parent,0
44b6_33b596bf,44b6,unsupported_HOCT_score,0
44b6_33b596bf,44b6,wrong_timing,0
44b6_341df25f,44b6,C0_official_recovered,0
44b6_341df25f,44b6,available_unselected_evidence,1
44b6_341df25f,44b6,conflict_or_protection_loss,0
44b6_341df25f,44b6,insufficient_candidates,0
44b6_341df25f,44b6,missing_daughter,0
44b6_341df25f,44b6,missing_downstream_path,0
44b6_341df25f,44b6,missing_parent,0
44b6_341df25f,44b6,unsupported_HOCT_score,0
44b6_341df25f,44b6,wrong_timing,0
44b6_3a861e03,44b6,C0_official_recovered,0
44b6_3a861e03,44b6,available_unselected_evidence,0
44b6_3a861e03,44b6,conflict_or_protection_loss,0
44b6_3a861e03,44b6,insufficient_candidates,0
44b6_3a861e03,44b6,missing_daughter,0
44b6_3a861e03,44b6,missing_downstream_path,0
44b6_3a861e03,44b6,missing_parent,0
44b6_3a861e03,44b6,unsupported_HOCT_score,0
44b6_3a861e03,44b6,wrong_timing,0
44b6_3bb3690f,44b6,C0_official_recovered,0
44b6_3bb3690f,44b6,available_unselected_evidence,0
44b6_3bb3690f,44b6,conflict_or_protection_loss,0
44b6_3bb3690f,44b6,insufficient_candidates,0
44b6_3bb3690f,44b6,missing_daughter,0
44b6_3bb3690f,44b6,missing_downstream_path,0
44b6_3bb3690f,44b6,missing_parent,0
44b6_3bb3690f,44b6,unsupported_HOCT_score,0
44b6_3bb3690f,44b6,wrong_timing,0
44b6_40c45f5a,44b6,C0_official_recovered,0
44b6_40c45f5a,44b6,available_unselected_evidence,0
44b6_40c45f5a,44b6,conflict_or_protection_loss,0
44b6_40c45f5a,44b6,insufficient_candidates,0
44b6_40c45f5a,44b6,missing_daughter,0
44b6_40c45f5a,44b6,missing_downstream_path,0
44b6_40c45f5a,44b6,missing_parent,0
44b6_40c45f5a,44b6,unsupported_HOCT_score,0
44b6_40c45f5a,44b6,wrong_timing,0
44b6_415c0a3a,44b6,C0_official_recovered,0
44b6_415c0a3a,44b6,available_unselected_evidence,0
44b6_415c0a3a,44b6,conflict_or_protection_loss,0
44b6_415c0a3a,44b6,insufficient_candidates,0
44b6_415c0a3a,44b6,missing_daughter,0
44b6_415c0a3a,44b6,missing_downstream_path,0
44b6_415c0a3a,44b6,missing_parent,0
44b6_415c0a3a,44b6,unsupported_HOCT_score,0
44b6_415c0a3a,44b6,wrong_timing,0
44b6_53f95252,44b6,C0_official_recovered,0
44b6_53f95252,44b6,available_unselected_evidence,0
44b6_53f95252,44b6,conflict_or_protection_loss,0
44b6_53f95252,44b6,insufficient_candidates,0
44b6_53f95252,44b6,missing_daughter,0
44b6_53f95252,44b6,missing_downstream_path,0
44b6_53f95252,44b6,missing_parent,0
44b6_53f95252,44b6,unsupported_HOCT_score,0
44b6_53f95252,44b6,wrong_timing,0
44b6_551a5dba,44b6,C0_official_recovered,0
44b6_551a5dba,44b6,available_unselected_evidence,0
44b6_551a5dba,44b6,conflict_or_protection_loss,0
44b6_551a5dba,44b6,insufficient_candidates,0
44b6_551a5dba,44b6,missing_daughter,0
44b6_551a5dba,44b6,missing_downstream_path,0
44b6_551a5dba,44b6,missing_parent,0
44b6_551a5dba,44b6,unsupported_HOCT_score,0
44b6_551a5dba,44b6,wrong_timing,0
44b6_5740d24b,44b6,C0_official_recovered,0
44b6_5740d24b,44b6,available_unselected_evidence,0
44b6_5740d24b,44b6,conflict_or_protection_loss,0
44b6_5740d24b,44b6,insufficient_candidates,0
44b6_5740d24b,44b6,missing_daughter,0
44b6_5740d24b,44b6,missing_downstream_path,0
44b6_5740d24b,44b6,missing_parent,0
44b6_5740d24b,44b6,unsupported_HOCT_score,0
44b6_5740d24b,44b6,wrong_timing,0
44b6_587a1e22,44b6,C0_official_recovered,1
44b6_587a1e22,44b6,available_unselected_evidence,0
44b6_587a1e22,44b6,conflict_or_protection_loss,0
44b6_587a1e22,44b6,insufficient_candidates,0
44b6_587a1e22,44b6,missing_daughter,0
44b6_587a1e22,44b6,missing_downstream_path,0
44b6_587a1e22,44b6,missing_parent,0
44b6_587a1e22,44b6,unsupported_HOCT_score,0
44b6_587a1e22,44b6,wrong_timing,0
44b6_5f15d135,44b6,C0_official_recovered,0
44b6_5f15d135,44b6,available_unselected_evidence,1
44b6_5f15d135,44b6,conflict_or_protection_loss,0
44b6_5f15d135,44b6,insufficient_candidates,0
44b6_5f15d135,44b6,missing_daughter,0
44b6_5f15d135,44b6,missing_downstream_path,0
44b6_5f15d135,44b6,missing_parent,0
44b6_5f15d135,44b6,unsupported_HOCT_score,0
44b6_5f15d135,44b6,wrong_timing,0
44b6_668e0cc7,44b6,C0_official_recovered,0
44b6_668e0cc7,44b6,available_unselected_evidence,0
44b6_668e0cc7,44b6,conflict_or_protection_loss,0
44b6_668e0cc7,44b6,insufficient_candidates,0
44b6_668e0cc7,44b6,missing_daughter,0
44b6_668e0cc7,44b6,missing_downstream_path,0
44b6_668e0cc7,44b6,missing_parent,0
44b6_668e0cc7,44b6,unsupported_HOCT_score,0
44b6_668e0cc7,44b6,wrong_timing,0
44b6_66f9292d,44b6,C0_official_recovered,0
44b6_66f9292d,44b6,available_unselected_evidence,0
44b6_66f9292d,44b6,conflict_or_protection_loss,0
44b6_66f9292d,44b6,insufficient_candidates,0
44b6_66f9292d,44b6,missing_daughter,0
44b6_66f9292d,44b6,missing_downstream_path,0
44b6_66f9292d,44b6,missing_parent,0
44b6_66f9292d,44b6,unsupported_HOCT_score,0
44b6_66f9292d,44b6,wrong_timing,0
44b6_706092f0,44b6,C0_official_recovered,0
44b6_706092f0,44b6,available_unselected_evidence,1
44b6_706092f0,44b6,conflict_or_protection_loss,0
44b6_706092f0,44b6,insufficient_candidates,0
44b6_706092f0,44b6,missing_daughter,0
44b6_706092f0,44b6,missing_downstream_path,0
44b6_706092f0,44b6,missing_parent,0
44b6_706092f0,44b6,unsupported_HOCT_score,0
44b6_706092f0,44b6,wrong_timing,0
44b6_71a4179f,44b6,C0_official_recovered,0
44b6_71a4179f,44b6,available_unselected_evidence,0
44b6_71a4179f,44b6,conflict_or_protection_loss,0
44b6_71a4179f,44b6,insufficient_candidates,0
44b6_71a4179f,44b6,missing_daughter,0
44b6_71a4179f,44b6,missing_downstream_path,0
44b6_71a4179f,44b6,missing_parent,0
44b6_71a4179f,44b6,unsupported_HOCT_score,0
44b6_71a4179f,44b6,wrong_timing,0
44b6_74d0c52e,44b6,C0_official_recovered,0
44b6_74d0c52e,44b6,available_unselected_evidence,1
44b6_74d0c52e,44b6,conflict_or_protection_loss,0
44b6_74d0c52e,44b6,insufficient_candidates,0
44b6_74d0c52e,44b6,missing_daughter,0
44b6_74d0c52e,44b6,missing_downstream_path,0
44b6_74d0c52e,44b6,missing_parent,0
44b6_74d0c52e,44b6,unsupported_HOCT_score,0
44b6_74d0c52e,44b6,wrong_timing,0
44b6_7a302da0,44b6,C0_official_recovered,0
44b6_7a302da0,44b6,available_unselected_evidence,1
44b6_7a302da0,44b6,conflict_or_protection_loss,0
44b6_7a302da0,44b6,insufficient_candidates,0
44b6_7a302da0,44b6,missing_daughter,0
44b6_7a302da0,44b6,missing_downstream_path,0
44b6_7a302da0,44b6,missing_parent,0
44b6_7a302da0,44b6,unsupported_HOCT_score,0
44b6_7a302da0,44b6,wrong_timing,0
44b6_7e557709,44b6,C0_official_recovered,0
44b6_7e557709,44b6,available_unselected_evidence,0
44b6_7e557709,44b6,conflict_or_protection_loss,0
44b6_7e557709,44b6,insufficient_candidates,0
44b6_7e557709,44b6,missing_daughter,0
44b6_7e557709,44b6,missing_downstream_path,0
44b6_7e557709,44b6,missing_parent,0
44b6_7e557709,44b6,unsupported_HOCT_score,0
44b6_7e557709,44b6,wrong_timing,0
44b6_808952d6,44b6,C0_official_recovered,0
44b6_808952d6,44b6,available_unselected_evidence,0
44b6_808952d6,44b6,conflict_or_protection_loss,0
44b6_808952d6,44b6,insufficient_candidates,0
44b6_808952d6,44b6,missing_daughter,0
44b6_808952d6,44b6,missing_downstream_path,0
44b6_808952d6,44b6,missing_parent,0
44b6_808952d6,44b6,unsupported_HOCT_score,0
44b6_808952d6,44b6,wrong_timing,0
44b6_81c256f0,44b6,C0_official_recovered,0
44b6_81c256f0,44b6,available_unselected_evidence,0
44b6_81c256f0,44b6,conflict_or_protection_loss,0
44b6_81c256f0,44b6,insufficient_candidates,0
44b6_81c256f0,44b6,missing_daughter,0
44b6_81c256f0,44b6,missing_downstream_path,0
44b6_81c256f0,44b6,missing_parent,0
44b6_81c256f0,44b6,unsupported_HOCT_score,0
44b6_81c256f0,44b6,wrong_timing,0
44b6_87bba6c4,44b6,C0_official_recovered,0
44b6_87bba6c4,44b6,available_unselected_evidence,0
44b6_87bba6c4,44b6,conflict_or_protection_loss,0
44b6_87bba6c4,44b6,insufficient_candidates,0
44b6_87bba6c4,44b6,missing_daughter,0
44b6_87bba6c4,44b6,missing_downstream_path,0
44b6_87bba6c4,44b6,missing_parent,0
44b6_87bba6c4,44b6,unsupported_HOCT_score,0
44b6_87bba6c4,44b6,wrong_timing,0
44b6_8cc6506c,44b6,C0_official_recovered,0
44b6_8cc6506c,44b6,available_unselected_evidence,0
44b6_8cc6506c,44b6,conflict_or_protection_loss,0
44b6_8cc6506c,44b6,insufficient_candidates,0
44b6_8cc6506c,44b6,missing_daughter,0
44b6_8cc6506c,44b6,missing_downstream_path,0
44b6_8cc6506c,44b6,missing_parent,0
44b6_8cc6506c,44b6,unsupported_HOCT_score,0
44b6_8cc6506c,44b6,wrong_timing,0
44b6_8f5ab931,44b6,C0_official_recovered,0
44b6_8f5ab931,44b6,available_unselected_evidence,0
44b6_8f5ab931,44b6,conflict_or_protection_loss,0
44b6_8f5ab931,44b6,insufficient_candidates,0
44b6_8f5ab931,44b6,missing_daughter,0
44b6_8f5ab931,44b6,missing_downstream_path,0
44b6_8f5ab931,44b6,missing_parent,0
44b6_8f5ab931,44b6,unsupported_HOCT_score,0
44b6_8f5ab931,44b6,wrong_timing,0
44b6_8f9ecab4,44b6,C0_official_recovered,0
44b6_8f9ecab4,44b6,available_unselected_evidence,0
44b6_8f9ecab4,44b6,conflict_or_protection_loss,0
44b6_8f9ecab4,44b6,insufficient_candidates,0
44b6_8f9ecab4,44b6,missing_daughter,0
44b6_8f9ecab4,44b6,missing_downstream_path,0
44b6_8f9ecab4,44b6,missing_parent,0
44b6_8f9ecab4,44b6,unsupported_HOCT_score,0
44b6_8f9ecab4,44b6,wrong_timing,0
44b6_90724892,44b6,C0_official_recovered,0
44b6_90724892,44b6,available_unselected_evidence,0
44b6_90724892,44b6,conflict_or_protection_loss,0
44b6_90724892,44b6,insufficient_candidates,0
44b6_90724892,44b6,missing_daughter,0
44b6_90724892,44b6,missing_downstream_path,0
44b6_90724892,44b6,missing_parent,0
44b6_90724892,44b6,unsupported_HOCT_score,0
44b6_90724892,44b6,wrong_timing,0
44b6_949adeb1,44b6,C0_official_recovered,0
44b6_949adeb1,44b6,available_unselected_evidence,0
44b6_949adeb1,44b6,conflict_or_protection_loss,0
44b6_949adeb1,44b6,insufficient_candidates,0
44b6_949adeb1,44b6,missing_daughter,0
44b6_949adeb1,44b6,missing_downstream_path,0
44b6_949adeb1,44b6,missing_parent,0
44b6_949adeb1,44b6,unsupported_HOCT_score,0
44b6_949adeb1,44b6,wrong_timing,0
44b6_95029e92,44b6,C0_official_recovered,0
44b6_95029e92,44b6,available_unselected_evidence,0
44b6_95029e92,44b6,conflict_or_protection_loss,0
44b6_95029e92,44b6,insufficient_candidates,0
44b6_95029e92,44b6,missing_daughter,0
44b6_95029e92,44b6,missing_downstream_path,0
44b6_95029e92,44b6,missing_parent,0
44b6_95029e92,44b6,unsupported_HOCT_score,0
44b6_95029e92,44b6,wrong_timing,0
44b6_97725144,44b6,C0_official_recovered,0
44b6_97725144,44b6,available_unselected_evidence,0
44b6_97725144,44b6,conflict_or_protection_loss,0
44b6_97725144,44b6,insufficient_candidates,0
44b6_97725144,44b6,missing_daughter,0
44b6_97725144,44b6,missing_downstream_path,0
44b6_97725144,44b6,missing_parent,0
44b6_97725144,44b6,unsupported_HOCT_score,0
44b6_97725144,44b6,wrong_timing,0
44b6_996155de,44b6,C0_official_recovered,1
44b6_996155de,44b6,available_unselected_evidence,0
44b6_996155de,44b6,conflict_or_protection_loss,0
44b6_996155de,44b6,insufficient_candidates,0
44b6_996155de,44b6,missing_daughter,0
44b6_996155de,44b6,missing_downstream_path,0
