key,source,family,seed,steps,complete,tiny,seconds,sha256,trainable_parameters,native_image_updates,encoder_changed,encoder_tensor_delta,source_positive_edges,source_windows,seen_windows,missed_windows,final_recorded_loss,target_steps
44b6_H1_20260910,44b6,H1,20260910,2000,True,False,4.321042702998966,8a010301092d574dc557d23e1dd90acd51989599dbbdb26dde8780370a92b100,289.0,0,False,0.0,15221.0,,,,0.12172449380159378,
44b6_H1_314159,44b6,H1,314159,2000,True,False,2.491253326000333,2792acbdf2c0491a4c16591e397f68542c751cacf13fff8480101434eed1de11,289.0,0,False,0.0,15221.0,,,,0.1997651606798172,
6bba_H1_20260910,6bba,H1,20260910,2000,True,False,4.390041687000121,4c0b0e2007618c9f58bb03ad02f10f7aeca69359b21673432a273adec4fa66fa,289.0,0,False,0.0,89448.0,,,,0.0893818736076355,
6bba_H1_314159,6bba,H1,314159,2000,True,False,4.160198388999561,1fa958867cc204d858b52eb1e3195e48e04d71ee3eacc34b1dbfbdbac7518ab5,289.0,0,False,0.0,89448.0,,,,0.08829788863658905,
44b6_N1_20260910,44b6,N1,20260910,8000,True,False,4045.6089166737233,090b0e8430273c9d58d7e84ce12027169e35ed445d6c368331b6e7d8869e4d30,580353.0,0,False,0.0,19530.0,6294.0,6294.0,0.0,0.001046742792823352,
44b6_N1_20260910_tiny,44b6,N1,20260910,100,True,True,50.499295867048204,c6b0c8617a6d799de8705f908b822efd036b734073476d0aca2e10139817d879,580353.0,0,False,0.0,4.0,4.0,4.0,0.0,4.058991271449486e-05,
44b6_N2_20260910,44b6,N2,20260910,12000,True,False,9435.732653136001,0c6f6b414ce15ae9551a34b542fd39c8a71e5e29632e91072b902ff8e12e7317,2076673.0,12000,True,0.0224336925894022,19530.0,6294.0,6294.0,0.0,0.00016744697677495424,
44b6_N2_20260910_tiny,44b6,N2,20260910,100,True,True,66.50554213672876,da04f4f96dcdb0a5b83f3cc12a3b232d49a15aa93d058cdf721baa6818c8def5,2076673.0,100,True,0.0035402881912887096,4.0,4.0,4.0,0.0,6.18043850408867e-05,
6bba_N1_20260910,6bba,N1,20260910,8000,True,False,3569.981633632,8170686443308f12b2e4b0df609b5e3e02a62178d9668cf41a37e3983f5f3377,580353.0,0,False,0.0,106313.0,12374.0,12374.0,0.0,0.00023237989807967097,
44b6_N1_314159,44b6,N1,314159,1761,False,False,686.9351757720015,,,0,,,,,,,0.003089702149736695,8000.0
6bba_N2_20260910,6bba,N2,20260910,8161,False,False,6361.791507088999,,,8161,,,,,,,0.00040064393760985695,12000.0
