variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,delta_v3,matched_control,delta_vs_C1
C0,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1,0.0
C0,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
C0,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1,0.0
decoder_only,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1,0.0
decoder_only,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
decoder_only,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1,0.0
original_objective_C4,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1,0.0
original_objective_C4,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
original_objective_C4,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1,0.0
C1short,44b6,71,71,0.9021614384085692,0.1428571428571428,7,23,19,0.9877569341470968,0.9170372810878492,71,0.9313229953735632,18866,1086,960,1972750,-0.0003414733482787,C1,-0.0003414733482786092
C1short,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
C1short,pooled,199,199,0.9199545756785632,0.1188524590163934,29,93,122,0.982494434312724,0.9228613230361672,199,0.9347465689378064,123135,4966,5748,4108943,-5.5805322779489686e-05,C1,-5.580532277960071e-05
C1,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1,0.0
C1,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
C1,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1,0.0
C2,44b6,71,71,0.9020226653277864,0.1458333333333333,7,22,19,0.9877569341470968,0.9168965510517528,71,0.931479884385086,18864,1087,962,1972750,-0.0001845843367559,C1,-0.00018458433675583308
C2,6bba,128,128,0.92319066423474,0.1111111111111111,22,73,103,0.9795753914358454,0.9238811271864096,128,0.9349922382975204,104267,3885,4790,2136193,-0.0002295457998064,C1,-0.00022954579980694056
C2,pooled,199,199,0.9198834559784842,0.1178861788617886,29,95,122,0.982494434312724,0.9227898833725506,199,0.9345785012587297,123131,4972,5752,4108943,-0.0002238730018564,C1,-0.00022387300185633396
C3,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1,0.0
C3,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1,0.0
C3,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1,0.0
C4,44b6,71,71,0.9018023617153512,0.16,8,24,18,0.9877569341470968,0.916672457748386,71,0.932672457748386,18863,1091,963,1972750,0.0010079890265438,C1,0.0010079890265441982
C4,6bba,128,128,0.9231899841510168,0.1122448979591836,22,71,103,0.9795753914358454,0.9238803529228212,128,0.9351048427187396,104266,3884,4791,2136193,-0.0001169413785875,C1,-0.00011694137858775377
C4,pooled,199,199,0.9198478985193264,0.1219512195121951,30,95,121,0.982494434312724,0.9227540284344554,199,0.9349491503856748,123129,4975,5754,4108943,0.0001467761250889,C1,0.0001467761250888433
C5,44b6,71,71,0.901797666857908,0.1666666666666666,8,22,18,0.9877569341470968,0.9166699469462992,71,0.933336613612966,18862,1090,964,1972750,0.0016721448911238,C1,0.0016721448911242165
C5,6bba,128,128,0.9231389006941492,0.1116751269035533,22,72,103,0.9795753914358454,0.9238294791339288,128,0.934996991824284,104263,3887,4794,2136193,-0.0002247922730429,C1,-0.00022479227304339489
C5,pooled,199,199,0.9198042731211714,0.1224489795918367,30,94,121,0.982494434312724,0.9227107821726525,199,0.934955680131836,123125,4977,5758,4108943,0.00015330587125,C1,0.00015330587125006456
C6,44b6,71,71,0.90190266755904,0.1481481481481481,8,28,18,0.9877569341470968,0.9167743550839564,71,0.9315891698987714,18866,1092,960,1972750,-7.52988230706686e-05,C1,-7.529882307044655e-05
C6,6bba,128,128,0.9231818101326345,0.1116751269035533,22,72,103,0.9795753914358454,0.9238721727918432,128,0.9350396854821984,104266,3885,4791,2136193,-0.0001820986151286,C1,-0.0001820986151289672
C6,pooled,199,199,0.9198565665620798,0.1195219123505976,30,100,121,0.982494434312724,0.922763012842541,199,0.9347152040776008,123132,4977,5751,4108943,-8.717018298520784e-05,C1,-8.717018298520784e-05
C4_Gonly,44b6,71,71,0.8964433652335381,0.0849056603773584,9,80,17,0.9877569341470968,0.9112161403618246,71,0.9197067063995604,18828,1177,998,1972750,-0.0119577623222815,C1,-0.011957762322281407
C4_Gonly,6bba,128,128,0.9220255314631493,0.089430894308943,22,121,103,0.9795753914358454,0.9227149156223698,128,0.931658005053264,104223,3980,4834,2136193,-0.0035637790440629,C1,-0.0035637790440633532
C4_Gonly,pooled,199,199,0.9180170098478068,0.0880681818181818,31,201,120,0.982494434312724,0.9209131491586484,199,0.9297199673404664,123051,5157,5832,4108943,-0.0050824069201195,C1,-0.005082406920119631
C4_m2,44b6,71,71,0.9016683397867968,0.1568627450980392,8,25,18,0.9877569341470968,0.9165381182610154,71,0.9322243927708194,18862,1093,964,1972750,0.0005599240489773,C1,0.0005599240489775337
C4_m2,6bba,128,128,0.9228624288509034,0.1057692307692307,22,83,103,0.9795753914358454,0.9235522340684962,128,0.9341291571454192,104253,3910,4804,2136193,-0.0010926269519078,C1,-0.0010926269519081488
C4_m2,pooled,199,199,0.9195509612655542,0.1158301158301158,30,108,121,0.982494434312724,0.9224563144908204,199,0.934039326073832,123115,5003,5768,4108943,-0.0007630481867539,C1,-0.0007630481867539896
C4_m6,44b6,71,71,0.9021614384085692,0.1666666666666666,8,22,18,0.9877569341470968,0.9170378868140032,71,0.93370455348067,18866,1086,960,1972750,0.0020400847588278,C1,0.00204008475882822
C4_m6,6bba,128,128,0.923215186959332,0.1128205128205128,22,70,103,0.9795753914358454,0.9239056682517772,128,0.9351877195338284,104267,3882,4790,2136193,-3.406456349863696e-05,C1,-3.4064563498970024e-05
