arm,source,target,seed,lineage,effective_optimizer_updates,D_updates,G_updates,I_updates,G_final_source_supervised_rows,I_final_source_supervised_rows,final_G_parameters,final_I_parameters,direct_sources
C6,6bba,44b6,20260909,G_combined;G_C6_6bba;D_synthetic;I_randomized_6bba;I_C6_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,synthetic,zebrafish"
C1short,6bba,44b6,20260909,G_C1short_6bba;I_C1short_6bba,16000,0,8000,8000,384000,96000,892420,254884,6bba
C2,44b6,6bba,20260909,G_synthetic;G_C2_44b6;D_synthetic;I_synthetic;I_C2_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,synthetic"
C5,44b6,6bba,20260909,G_multispecies;G_C5_44b6;D_synthetic;I_synthetic;I_C5_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,ascidian,synthetic,zebrafish"
C1,6bba,44b6,20260909,G_real_6bba;G_C1_6bba;D_real_6bba;I_real_6bba;I_C1_6bba,68000,12000,28000,28000,384000,96000,892420,254884,6bba
C1short,44b6,6bba,20260909,G_C1short_44b6;I_C1short_44b6,16000,0,8000,8000,384000,96000,892420,254884,44b6
C4,6bba,44b6,20260909,G_combined;G_C4_6bba;D_synthetic;I_synthetic;I_C4_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,synthetic,zebrafish"
C1_seed2,44b6,6bba,314159,G_real_44b6_seed2;G_C1_seed2_44b6;D_real_44b6_seed2;I_real_44b6_seed2;I_C1_seed2_44b6,68000,12000,28000,28000,384000,96000,892420,254884,44b6
C5,6bba,44b6,20260909,G_multispecies;G_C5_6bba;D_synthetic;I_synthetic;I_C5_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,ascidian,synthetic,zebrafish"
C4_seed2,44b6,6bba,314159,G_external_seed2;G_C4_seed2_44b6;D_synthetic_seed2;I_external_seed2;I_C4_seed2_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,synthetic,zebrafish"
C4,44b6,6bba,20260909,G_combined;G_C4_44b6;D_synthetic;I_synthetic;I_C4_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,synthetic,zebrafish"
C2,6bba,44b6,20260909,G_synthetic;G_C2_6bba;D_synthetic;I_synthetic;I_C2_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,synthetic"
C1_seed2,6bba,44b6,314159,G_real_6bba_seed2;G_C1_seed2_6bba;D_real_6bba_seed2;I_real_6bba_seed2;I_C1_seed2_6bba,68000,12000,28000,28000,384000,96000,892420,254884,6bba
C1,44b6,6bba,20260909,G_real_44b6;G_C1_44b6;D_real_44b6;I_real_44b6;I_C1_44b6,68000,12000,28000,28000,384000,96000,892420,254884,44b6
C4_seed2,6bba,44b6,314159,G_external_seed2;G_C4_seed2_6bba;D_synthetic_seed2;I_external_seed2;I_C4_seed2_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,synthetic,zebrafish"
C3,44b6,6bba,20260909,G_fish;G_C3_44b6;D_real_44b6;I_real_44b6;I_C3_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,zebrafish"
C6,44b6,6bba,20260909,G_combined;G_C6_44b6;D_synthetic;I_randomized_44b6;I_C6_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,synthetic,zebrafish"
C3,6bba,44b6,20260909,G_fish;G_C3_6bba;D_real_6bba;I_real_6bba;I_C3_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,zebrafish"
C7,6bba,44b6,20260909,G_combined;G_C7_6bba;D_synthetic;I_rendered_6bba;I_C7_6bba,68000,12000,28000,28000,384000,96000,892420,254884,"6bba,rendered_zoo_6bba,synthetic,zebrafish"
C7,44b6,6bba,20260909,G_combined;G_C7_44b6;D_synthetic;I_rendered_44b6;I_C7_44b6,68000,12000,28000,28000,384000,96000,892420,254884,"44b6,rendered_zoo_44b6,synthetic,zebrafish"
