dataset,variant,parent_observations,after_gate,daughter_options,pair_options,after_margin,proposed,selected,removed_edges,protected_or_nonpositive,solver_optimal,solver_gap,rebuilt_associations
44b6_0113de3b,C1short,25426,9255,55530.0,138825.0,1,1,1,2.0,0.0,True,0.0,
44b6_0113de3b,C1,25426,185,1110.0,2775.0,0,0,0,,,,,
44b6_0113de3b,C1_relinked,25426,185,1110.0,2775.0,0,0,0,,,,,True
44b6_0113de3b,C2,25426,1147,6882.0,17205.0,21,21,7,14.0,13.0,True,0.0,
44b6_0113de3b,C3,25426,169,1014.0,2535.0,0,0,0,,,,,
44b6_0113de3b,C4,25426,5814,34884.0,87210.0,16,16,6,12.0,10.0,True,0.0,
44b6_0113de3b,C4_relinked,25426,5814,34884.0,87210.0,16,16,16,23.0,0.0,True,0.0,True
44b6_0113de3b,C4_m2,25426,5814,34884.0,87210.0,65,65,35,68.0,24.0,True,0.0,
44b6_0113de3b,C4_m6,25426,5814,34884.0,87210.0,6,6,0,,6.0,,,
44b6_0113de3b,C4_Gonly,25426,5814,34884.0,87210.0,67,67,36,69.0,27.0,True,0.0,
44b6_0113de3b,C5,25426,5363,32178.0,80445.0,24,24,9,18.0,14.0,True,0.0,
44b6_0113de3b,C6,25426,5814,34884.0,87210.0,24,24,11,20.0,13.0,True,0.0,
44b6_0113de3b,C0,25426,0,,,0,0,0,,,,,
44b6_0113de3b,decoder_only,25426,0,,,0,0,0,,,,,
44b6_0113de3b,original_objective_C4,25426,0,,,0,0,0,,,,,
44b6_0113de3b,D_real,25426,179,1074.0,2685.0,0,0,0,,,,,True
44b6_0113de3b,D_synthetic,25426,177,1062.0,2655.0,0,0,0,,,,,True
44b6_0113de3b,D_synthetic_C4,25426,6238,37428.0,93570.0,19,19,18,27.0,0.0,True,0.0,True
44b6_0b24845f,C1short,20411,7226,43356.0,108390.0,1,1,1,2.0,0.0,True,0.0,
44b6_0b24845f,C1,20411,210,1260.0,3150.0,0,0,0,,,,,
44b6_0b24845f,C1_relinked,20411,210,1260.0,3150.0,0,0,0,,,,,True
44b6_0b24845f,C2,20411,1806,10836.0,27090.0,1,1,1,1.0,0.0,True,0.0,
44b6_0b24845f,C3,20411,536,3216.0,8040.0,0,0,0,,,,,
44b6_0b24845f,C4,20411,4301,25806.0,64515.0,1,1,1,1.0,0.0,True,0.0,
44b6_0b24845f,C4_relinked,20411,4301,25806.0,64515.0,1,1,1,1.0,0.0,True,0.0,True
44b6_0b24845f,C4_m2,20411,4301,25806.0,64515.0,1,1,1,1.0,0.0,True,0.0,
44b6_0b24845f,C4_m6,20411,4301,25806.0,64515.0,0,0,0,,,,,
44b6_0b24845f,C4_Gonly,20411,4301,25806.0,64515.0,94,94,74,134.0,10.0,True,0.0,
44b6_0b24845f,C5,20411,2635,15810.0,39525.0,1,1,1,1.0,0.0,True,0.0,
44b6_0b24845f,C6,20411,4301,25806.0,64515.0,0,0,0,,,,,
44b6_0b24845f,C0,20411,0,,,0,0,0,,,,,
44b6_0b24845f,decoder_only,20411,0,,,0,0,0,,,,,
44b6_0b24845f,original_objective_C4,20411,0,,,0,0,0,,,,,
44b6_0b24845f,D_real,20411,206,1236.0,3090.0,0,0,0,,,,,True
44b6_0b24845f,D_synthetic,20411,201,1206.0,3015.0,0,0,0,,,,,True
44b6_0b24845f,D_synthetic_C4,20411,4363,26178.0,65445.0,1,1,1,1.0,0.0,True,0.0,True
44b6_0c582fdc,C1short,27377,15435,92610.0,231525.0,2,2,1,2.0,0.0,True,0.0,
44b6_0c582fdc,C1,27377,356,2136.0,5340.0,0,0,0,,,,,
44b6_0c582fdc,C1_relinked,27377,356,2136.0,5340.0,0,0,0,,,,,True
44b6_0c582fdc,C2,27377,2874,17244.0,43110.0,2,2,1,1.0,1.0,True,0.0,
44b6_0c582fdc,C3,27377,1373,8238.0,20595.0,0,0,0,,,,,
44b6_0c582fdc,C4,27377,7703,46218.0,115545.0,2,2,1,1.0,1.0,True,0.0,
44b6_0c582fdc,C4_relinked,27377,7703,46218.0,115545.0,2,2,2,2.0,0.0,True,0.0,True
44b6_0c582fdc,C4_m2,27377,7703,46218.0,115545.0,9,9,7,12.0,2.0,True,0.0,
44b6_0c582fdc,C4_m6,27377,7703,46218.0,115545.0,1,1,0,,1.0,,,
44b6_0c582fdc,C4_Gonly,27377,7703,46218.0,115545.0,218,218,144,264.0,9.0,True,0.0,
44b6_0c582fdc,C5,27377,4818,28908.0,72270.0,6,6,5,8.0,1.0,True,0.0,
44b6_0c582fdc,C6,27377,7703,46218.0,115545.0,12,12,10,18.0,2.0,True,0.0,
44b6_0c582fdc,C0,27377,0,,,0,0,0,,,,,
44b6_0c582fdc,decoder_only,27377,0,,,0,0,0,,,,,
44b6_0c582fdc,original_objective_C4,27377,0,,,0,0,0,,,,,
44b6_0c582fdc,D_real,27377,355,2130.0,5325.0,0,0,0,,,,,True
44b6_0c582fdc,D_synthetic,27377,347,2082.0,5205.0,0,0,0,,,,,True
44b6_0c582fdc,D_synthetic_C4,27377,7890,47340.0,118350.0,3,3,3,4.0,0.0,True,0.0,True
44b6_0db75fae,C1short,17732,6902,41412.0,103530.0,0,0,0,,,,,
44b6_0db75fae,C1,17732,116,696.0,1740.0,0,0,0,,,,,
44b6_0db75fae,C1_relinked,17732,116,696.0,1740.0,0,0,0,,,,,True
44b6_0db75fae,C2,17732,1698,10188.0,25470.0,1,1,1,2.0,0.0,True,0.0,
44b6_0db75fae,C3,17732,333,1998.0,4995.0,0,0,0,,,,,
44b6_0db75fae,C4,17732,4444,26664.0,66660.0,2,2,1,2.0,1.0,True,0.0,
44b6_0db75fae,C4_relinked,17732,4444,26664.0,66660.0,2,2,2,3.0,0.0,True,0.0,True
44b6_0db75fae,C4_m2,17732,4444,26664.0,66660.0,5,5,3,6.0,2.0,True,0.0,
44b6_0db75fae,C4_m6,17732,4444,26664.0,66660.0,0,0,0,,,,,
44b6_0db75fae,C4_Gonly,17732,4444,26664.0,66660.0,49,49,37,66.0,7.0,True,0.0,
44b6_0db75fae,C5,17732,3326,19956.0,49890.0,2,2,1,2.0,1.0,True,0.0,
44b6_0db75fae,C6,17732,4444,26664.0,66660.0,5,5,3,4.0,2.0,True,0.0,
44b6_0db75fae,C0,17732,0,,,0,0,0,,,,,
44b6_0db75fae,decoder_only,17732,0,,,0,0,0,,,,,
44b6_0db75fae,original_objective_C4,17732,0,,,0,0,0,,,,,
44b6_0db75fae,D_real,17732,125,750.0,1875.0,0,0,0,,,,,True
44b6_0db75fae,D_synthetic,17732,118,708.0,1770.0,0,0,0,,,,,True
44b6_0db75fae,D_synthetic_C4,17732,4640,27840.0,69600.0,2,2,2,3.0,0.0,True,0.0,True
44b6_12dfb391,C1short,44462,16290,97740.0,244350.0,1,1,1,2.0,0.0,True,0.0,
44b6_12dfb391,C1,44462,419,2514.0,6285.0,0,0,0,,,,,
44b6_12dfb391,C1_relinked,44462,419,2514.0,6285.0,0,0,0,,,,,True
44b6_12dfb391,C2,44462,2017,12102.0,30255.0,4,4,0,,4.0,,,
44b6_12dfb391,C3,44462,1225,7350.0,18375.0,0,0,0,,,,,
44b6_12dfb391,C4,44462,6315,37890.0,94725.0,3,3,1,2.0,2.0,True,0.0,
44b6_12dfb391,C4_relinked,44462,6315,37890.0,94725.0,3,3,3,4.0,0.0,True,0.0,True
44b6_12dfb391,C4_m2,44462,6315,37890.0,94725.0,13,13,8,14.0,5.0,True,0.0,
44b6_12dfb391,C4_m6,44462,6315,37890.0,94725.0,1,1,0,,1.0,,,
44b6_12dfb391,C4_Gonly,44462,6315,37890.0,94725.0,99,99,73,139.0,14.0,True,0.0,
44b6_12dfb391,C5,44462,5942,35652.0,89130.0,7,7,0,,7.0,,,
44b6_12dfb391,C6,44462,6315,37890.0,94725.0,9,9,5,8.0,4.0,True,0.0,
44b6_12dfb391,C0,44462,0,,,0,0,0,,,,,
44b6_12dfb391,decoder_only,44462,0,,,0,0,0,,,,,
44b6_12dfb391,original_objective_C4,44462,0,,,0,0,0,,,,,
44b6_12dfb391,D_real,44462,428,2568.0,6420.0,0,0,0,,,,,True
44b6_12dfb391,D_synthetic,44462,410,2460.0,6150.0,0,0,0,,,,,True
44b6_12dfb391,D_synthetic_C4,44462,6581,39486.0,98715.0,5,5,5,6.0,0.0,True,0.0,True
44b6_144b256d,C1short,29714,11979,71874.0,179685.0,2,2,2,5.0,0.0,True,0.0,
44b6_144b256d,C1,29714,376,2256.0,5640.0,0,0,0,,,,,
44b6_144b256d,C1_relinked,29714,376,2256.0,5640.0,0,0,0,,,,,True
44b6_144b256d,C2,29714,1300,7800.0,19500.0,1,1,0,,1.0,,,
44b6_144b256d,C3,29714,918,5508.0,13770.0,0,0,0,,,,,
44b6_144b256d,C4,29714,3500,21000.0,52500.0,3,3,2,3.0,1.0,True,0.0,
44b6_144b256d,C4_relinked,29714,3500,21000.0,52500.0,3,3,3,4.0,0.0,True,0.0,True
44b6_144b256d,C4_m2,29714,3500,21000.0,52500.0,7,7,6,10.0,1.0,True,0.0,
44b6_144b256d,C4_m6,29714,3500,21000.0,52500.0,2,2,2,3.0,0.0,True,0.0,
44b6_144b256d,C4_Gonly,29714,3500,21000.0,52500.0,71,71,61,108.0,5.0,True,0.0,
44b6_144b256d,C5,29714,2150,12900.0,32250.0,1,1,0,,1.0,,,
44b6_144b256d,C6,29714,3500,21000.0,52500.0,4,4,3,5.0,1.0,True,0.0,
44b6_144b256d,C0,29714,0,,,0,0,0,,,,,
44b6_144b256d,decoder_only,29714,0,,,0,0,0,,,,,
44b6_144b256d,original_objective_C4,29714,0,,,0,0,0,,,,,
44b6_144b256d,D_real,29714,376,2256.0,5640.0,0,0,0,,,,,True
44b6_144b256d,D_synthetic,29714,355,2130.0,5325.0,0,0,0,,,,,True
44b6_144b256d,D_synthetic_C4,29714,3656,21936.0,54840.0,1,1,1,1.0,0.0,True,0.0,True
44b6_1574802b,C1short,19516,6352,38112.0,95280.0,0,0,0,,,,,
44b6_1574802b,C1,19516,183,1098.0,2745.0,0,0,0,,,,,
44b6_1574802b,C1_relinked,19516,183,1098.0,2745.0,0,0,0,,,,,True
44b6_1574802b,C2,19516,1546,9276.0,23190.0,2,2,1,1.0,1.0,True,0.0,
44b6_1574802b,C3,19516,681,4086.0,10215.0,0,0,0,,,,,
44b6_1574802b,C4,19516,3842,23052.0,57630.0,5,5,2,3.0,3.0,True,0.0,
44b6_1574802b,C4_relinked,19516,3842,23052.0,57630.0,5,5,5,6.0,0.0,True,0.0,True
44b6_1574802b,C4_m2,19516,3842,23052.0,57630.0,9,9,5,9.0,3.0,True,0.0,
44b6_1574802b,C4_m6,19516,3842,23052.0,57630.0,3,3,0,,3.0,,,
44b6_1574802b,C4_Gonly,19516,3842,23052.0,57630.0,104,104,76,137.0,14.0,True,0.0,
44b6_1574802b,C5,19516,2561,15366.0,38415.0,5,5,2,3.0,3.0,True,0.0,
44b6_1574802b,C6,19516,3842,23052.0,57630.0,5,5,1,1.0,4.0,True,0.0,
44b6_1574802b,C0,19516,0,,,0,0,0,,,,,
44b6_1574802b,decoder_only,19516,0,,,0,0,0,,,,,
44b6_1574802b,original_objective_C4,19516,0,,,0,0,0,,,,,
44b6_1574802b,D_real,19516,175,1050.0,2625.0,0,0,0,,,,,True
44b6_1574802b,D_synthetic,19516,198,1188.0,2970.0,0,0,0,,,,,True
44b6_1574802b,D_synthetic_C4,19516,4223,25338.0,63345.0,4,4,4,4.0,0.0,True,0.0,True
44b6_18ced818,C1short,73076,35441,212646.0,531615.0,6,6,4,8.0,0.0,True,0.0,
44b6_18ced818,C1,73076,677,4062.0,10155.0,0,0,0,,,,,
44b6_18ced818,C1_relinked,73076,677,4062.0,10155.0,0,0,0,,,,,True
44b6_18ced818,C2,73076,7054,42324.0,105810.0,4,4,4,7.0,0.0,True,0.0,
44b6_18ced818,C3,73076,1995,11970.0,29925.0,0,0,0,,,,,
44b6_18ced818,C4,73076,17154,102924.0,257310.0,5,5,4,7.0,1.0,True,0.0,
44b6_18ced818,C4_relinked,73076,17154,102924.0,257310.0,5,5,5,9.0,0.0,True,0.0,True
44b6_18ced818,C4_m2,73076,17154,102924.0,257310.0,19,19,18,33.0,1.0,True,0.0,
44b6_18ced818,C4_m6,73076,17154,102924.0,257310.0,1,1,1,2.0,0.0,True,0.0,
44b6_18ced818,C4_Gonly,73076,17154,102924.0,257310.0,187,187,161,300.0,18.0,True,0.0,
44b6_18ced818,C5,73076,16100,96600.0,241500.0,39,39,34,63.0,2.0,True,0.0,
44b6_18ced818,C6,73076,17154,102924.0,257310.0,10,10,9,16.0,1.0,True,0.0,
44b6_18ced818,C0,73076,0,,,0,0,0,,,,,
44b6_18ced818,decoder_only,73076,0,,,0,0,0,,,,,
44b6_18ced818,original_objective_C4,73076,0,,,0,0,0,,,,,
44b6_18ced818,D_real,73076,707,4242.0,10605.0,0,0,0,,,,,True
44b6_18ced818,D_synthetic,73076,684,4104.0,10260.0,0,0,0,,,,,True
44b6_18ced818,D_synthetic_C4,73076,17964,107784.0,269460.0,6,6,6,12.0,0.0,True,0.0,True
44b6_1d530831,C1short,35832,15015,90090.0,225225.0,3,3,3,7.0,0.0,True,0.0,
44b6_1d530831,C1,35832,325,1950.0,4875.0,0,0,0,,,,,
44b6_1d530831,C1_relinked,35832,325,1950.0,4875.0,0,0,0,,,,,True
44b6_1d530831,C2,35832,2354,14124.0,35310.0,8,8,3,4.0,5.0,True,0.0,
44b6_1d530831,C3,35832,949,5694.0,14235.0,0,0,0,,,,,
