variant,parent_observations,after_gate,daughter_options,pair_options,after_margin,proposed,selected,removed_edges,protected_or_nonpositive,solver_gap,after_gate_per_million_parents,after_margin_per_million_parents,selected_per_million_parents
C0,4079345,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
C1,4079345,25070,150420.0,376050.0,0,0,0,0.0,0.0,0.0,6145.594452050514,0.0,0.0
C1_relinked,4079345,25070,150420.0,376050.0,0,0,0,0.0,0.0,0.0,6145.594452050514,0.0,0.0
C1_seed2,4079345,23976,143856.0,359640.0,0,0,0,0.0,0.0,0.0,5877.4141436921855,0.0,0.0
C1short,4079345,1556994,9341964.0,23354910.0,166,166,149,298.0,1.0,0.0,381677.45066916384,40.692807301172124,36.525471613702685
C2,4079345,196263,1177578.0,2943945.0,533,533,287,480.0,230.0,0.0,48111.400237047856,130.65823067183578,70.35443190021928
C3,4079345,66378,398268.0,995670.0,0,0,0,0.0,0.0,0.0,16271.729897814477,0.0,0.0
C4,4079345,508688,3052128.0,7630320.0,516,516,310,535.0,195.0,0.0,124698.45036396774,126.49089498436636,75.99259194797204
C4_Gonly,4079345,508688,3052128.0,7630320.0,9687,9687,7404,13132.0,1166.0,0.0,124698.45036396774,2374.645929677436,1814.997260589629
C4_m2,4079345,508688,3052128.0,7630320.0,1593,1593,1083,1846.0,390.0,0.0,124698.45036396774,390.5038676552241,265.483797031141
C4_m6,4079345,508688,3052128.0,7630320.0,214,214,108,189.0,105.0,0.0,124698.45036396774,52.45940218343876,26.474838485099937
C4_relinked,4079345,508688,3052128.0,7630320.0,516,516,503,761.0,0.0,0.0,124698.45036396774,126.49089498436636,123.30410887041916
C4_seed2,4079345,463078,2778468.0,6946170.0,650,650,392,692.0,229.0,0.0,113517.73385188064,159.33930569736071,96.09385820517755
C5,4079345,413058,2478348.0,6195870.0,790,790,481,814.0,289.0,0.0,101255.96143498528,193.65854077063844,117.91108621604694
C6,4079345,508688,3052128.0,7630320.0,844,844,541,931.0,272.0,0.0,124698.45036396774,206.89596001318841,132.61932981888023
C7,4079345,508688,3052128.0,7630320.0,854,854,495,803.0,329.0,0.0,124698.45036396774,209.34733394699396,121.34300972337472
D_real,4079345,24835,149010.0,372525.0,0,0,0,0.0,0.0,0.0,6087.987164606083,0.0,0.0
D_synthetic,4079345,24740,148440.0,371100.0,0,0,0,0.0,0.0,0.0,6064.699112234929,0.0,0.0
D_synthetic_C4,4079345,543266,3259596.0,8148990.0,612,612,590,919.0,0.0,0.0,133174.81115228057,150.02408474889964,144.63106209452744
decoder_only,4079345,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
original_objective_C4,4079345,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
