variant,embryo,observed_gt_forks,parent_matched,both_daughters_matched,exact_frame_evidence,within_six_cap,after_gate,after_margin,after_decoder_new_edits
C1,44b6,26,26,22,22,20,0,0,0
C1,6bba,125,123,91,91,84,1,0,0
C1_seed2,44b6,26,26,22,22,20,0,0,0
C1_seed2,6bba,125,123,91,91,84,1,0,0
C1short,44b6,26,26,22,22,20,15,0,0
C1short,6bba,125,123,91,91,84,51,0,0
C2,44b6,26,26,22,22,20,5,2,0
C2,6bba,125,123,91,91,84,23,1,0
C3,44b6,26,26,22,22,20,4,0,0
C3,6bba,125,123,91,91,84,1,0,0
C4,44b6,26,26,22,22,20,9,1,0
C4,6bba,125,123,91,91,84,27,0,0
C4_seed2,44b6,26,26,22,22,20,8,2,0
C4_seed2,6bba,125,123,91,91,84,31,0,0
C5,44b6,26,26,22,22,20,7,2,0
C5,6bba,125,123,91,91,84,28,0,0
C6,44b6,26,26,22,22,20,9,3,1
C6,6bba,125,123,91,91,84,27,2,0
C7,44b6,26,26,22,22,20,9,1,0
C7,6bba,125,123,91,91,84,27,2,0
