variant,embryo,matched_centers,observed_gt_centers,observed_center_recall,mean_matched_distance_um,rms_matched_distance_um,count_ratio,exact_duplicates,gt_division_parents,division_daughters_matched
C0,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C0,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C1,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C1,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C1_relinked,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C1_relinked,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C1_seed2,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C1_seed2,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C1short,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C1short,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C2,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C2,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C3,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C3,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4_Gonly,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4_Gonly,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4_m2,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4_m2,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4_m6,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4_m6,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4_relinked,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4_relinked,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C4_seed2,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C4_seed2,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C5,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C5,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C6,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C6,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
C7,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
C7,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
D_real,44b6,19977,20197,0.9891072931623508,1.7305639852677823,2.14163346979456,0.753254141895478,11,26,22
D_real,6bba,110861,113121,0.9800213930216317,1.9653854110737259,2.315219976387948,1.014265860834975,8,125,90
D_synthetic,44b6,19973,20197,0.9889092439471209,1.7163148836062172,2.133756041172819,0.753254141895478,12,26,22
D_synthetic,6bba,110861,113121,0.9800213930216317,1.9627517485856583,2.3138763448958968,1.014265860834975,9,125,90
D_synthetic_C4,44b6,19973,20197,0.9889092439471209,1.7163148836062172,2.133756041172819,0.753254141895478,12,26,22
D_synthetic_C4,6bba,110861,113121,0.9800213930216317,1.9627517485856583,2.3138763448958968,1.014265860834975,9,125,90
decoder_only,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
decoder_only,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
original_objective_C4,44b6,19968,20197,0.9886616824280834,1.7502499620556944,2.15327255415198,0.753254141895478,10,26,22
original_objective_C4,6bba,110868,113121,0.9800832736627152,1.9804635733167912,2.3259793384213827,1.014265860834975,5,125,91
