dataset,embryo,detector,mean_center_score,changed_centers,mean_realized_shift_um,max_realized_shift_um,node_count_unchanged
44b6_0113de3b,44b6,real,0.4561801850795746,6177,0.10462917672763261,0.5745242597140698,True
44b6_0113de3b,44b6,synthetic,0.408353328704834,11145,0.1954894896332589,0.5745242597140698,True
44b6_0b24845f,44b6,real,0.4143490791320801,1746,0.035983148386767666,0.5745242597140698,True
44b6_0b24845f,44b6,synthetic,0.4167867600917816,2168,0.04433855992644403,0.5745242597140698,True
44b6_0c582fdc,44b6,real,0.4201243817806244,4449,0.06846185259835945,0.5745242597140698,True
44b6_0c582fdc,44b6,synthetic,0.4284476339817047,6086,0.09458809464714998,0.5745242597140698,True
44b6_0db75fae,44b6,real,0.40708673000335693,3398,0.08067883525207555,0.5745242597140698,True
44b6_0db75fae,44b6,synthetic,0.4124922454357147,4183,0.10039058962376332,0.5745242597140698,True
44b6_12dfb391,44b6,real,0.45082083344459534,7580,0.07199483255366797,0.5745242597140698,True
44b6_12dfb391,44b6,synthetic,0.46720337867736816,12605,0.12236346050102367,0.5745242597140698,True
44b6_144b256d,44b6,real,0.45704731345176697,4533,0.06331961543451466,0.5745242597140698,True
44b6_144b256d,44b6,synthetic,0.47046709060668945,8561,0.12435261359786201,0.5745242597140698,True
44b6_1574802b,44b6,real,0.42062434554100037,3398,0.07387847268964368,0.5745242597140698,True
44b6_1574802b,44b6,synthetic,0.4318627715110779,4227,0.09225377337092719,0.5745242597140698,True
44b6_18ced818,44b6,real,0.41557776927948,13811,0.0796466036386622,0.5745242597140698,True
44b6_18ced818,44b6,synthetic,0.43000587821006775,18914,0.10984084288204705,0.5745242597140698,True
44b6_1d530831,44b6,real,0.4208185076713562,6409,0.07536412176887838,0.5745242597140698,True
44b6_1d530831,44b6,synthetic,0.4337398111820221,8702,0.10302257673093074,0.5745242597140698,True
44b6_24264f12,44b6,real,0.42246532440185547,5579,0.08876755062859892,0.5745242597140698,True
44b6_24264f12,44b6,synthetic,0.4341486096382141,8082,0.12997885018155936,0.5745242597140698,True
44b6_267148e4,44b6,real,0.39877939224243164,4650,0.08878885554919255,0.5745242597140698,True
44b6_267148e4,44b6,synthetic,0.40300995111465454,4671,0.08978242044660747,0.5745242597140698,True
44b6_2a2eff9f,44b6,real,0.4524226784706116,7639,0.07970274082513931,0.5745242597140698,True
44b6_2a2eff9f,44b6,synthetic,0.4629896283149719,11881,0.12752180793338888,0.5745242597140698,True
44b6_2f31fc2f,44b6,real,0.4093269109725952,3005,0.0648830996258796,0.5745242597140698,True
44b6_2f31fc2f,44b6,synthetic,0.4097847640514374,3092,0.06614580977884633,0.5745242597140698,True
44b6_33b596bf,44b6,real,0.4072933793067932,4510,0.08168186235925126,0.5745242597140698,True
44b6_33b596bf,44b6,synthetic,0.41504281759262085,6363,0.11516175278074656,0.5745242597140698,True
44b6_341df25f,44b6,real,0.40754514932632446,1070,0.054484202710927555,0.5745242597140698,True
44b6_341df25f,44b6,synthetic,0.4211268424987793,1404,0.07130054271698909,0.5745242597140698,True
44b6_3a861e03,44b6,real,0.44465672969818115,8272,0.09735387618644421,0.5745242597140698,True
44b6_3a861e03,44b6,synthetic,0.4382777512073517,11927,0.14339176921825367,0.5745242597140698,True
44b6_3bb3690f,44b6,real,0.4115452468395233,1552,0.04029380216885585,0.5745242597140698,True
44b6_3bb3690f,44b6,synthetic,0.4246779680252075,974,0.02547994041170371,0.5745242597140698,True
44b6_40c45f5a,44b6,real,0.4200652837753296,6466,0.09209179744462292,0.5745242597140698,True
44b6_40c45f5a,44b6,synthetic,0.4271586537361145,8098,0.11602091856693394,0.5745242597140698,True
44b6_415c0a3a,44b6,real,0.45956477522850037,6204,0.07604939420805154,0.5745242597140698,True
44b6_415c0a3a,44b6,synthetic,0.4714059829711914,10148,0.12773746297576316,0.5745242597140698,True
44b6_53f95252,44b6,real,0.4061442017555237,3353,0.044921566032225066,0.5745242597140698,True
44b6_53f95252,44b6,synthetic,0.4195365309715271,4791,0.06477164694574114,0.5745242597140698,True
44b6_551a5dba,44b6,real,0.42770928144454956,6284,0.08364230139063061,0.5745242597140698,True
44b6_551a5dba,44b6,synthetic,0.4454087018966675,8813,0.11975713492456883,0.5745242597140698,True
44b6_5740d24b,44b6,real,0.41628119349479675,1280,0.04648517049876937,0.5745242597140698,True
44b6_5740d24b,44b6,synthetic,0.425670862197876,1875,0.06821892335174316,0.5745242597140698,True
44b6_587a1e22,44b6,real,0.432413786649704,4555,0.1031139014993975,0.5745242597140698,True
44b6_587a1e22,44b6,synthetic,0.42304396629333496,6804,0.1592282905297586,0.5745242597140698,True
44b6_5f15d135,44b6,real,0.413928747177124,2878,0.0552202445830188,0.5745242597140698,True
44b6_5f15d135,44b6,synthetic,0.421766996383667,1591,0.03037155744911148,0.5745242597140698,True
44b6_668e0cc7,44b6,real,0.4662500023841858,8046,0.10059831812105637,0.5745242597140698,True
44b6_668e0cc7,44b6,synthetic,0.458257794380188,12874,0.166367548580921,0.5745242597140698,True
44b6_66f9292d,44b6,real,0.4520653188228607,3085,0.054371885482560695,0.5745242597140698,True
44b6_66f9292d,44b6,synthetic,0.45739251375198364,4687,0.08451291160030575,0.5745242597140698,True
44b6_706092f0,44b6,real,0.4414530098438263,4811,0.06814620036530343,0.5745242597140698,True
