edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,dataset,estimated_total,gt_node_recall,matched_nodes,graph_hash,metric_revision,variant,embryo,prediction_sha256,seconds,count_ratio,gt_node_count,exact_duplicate_centers,match_distance_sum_um,match_distance_squared_sum_um2,mean_match_distance_um,gt_division_parents,division_daughters_matched
48,0,2,0,0,0,25650,0.9423076923076923,-0.004076878276062901,0.96,0.960391380314502,44b6_0113de3b,25755,0.9423076923076923,49,e920e3bc4e0c33243235a782e983af504271a1120112b71d76bb4d36b427da2c,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,6dea947fdfab46e25064a63982a9b9b01a5e2d1331b94b35aa645b38255aa048,1.260623493231833,0.9959231217239372,52,0,58.73419450151791,110.0810546875,1.1986570306432227,0,0
49,1,0,0,1,0,20498,1.0,-0.37496569599024243,0.98,1.0167466382070436,44b6_0b24845f,32795,1.0,51,5db97dcd6a49c0f08996614c46a0d56050e04e99cfb3e8f1cbe7ed2b457d5036,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,f66a698523e97105067229f4d904db1d1514e1858748e66143c6231a00ec3a15,1.006204394157976,0.6250343040097576,51,0,137.15092676655533,434.8779296875,2.6892338581677517,0,0
67,4,3,0,0,0,27580,1.0,-0.013520280420630946,0.9054054054054054,0.9066295389029491,44b6_0c582fdc,27958,1.0,71,4cb0cabe90dfdb3f63b3d083e08e36562e1e7e5c40f508511e425c702dd09da5,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,2872ea8553f2ea245f3e99c4dbd5cd7704d43c371c26c70f03e5479e15255dd6,1.2684155949391425,0.9864797195793691,71,0,95.66004054063322,196.2314453125,1.3473245146568058,0,0
149,0,2,0,0,0,17809,0.9808917197452229,0.16133029018584935,0.9867549668874173,0.9708356203723898,44b6_0db75fae,15335,0.9808917197452229,154,75087b524b125f393597693bd12c7a9d0312139153648549ee75caa4392dd70a,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ddece0f1c0fe67d4c8617c7589eb65d622f53f122a14950b91d43ed07ff5f29c,0.91949024470523,1.1613302901858493,157,0,205.53023785270545,374.638671875,1.334611934108477,0,0
737,33,36,0,0,1,44829,0.9873096446700508,-0.23593877829288246,0.9143920595533499,0.935966114094523,44b6_12dfb391,58672,0.9873096446700508,778,8b0cea30f4314e2f9ab11c8e32bd60c275921ea77776168dc24b0ae1860f3c6e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,bec6c197cd8c082c262eab4347e6871bd1c0a7ac7773609de717cba6cd8dcd7e,2.501945111900568,0.7640612217071175,788,1,1189.680241046543,2905.5126953125,1.5291519807796181,1,1
116,4,3,0,0,0,29891,1.0,-0.5427832843857073,0.943089430894309,0.9942787487713352,44b6_144b256d,65376,1.0,121,29110a697a5c60ef162650de3d396b8ce42af2fda48204bb1379a146d140bb45,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ec8b0df92e675d43047dc1f142fee93ba6d71406b9af4912181fa6c75369a41b,1.3237199438735843,0.4572167156142927,121,0,212.66533011634698,518.3876953125,1.757564711705347,0,0
144,8,9,0,2,0,19610,0.9612903225806452,0.10935113424223568,0.8944099378881988,0.8846294637696386,44b6_1574802b,17677,0.9612903225806452,149,991e0dea3312a8f06b518e2b5354cf71062bbb576f3da6d0b609ef3ce5d27e7c,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,66c513d5a67ea6a2d993ae98a5e7a79f94b03d044c4d3b5a485cf5b2de5b8ee2,1.0174929769709706,1.1093511342422357,155,0,221.75703868970777,437.68359375,1.488302273085287,0,0
91,12,8,0,0,0,73496,1.0,-0.06545953918925793,0.8198198198198198,0.8251863225821824,44b6_18ced818,78644,1.0,100,92528989064d9b213406135e581880abb2536a878b045082603e356e75b8d347,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,4bf22ba4b68ca1708e46a27c1d25d9e0cbacf67a3a1e322a40a3fd0a2be4747a,2.71667841123417,0.934540460810742,100,0,196.51778397286137,518.552734375,1.9651778397286137,0,0
244,33,27,0,1,0,36229,0.9782608695652174,0.011277041172365667,0.8026315789473685,0.8017264480111654,44b6_1d530831,35825,0.9782608695652174,270,d5cfd96474d9cd3a6c4484dede180cc6302ef25c7a21ce3a660e50ba1432d963,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,6cbb659c9fd8c6dabde02243406c11e050cdb413b86d74ff538d3c14b9c20b64,1.3337142057716846,1.0112770411723657,276,0,578.273281133677,1864.611328125,2.1417528930876926,0,0
213,12,8,0,1,0,27034,0.991304347826087,0.02584146017531211,0.9141630901287554,0.9118007592200251,44b6_24264f12,26353,0.991304347826087,228,b24cb4dbf3e131f4cef3d9e7424b149570673df5629d9b0151095d5dfc144008,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,d91f5f2798e5d104cdee111c149a44de9c83216651b47832197df5fcbc261912,1.020791389979422,1.025841460175312,230,0,303.77838491327685,606.0234375,1.3323613373389336,0,0
260,24,17,1,0,0,22305,0.9964285714285714,0.16596968112911656,0.8637873754152824,0.8494511238891793,44b6_267148e4,19130,0.9964285714285714,279,7b388e055396523bdac4a869dc4b9cba00912ed7830b62182209090a56e10ea5,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,66a4f5257985b3a557750cb3c0c4c1f3027b3ee2f562d52a6ab996debb10e68e,1.0865761158056557,1.1659696811291165,280,0,653.1089504600795,2080.6474609375,2.3408922955558404,1,1
198,20,12,0,0,1,39990,1.0,-0.2905423386023737,0.8608695652173913,0.8858814708883782,44b6_2a2eff9f,56367,1.0,214,99139d338235369b4f96643074ffdc0d342569a71a8bf198edc030c349d8907b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,1b64646a6e8372c092d60697209fb69efb7d52e8a3999123a8f124c475ac07c7,1.8484843987971544,0.7094576613976262,214,0,433.5331362199415,1172.2724609375,2.0258557767286987,1,1
65,36,20,0,0,0,19728,1.0,-0.19041365725541695,0.5371900826446281,0.5474189154723984,44b6_2f31fc2f,24368,1.0,89,b1166afcb234f5d5b8b0296bbd7dee13b7b9a39986a4f1950314fbeacc8ad3cf,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,7d31afd98deeb63733834ed014e1aacbf2a7768e45a83906dceff2bc1a8e059b,0.7390495389699936,0.8095863427445831,89,0,299.91024293485975,1203.794921875,3.3697780105040422,0,0
49,0,0,0,0,0,23912,1.0,0.024946420917273896,1.0,0.9975053579082727,44b6_33b596bf,23330,1.0,50,5b963d046eb2776379a9cfbe829f645058792e9e0efdc51afe93f289b292f4b4,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,489a0ff1ada72185a24c92b00a11611540e9ad1481879289794f111dc90d6e28,0.9194118529558182,1.0249464209172738,50,0,73.45740957921548,177.7470703125,1.4691481915843096,0,0
208,0,1,0,0,1,8389,1.0,0.12816030123722433,0.9952153110047847,0.9824606015993576,44b6_341df25f,7436,1.0,216,81a3a1a44fbd60967df5b00b745d5069c9f0d4cefd1ed744d9b26aa08ba585df,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,8bed591f15884e4994d4516c30a5f20b1050d46105e70dfd39aa1a6c37d15aea,0.6342004030011594,1.1281603012372243,216,0,414.78998134309666,937.091796875,1.9203239876995215,1,1
894,26,25,0,0,0,36679,0.9882352941176471,-0.09537315641493613,0.946031746031746,0.955054349400524,44b6_3a861e03,40546,0.9882352941176471,924,519ffc2f42843465f0823877dd9f761f351d6abceddc3c963506cc112401b600,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,29a6b6fbde98d0c76eb3c9926a546a06a85d1e53ed43ac0f2845d930a8154cc4,1.47031165426597,0.9046268435850638,935,0,1473.358843405497,3650.994140625,1.594544202819802,0,0
371,34,25,0,0,0,16203,0.9925,-0.4926574192942355,0.8627906976744186,0.9052967215251538,44b6_3bb3690f,31937,0.9925,397,b8369f01df88241305ce55ea874fc4184d1a957a2310561ea0ce7d89ac570954,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,00538c8673da0125b0873cbdfe46c2fb72d6ae4edddcdd28812bfcd7785cd10e,0.7528826911002398,0.5073425807057644,400,0,754.3555039960313,2044.6689453125,1.900139808554235,0,0
