case,model,temperature,checkpoint_sha256,rows,nll,accuracy,positive,positive_pair_correct,false_pair
clean,G_synthetic,1.0,bd00c9743056ffd0539f6231013518830e0e17c343bf1bd6b94d959531941817,4096,0.17098736763000488,0.93798828125,232,199,240
clean,G_fish,1.0,762f051cb7f3388dc2b39db63a612ab424ce3a1adc76449ca93ae99945f86cdf,4096,1.1228580474853516,0.53173828125,232,175,1889
clean,G_combined,1.0,44408e1652f7541598c313eab78554af2eceed7533284d11e0d4875e6dc224e7,4096,0.2930232286453247,0.890380859375,232,199,435
clean,G_multispecies,1.0,4388f4b948c722187a6f81287b45aaf0b071ce3392956a7e8244cc9a5bcd5bb1,4096,0.3119964897632599,0.87646484375,232,198,492
clean,G_real_44b6,1.0,d75c36c694a2d4795fbfccb1d77b155bfae194196e7e8548b664406d20727746,4096,7.2616286277771,0.9423828125,232,0,4
clean,G_real_6bba,1.0,c52e48740701b9fb842bd20e14662401e707c48c792c2a0331ee72136205f490,4096,5.15041446685791,0.92333984375,232,26,114
clean,I_synthetic,1.0,283e04d14b79c5f9f2d8fd3377d57447e70c8e88e4b8eff117409cded45c1b3a,4096,0.29577240347862244,0.899658203125,232,181,385
clean,I_real_44b6,1.0,485263f64ea8cb338244bfa27a313558eb4e38348194809f64282db27ba822b4,4096,6.309492111206055,0.83984375,232,1,440
clean,I_real_6bba,1.0,16677691ba6c5871311b651a412eb9ef5af8f1dbd89fb76c4432ed03f3b2be94,4096,4.242502689361572,0.894775390625,232,0,212
clean,I_randomized_44b6,1.0,3c05d08048d4657a086c4233be3b3638a9a0f2839fb4cf0e69abf1bc53fa7819,4096,0.30878180265426636,0.897216796875,232,184,398
clean,I_randomized_6bba,1.0,2b62c3be927c99f73404deff9e43f567ba2a3ab00af42bb27927d466f7331ed7,4096,0.3179238736629486,0.8916015625,232,180,418
localization,G_synthetic,1.0,bd00c9743056ffd0539f6231013518830e0e17c343bf1bd6b94d959531941817,4096,0.16683214902877808,0.9375,234,201,234
localization,G_fish,1.0,762f051cb7f3388dc2b39db63a612ab424ce3a1adc76449ca93ae99945f86cdf,4096,1.1030073165893555,0.54150390625,234,176,1851
localization,G_combined,1.0,44408e1652f7541598c313eab78554af2eceed7533284d11e0d4875e6dc224e7,4096,0.2911413013935089,0.89208984375,234,204,425
localization,G_multispecies,1.0,4388f4b948c722187a6f81287b45aaf0b071ce3392956a7e8244cc9a5bcd5bb1,4096,0.31152743101119995,0.8779296875,234,203,482
localization,G_real_44b6,1.0,d75c36c694a2d4795fbfccb1d77b155bfae194196e7e8548b664406d20727746,4096,6.97121000289917,0.94140625,234,0,6
localization,G_real_6bba,1.0,c52e48740701b9fb842bd20e14662401e707c48c792c2a0331ee72136205f490,4096,4.962311744689941,0.9296875,234,26,86
