sample,case,partition,source_sha256,fixture_sha256,observations,anchors,positives,continuations,censored,duplicate_observations,short_history_parents
seq_0006,clean,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,f6d61b1233b195cb0a10146a603d15d14a2447d6b2aa403b7647c518349a33db,1378,256,11,245,0,0,50
seq_0006,localization,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,1d46c80f5c7e18731cbdecb275fe7f08f9d85097c364ba4b60c4668d767de02c,1378,256,13,243,0,0,47
seq_0006,dropout,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,31c7aedb95bb7448d010febca33c174acd132779febe09d0954066e7e77a17d2,1156,256,8,245,3,0,50
seq_0006,duplicates,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,cd398d61d78af58dd2cf58916f404b208589e38250da06b149ad7622a9e99574,1525,256,17,239,0,147,58
seq_0006,clipped_daughter,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,b611f48526acc29467fcbeb2a50c0740c6e24a8fc92e1122471cf31ec731e458,1350,256,6,245,5,0,50
seq_0006,short_history,generator_test,fec5b10acfb69030e6d61213fc7a661e9f4f51ffb7b23d9d6365d80cf4ae0afe,038e119b1ac6674422409db09764b3ea45d57e7ebb1d13f46429353056b5e98c,967,256,10,246,0,0,84
seq_0229,clean,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,c26c01c4fd24fc2915ee83066225c98dcd8900f30ade8f63e684fd22fb734c09,1320,256,14,242,0,0,42
seq_0229,localization,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,994e1c9c325cea4cef91a2d073acbf036ad21fa6cd3935a83862b112f2e94625,1320,256,16,240,0,0,42
seq_0229,dropout,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,c8ad56a74d035c395cab15a8a0c7ca023f286a6baed32801794bf673039c3fe5,1111,256,3,250,3,0,36
seq_0229,duplicates,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,c673372f04e6af36112b7ce886e7ead54d5e396d0c5a657111f0819ed6356896,1465,256,12,244,0,145,50
seq_0229,clipped_daughter,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,d67ed8e8521f666596a340153994f2b84f091d61a433f1763059877de08a2f30,1294,256,8,241,7,0,43
seq_0229,short_history,generator_test,9dcc60d939daa42cbebd5fdfe2af74ce5e20eab79418a37fb16bb6e8bf553fcd,9b83ed0d03b4c385baa5cc41f482e911456e29101092174fd6775cc0fdf10f64,920,256,14,242,0,0,83
seq_0311,clean,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,f488176ee482a4eb48c48ee0894f6d3243fd4dba7495f9629a4649c02bd699a3,1180,256,10,246,0,0,45
seq_0311,localization,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,2df4991cce9c2548c3265142d91d3f3162d8eb33ada60a5d7b84b572be25242e,1180,256,13,243,0,0,48
seq_0311,dropout,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,5c296b662668e9fdd624335de1c61d64c63f4fb11df42710889fe04a32e03c1d,1005,256,8,246,2,0,47
seq_0311,duplicates,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,6a1aab1e92f1d9b41eb1dcb83b5bcad296e9fe3231d95aaa9b40f7338e526832,1297,256,8,248,0,117,51
seq_0311,clipped_daughter,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,8dc2954ff9d536dadd7e59c17346bcce4edc84e91064c50ce1a774bbf6e2b733,1159,256,8,243,5,0,45
seq_0311,short_history,generator_test,5973078ed4284f3074b229ad513c77df3ed2acfba6b1fba5c3ce887b528e138e,a3624d48a7e4e6188ee2fac7750c9533276a61272d3322e575e47b7931a7dc36,822,256,11,245,0,0,73
seq_0415,clean,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,5bfbcb7d61b3734895ba438380bcc1f02ba60a90e89587e9825d4d94f5650af1,1389,256,21,235,0,0,46
seq_0415,localization,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,9d759c1db8045cba3cca1fa1943eb6754a6089002a2441c1d545f5b2daf0eaa8,1389,256,11,245,0,0,41
seq_0415,dropout,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,1f5a9fd5ef9c0c12dad5b796a87bcddbda25d94639278a5c5c94aadc3a7d3c2c,1163,256,8,242,6,0,58
seq_0415,duplicates,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,9075aa5e4c5dad6221dc337e1ef088a38db0f153232f271192fecba264d96c3a,1530,256,10,246,0,141,47
seq_0415,clipped_daughter,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,64e1e6d743b5ae28cf92a2faa59eca5a76507e89c94b8d75dc7ebf2ae9a951a2,1353,256,8,239,9,0,43
seq_0415,short_history,generator_test,4660e7ab5bf7bfe6ed44750f13b2746bb3dae05269fab591ccea1a78469aa232,f610e735650885e279ea714279d93284b1ec4288d3645c43530e35b821caa451,982,256,14,242,0,0,79
seq_0519,clean,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,d9421ffb3c5a951d622057e7f215864cd7bb0e0d1fd48a8e6c3d12928c54dfb8,1608,256,15,241,0,0,43
seq_0519,localization,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,d509563e6df7ecf7fe0b37abb2c9be314a5ac8e9a72e493de5e6bd06960470b9,1608,256,14,242,0,0,51
seq_0519,dropout,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,f8452dc15402e6a86f84d7f1839194504d6428a44e1ba735cf9e3f3c72219b11,1360,256,12,243,1,0,46
seq_0519,duplicates,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,60fc6763acb9982f4c45ca10a1d5be11275f5a116a8a3ab9331fc41932a19432,1780,256,12,244,0,172,42
seq_0519,clipped_daughter,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,544bee9d8c070292be2f37a76fac7d9668c637984b23564e5effa71bfbb2daea,1575,256,7,241,8,0,46
seq_0519,short_history,generator_test,e867375bcb36412da34b2961f8ef39ce92311ef306ed0fc244415c3281ae9f9a,68b247c50035f7817338065414db0cd166338eca39be8213560b4cbee401e7a9,1127,256,10,246,0,0,90
seq_0722,clean,generator_test,8002fbfc1c9160d5f56fcffad4dcb93f67dbf94bf10871bd87045030f0c31c75,4bb7de2bc116862be2311ba339c26b1c929765416cce151844061e521bd00a24,1571,256,12,244,0,0,53
