model,component,source,updates,parameters,seconds,peak_gpu_gib,unique_groups,unique_positive_groups,external_examples,direct_sources,primary_real_supervised_rows
D_real_44b6,D,,12000,32164,76.41860228730366,0.07473230361938477,10674,1893,0,44b6,
D_real_44b6_seed2,D,,12000,32164,79.6839071069844,0.07473230361938477,10674,1893,0,44b6,
D_real_6bba,D,,12000,32164,75.67641859315336,0.08246421813964844,27229,9783,0,6bba,
D_real_6bba_seed2,D,,12000,32164,79.2097196970135,0.08246421813964844,27229,9783,0,6bba,
D_real_adapt_44b6,D,44b6,8000,32164,89.76864849636331,0.07046175003051758,10674,1893,0,44b6,384000.0
D_real_adapt_6bba,D,6bba,8000,32164,90.47015484515578,0.07819366455078125,27229,9783,0,6bba,384000.0
D_synthetic,D,,12000,32164,79.15186998900026,0.09064483642578125,44352,22176,1386,synthetic,
D_synthetic_adapt_44b6,D,44b6,8000,32164,83.98672313196585,0.09084272384643555,55026,24069,1386,"44b6,synthetic",384000.0
D_synthetic_adapt_6bba,D,6bba,8000,32164,86.93126228032634,0.09857463836669922,71581,31959,1386,"6bba,synthetic",384000.0
D_synthetic_seed2,D,,12000,32164,77.35045540099964,0.09064483642578125,44352,22176,1386,synthetic,
G_C1_44b6,G,44b6,8000,892420,225.97338229883462,0.09073495864868164,7688,20,0,44b6,384000.0
G_C1_6bba,G,6bba,8000,892420,212.26008069003,0.09380340576171875,14207,84,0,6bba,384000.0
G_C1_seed2_44b6,G,44b6,8000,892420,213.27208650205284,0.09073495864868164,7688,20,0,44b6,384000.0
G_C1_seed2_6bba,G,6bba,8000,892420,222.8782028327696,0.09380340576171875,14207,84,0,6bba,384000.0
G_C1short_44b6,G,44b6,8000,892420,216.5072171939537,0.08740806579589844,7688,20,0,44b6,384000.0
G_C1short_6bba,G,6bba,8000,892420,218.73662659199908,0.09047651290893555,14207,84,0,6bba,384000.0
G_C2_44b6,G,44b6,8000,892420,211.22538445703685,0.1317129135131836,96525,41505,1973,"44b6,synthetic",384000.0
G_C2_6bba,G,6bba,8000,892420,211.02005293313414,0.1347813606262207,103044,41569,1973,"6bba,synthetic",384000.0
G_C3_44b6,G,44b6,8000,892420,223.33504213392735,0.09073495864868164,7688,20,0,44b6,384000.0
G_C3_6bba,G,6bba,8000,892420,223.67956979759037,0.09380340576171875,14207,84,0,6bba,384000.0
G_C4_44b6,G,44b6,8000,892420,210.65151940379292,0.14903974533081055,103151,43026,1974,"44b6,synthetic,zebrafish",384000.0
G_C4_6bba,G,6bba,8000,892420,209.7536312500015,0.1518402099609375,109670,43090,1974,"6bba,synthetic,zebrafish",384000.0
G_C4_seed2_44b6,G,44b6,8000,892420,209.65438131336123,0.14903974533081055,103151,43026,1974,"44b6,synthetic,zebrafish",384000.0
G_C4_seed2_6bba,G,6bba,8000,892420,206.75050476705655,0.1518402099609375,109670,43090,1974,"6bba,synthetic,zebrafish",384000.0
G_C5_44b6,G,44b6,8000,892420,213.6801751810126,0.1501297950744629,89570,36909,1975,"44b6,synthetic,zebrafish,ascidian",384000.0
