model,temperature,rows,nll,accuracy,positive,positive_pair_correct,false_pair
G_C1_44b6,7.99999382842454,1991,1.375514030456543,0.9502762430939227,96,0,3
G_C2_44b6,0.9018322091671049,1991,0.14383362233638763,0.9437468608739327,96,82,103
G_C3_44b6,7.276670270099468,1991,0.20922477543354034,0.9502762430939227,96,5,9
G_C4_44b6,0.692389025358735,1991,0.17660300433635712,0.9362129583124058,96,81,117
G_C5_44b6,0.7592262795205159,1991,0.19762907922267914,0.9296835760924159,96,81,128
G_C6_44b6,0.692389025358735,1991,0.17660300433635712,0.9362129583124058,96,81,117
G_C1short_44b6,7.482170596755377,1991,0.33447226881980896,0.9347061778001005,96,2,37
I_C1_44b6,7.999996529342784,1991,0.9579805731773376,0.8719236564540432,96,0,163
I_C2_44b6,0.8657217617358711,1991,0.26939138770103455,0.9126067302862882,96,82,168
I_C3_44b6,7.999995980018635,1991,0.7568417191505432,0.8884982420894023,96,1,131
I_C4_44b6,0.8556631123250404,1991,0.2643795311450958,0.9171270718232044,96,82,159
I_C5_44b6,0.8634097090307065,1991,0.27324503660202026,0.9105976896032144,96,82,172
I_C6_44b6,0.8332827999243025,1991,0.26426297426223755,0.9055750878955299,96,79,179
I_C1short_44b6,7.9999938184743495,1991,0.5250855088233948,0.9291813159216474,96,0,46
G_C1_6bba,7.999993432819816,1991,0.9356041550636292,0.9367152184831743,96,5,35
G_C2_6bba,0.8899363590558859,1991,0.14548645913600922,0.9482672024108488,96,87,96
G_C3_6bba,6.999819696323031,1991,0.24587911367416382,0.9487694625816173,96,13,19
G_C4_6bba,0.7749528507993848,1991,0.22515587508678436,0.9186338523355098,96,83,153
G_C5_6bba,0.7852010917678311,1991,0.22240613400936127,0.9186338523355098,96,83,153
G_C6_6bba,0.7749528507993848,1991,0.22515587508678436,0.9186338523355098,96,83,153
G_C1short_6bba,6.814763959745717,1991,0.48793426156044006,0.8503264691109995,96,11,227
I_C1_6bba,7.99999593987295,1991,0.8004366159439087,0.8784530386740331,96,1,153
I_C2_6bba,0.8522616940708767,1991,0.23013745248317719,0.9226519337016574,96,81,146
I_C3_6bba,7.999994284341246,1991,0.7692326903343201,0.8593671521848317,96,2,192
I_C4_6bba,0.8640514495008517,1991,0.23028139770030975,0.9226519337016574,96,79,146
I_C5_6bba,0.8735604357700179,1991,0.24223653972148895,0.9181315921647414,96,82,156
I_C6_6bba,0.8555505483857041,1991,0.1872447431087494,0.9392265193370166,96,76,108
I_C1short_6bba,7.999993286687906,1991,5.236949443817139,0.47463586137619285,96,2,998
