arm,embryo,dimension,stratum,metric,count,status
A10,44b6,close_cells,isolated,division_fn,15,measured
A10,44b6,close_cells,isolated,division_fp,18,measured
A10,44b6,close_cells,isolated,division_tp,5,measured
A10,44b6,close_cells,isolated,edge_fn,635,measured
A10,44b6,close_cells,isolated,edge_fp,657,measured
A10,44b6,close_cells,isolated,edge_tp,14381,measured
A10,44b6,close_cells,within_7um_competitor,division_fn,4,measured
A10,44b6,close_cells,within_7um_competitor,division_fp,4,measured
A10,44b6,close_cells,within_7um_competitor,division_tp,2,measured
A10,44b6,close_cells,within_7um_competitor,edge_fn,308,measured
A10,44b6,close_cells,within_7um_competitor,edge_fp,434,measured
A10,44b6,close_cells,within_7um_competitor,edge_tp,4502,measured
A10,44b6,density10,high,division_fn,4,measured
A10,44b6,density10,high,division_fp,4,measured
A10,44b6,density10,high,division_tp,4,measured
A10,44b6,density10,high,edge_fn,318,measured
A10,44b6,density10,high,edge_fp,454,measured
A10,44b6,density10,high,edge_tp,5660,measured
A10,44b6,density10,low,division_fn,3,measured
A10,44b6,density10,low,division_fp,5,measured
A10,44b6,density10,low,division_tp,3,measured
A10,44b6,density10,low,edge_fn,54,measured
A10,44b6,density10,low,edge_fp,85,measured
A10,44b6,density10,low,edge_tp,3115,measured
A10,44b6,density10,middle,division_fn,12,measured
A10,44b6,density10,middle,division_fp,13,measured
A10,44b6,density10,middle,edge_fn,356,measured
A10,44b6,density10,middle,edge_fp,552,measured
A10,44b6,density10,middle,edge_tp,10108,measured
A10,44b6,density10,no_assigned_observation,edge_fn,215,measured
A10,44b6,depth,high,division_fn,6,measured
A10,44b6,depth,high,division_fp,5,measured
A10,44b6,depth,high,division_tp,1,measured
A10,44b6,depth,high,edge_fn,265,measured
A10,44b6,depth,high,edge_fp,315,measured
A10,44b6,depth,high,edge_tp,4487,measured
A10,44b6,depth,low,division_fn,4,measured
A10,44b6,depth,low,division_fp,3,measured
A10,44b6,depth,low,division_tp,1,measured
A10,44b6,depth,low,edge_fn,239,measured
A10,44b6,depth,low,edge_fp,237,measured
A10,44b6,depth,low,edge_tp,4489,measured
A10,44b6,depth,middle,division_fn,9,measured
A10,44b6,depth,middle,division_fp,14,measured
A10,44b6,depth,middle,division_tp,5,measured
A10,44b6,depth,middle,edge_fn,439,measured
A10,44b6,depth,middle,edge_fp,539,measured
A10,44b6,depth,middle,edge_tp,9907,measured
A10,44b6,event_support,division_extra,division_fp,22,measured
A10,44b6,event_support,division_no_fork,division_fn,17,measured
A10,44b6,event_support,division_observation,division_fn,2,measured
A10,44b6,intensity,high,division_fn,4,measured
A10,44b6,intensity,high,division_fp,7,measured
A10,44b6,intensity,high,division_tp,2,measured
A10,44b6,intensity,high,edge_fn,248,measured
A10,44b6,intensity,high,edge_fp,385,measured
A10,44b6,intensity,high,edge_tp,5871,measured
A10,44b6,intensity,low,division_fn,3,measured
A10,44b6,intensity,low,division_fp,1,measured
A10,44b6,intensity,low,division_tp,3,measured
A10,44b6,intensity,low,edge_fn,87,measured
A10,44b6,intensity,low,edge_fp,139,measured
A10,44b6,intensity,low,edge_tp,2566,measured
A10,44b6,intensity,middle,division_fn,12,measured
A10,44b6,intensity,middle,division_fp,14,measured
A10,44b6,intensity,middle,division_tp,2,measured
A10,44b6,intensity,middle,edge_fn,393,measured
A10,44b6,intensity,middle,edge_fp,567,measured
A10,44b6,intensity,middle,edge_tp,10446,measured
A10,44b6,intensity,no_assigned_observation,edge_fn,215,measured
A10,44b6,local_contrast,high,division_fn,5,measured
A10,44b6,local_contrast,high,division_fp,8,measured
A10,44b6,local_contrast,high,division_tp,3,measured
A10,44b6,local_contrast,high,edge_fn,163,measured
A10,44b6,local_contrast,high,edge_fp,258,measured
A10,44b6,local_contrast,high,edge_tp,6692,measured
A10,44b6,local_contrast,low,division_fn,3,measured
A10,44b6,local_contrast,low,division_fp,1,measured
A10,44b6,local_contrast,low,division_tp,2,measured
A10,44b6,local_contrast,low,edge_fn,110,measured
A10,44b6,local_contrast,low,edge_fp,180,measured
A10,44b6,local_contrast,low,edge_tp,1949,measured
A10,44b6,local_contrast,middle,division_fn,11,measured
A10,44b6,local_contrast,middle,division_fp,13,measured
A10,44b6,local_contrast,middle,division_tp,2,measured
A10,44b6,local_contrast,middle,edge_fn,455,measured
A10,44b6,local_contrast,middle,edge_fp,653,measured
A10,44b6,local_contrast,middle,edge_tp,10242,measured
A10,44b6,local_contrast,no_assigned_observation,edge_fn,215,measured
A10,44b6,spatial_boundary,interior,division_fn,17,measured
A10,44b6,spatial_boundary,interior,division_fp,18,measured
A10,44b6,spatial_boundary,interior,division_tp,5,measured
A10,44b6,spatial_boundary,interior,edge_fn,745,measured
A10,44b6,spatial_boundary,interior,edge_fp,900,measured
A10,44b6,spatial_boundary,interior,edge_tp,15701,measured
A10,44b6,spatial_boundary,within_7um,division_fn,2,measured
A10,44b6,spatial_boundary,within_7um,division_fp,4,measured
A10,44b6,spatial_boundary,within_7um,division_tp,2,measured
A10,44b6,spatial_boundary,within_7um,edge_fn,198,measured
A10,44b6,spatial_boundary,within_7um,edge_fp,191,measured
A10,44b6,spatial_boundary,within_7um,edge_tp,3182,measured
A10,44b6,temporal_boundary,boundary,edge_fn,71,measured
A10,44b6,temporal_boundary,boundary,edge_fp,44,measured
A10,44b6,temporal_boundary,boundary,edge_tp,728,measured
A10,44b6,temporal_boundary,interior,division_fn,19,measured
A10,44b6,temporal_boundary,interior,division_fp,22,measured
A10,44b6,temporal_boundary,interior,division_tp,7,measured
A10,44b6,temporal_boundary,interior,edge_fn,872,measured
A10,44b6,temporal_boundary,interior,edge_fp,1047,measured
A10,44b6,temporal_boundary,interior,edge_tp,18155,measured
A10,6bba,close_cells,isolated,division_fn,92,measured
A10,6bba,close_cells,isolated,division_fp,64,measured
A10,6bba,close_cells,isolated,division_tp,20,measured
A10,6bba,close_cells,isolated,edge_fn,4052,measured
A10,6bba,close_cells,isolated,edge_fp,2914,measured
A10,6bba,close_cells,isolated,edge_tp,97895,measured
A10,6bba,close_cells,within_7um_competitor,division_fn,11,measured
A10,6bba,close_cells,within_7um_competitor,division_fp,6,measured
A10,6bba,close_cells,within_7um_competitor,division_tp,2,measured
A10,6bba,close_cells,within_7um_competitor,edge_fn,698,measured
A10,6bba,close_cells,within_7um_competitor,edge_fp,1000,measured
A10,6bba,close_cells,within_7um_competitor,edge_tp,6412,measured
A10,6bba,density10,high,division_fn,9,measured
A10,6bba,density10,high,division_fp,7,measured
A10,6bba,density10,high,division_tp,1,measured
A10,6bba,density10,high,edge_fn,705,measured
A10,6bba,density10,high,edge_fp,1026,measured
A10,6bba,density10,high,edge_tp,7945,measured
A10,6bba,density10,low,division_fn,80,measured
A10,6bba,density10,low,division_fp,52,measured
A10,6bba,density10,low,division_tp,21,measured
A10,6bba,density10,low,edge_fn,1378,measured
A10,6bba,density10,low,edge_fp,2019,measured
A10,6bba,density10,low,edge_tp,86733,measured
A10,6bba,density10,middle,division_fn,12,measured
A10,6bba,density10,middle,division_fp,11,measured
A10,6bba,density10,middle,edge_fn,589,measured
A10,6bba,density10,middle,edge_fp,869,measured
A10,6bba,density10,middle,edge_tp,9629,measured
A10,6bba,density10,no_assigned_observation,division_fn,2,measured
A10,6bba,density10,no_assigned_observation,edge_fn,2078,measured
A10,6bba,depth,high,division_fn,26,measured
A10,6bba,depth,high,division_fp,26,measured
A10,6bba,depth,high,division_tp,9,measured
A10,6bba,depth,high,edge_fn,1412,measured
A10,6bba,depth,high,edge_fp,1137,measured
A10,6bba,depth,high,edge_tp,30092,measured
A10,6bba,depth,low,division_fn,39,measured
A10,6bba,depth,low,division_fp,17,measured
A10,6bba,depth,low,division_tp,7,measured
A10,6bba,depth,low,edge_fn,1812,measured
A10,6bba,depth,low,edge_fp,1468,measured
A10,6bba,depth,low,edge_tp,35491,measured
A10,6bba,depth,middle,division_fn,38,measured
A10,6bba,depth,middle,division_fp,27,measured
A10,6bba,depth,middle,division_tp,6,measured
A10,6bba,depth,middle,edge_fn,1526,measured
A10,6bba,depth,middle,edge_fp,1309,measured
A10,6bba,depth,middle,edge_tp,38724,measured
A10,6bba,event_support,division_cross,division_fp,5,measured
A10,6bba,event_support,division_extra,division_fp,65,measured
A10,6bba,event_support,division_no_fork,division_fn,81,measured
A10,6bba,event_support,division_observation,division_fn,22,measured
A10,6bba,intensity,high,division_fn,33,measured
A10,6bba,intensity,high,division_fp,27,measured
A10,6bba,intensity,high,division_tp,9,measured
A10,6bba,intensity,high,edge_fn,672,measured
A10,6bba,intensity,high,edge_fp,981,measured
A10,6bba,intensity,high,edge_tp,27162,measured
A10,6bba,intensity,low,division_fn,18,measured
A10,6bba,intensity,low,division_fp,10,measured
A10,6bba,intensity,low,division_tp,6,measured
A10,6bba,intensity,low,edge_fn,726,measured
A10,6bba,intensity,low,edge_fp,1064,measured
A10,6bba,intensity,low,edge_tp,33294,measured
A10,6bba,intensity,middle,division_fn,50,measured
A10,6bba,intensity,middle,division_fp,33,measured
A10,6bba,intensity,middle,division_tp,7,measured
A10,6bba,intensity,middle,edge_fn,1274,measured
A10,6bba,intensity,middle,edge_fp,1869,measured
A10,6bba,intensity,middle,edge_tp,43851,measured
A10,6bba,intensity,no_assigned_observation,division_fn,2,measured
A10,6bba,intensity,no_assigned_observation,edge_fn,2078,measured
A10,6bba,local_contrast,high,division_fn,44,measured
A10,6bba,local_contrast,high,division_fp,29,measured
A10,6bba,local_contrast,high,division_tp,12,measured
A10,6bba,local_contrast,high,edge_fn,433,measured
A10,6bba,local_contrast,high,edge_fp,630,measured
A10,6bba,local_contrast,high,edge_tp,34186,measured
A10,6bba,local_contrast,low,division_fn,18,measured
A10,6bba,local_contrast,low,division_fp,8,measured
A10,6bba,local_contrast,low,division_tp,3,measured
A10,6bba,local_contrast,low,edge_fn,1262,measured
A10,6bba,local_contrast,low,edge_fp,1880,measured
A10,6bba,local_contrast,low,edge_tp,27027,measured
A10,6bba,local_contrast,middle,division_fn,39,measured
A10,6bba,local_contrast,middle,division_fp,33,measured
A10,6bba,local_contrast,middle,division_tp,7,measured
A10,6bba,local_contrast,middle,edge_fn,977,measured
A10,6bba,local_contrast,middle,edge_fp,1404,measured
A10,6bba,local_contrast,middle,edge_tp,43094,measured
A10,6bba,local_contrast,no_assigned_observation,division_fn,2,measured
A10,6bba,local_contrast,no_assigned_observation,edge_fn,2078,measured
A10,6bba,spatial_boundary,interior,division_fn,82,measured
