arm,family,support,node_tokens,activation_checkpointing,registered_forward_flops,registered_forward_backward_flops,registered_forward_backward_flops_per_node,encoder_parameters,encoder_trainable_parameters,total_model_parameters,CPU_probe_seconds,source_model_sha256,unchanged_model_tensor_sha256,status
D10_frozen,organoid,interior,16,False,10193884160,10194035712,637127232.0,157697,4864,339817,0.11105203699844424,b61a0fddcbf708fc9f84ff3d75afd6837dca3cd95f365e00467f77f992a675af,c6708e00d31baa4933abff4cd28262f2cb5614dd73c8f23fe14f443f8d916b93,measured
D10_frozen,organoid,interior,16,True,10193884160,20387768320,1274235520.0,157697,4864,339817,0.2215434230020037,b61a0fddcbf708fc9f84ff3d75afd6837dca3cd95f365e00467f77f992a675af,c6708e00d31baa4933abff4cd28262f2cb5614dd73c8f23fe14f443f8d916b93,measured
D10_frozen,organoid,first_frame,16,False,10193884160,10194035712,637127232.0,157697,4864,339817,0.09960151799896266,b61a0fddcbf708fc9f84ff3d75afd6837dca3cd95f365e00467f77f992a675af,c6708e00d31baa4933abff4cd28262f2cb5614dd73c8f23fe14f443f8d916b93,measured
D10_frozen,organoid,first_frame,16,True,10193884160,20387768320,1274235520.0,157697,4864,339817,0.20675590800237842,b61a0fddcbf708fc9f84ff3d75afd6837dca3cd95f365e00467f77f992a675af,c6708e00d31baa4933abff4cd28262f2cb5614dd73c8f23fe14f443f8d916b93,measured
D10_adapted,organoid,interior,16,False,10193884160,11216549888,701034368.0,157697,109408,339817,0.09889113600365818,83295f18ccc22f02e0abed211ec54d65773b33f9fa858bb0009e8401935e21e6,87fdbc6e6533c3879162198be40560a36d6715ce204ad93001f03e6b139ef1ec,measured
D10_adapted,organoid,interior,16,True,10193884160,21410282496,1338142656.0,157697,109408,339817,0.1915954559954116,83295f18ccc22f02e0abed211ec54d65773b33f9fa858bb0009e8401935e21e6,87fdbc6e6533c3879162198be40560a36d6715ce204ad93001f03e6b139ef1ec,measured
D10_adapted,organoid,first_frame,16,False,10193884160,11216549888,701034368.0,157697,109408,339817,0.10602227900380967,83295f18ccc22f02e0abed211ec54d65773b33f9fa858bb0009e8401935e21e6,87fdbc6e6533c3879162198be40560a36d6715ce204ad93001f03e6b139ef1ec,measured
D10_adapted,organoid,first_frame,16,True,10193884160,21410282496,1338142656.0,157697,109408,339817,0.20157151800231077,83295f18ccc22f02e0abed211ec54d65773b33f9fa858bb0009e8401935e21e6,87fdbc6e6533c3879162198be40560a36d6715ce204ad93001f03e6b139ef1ec,measured
D20_compact,compact,interior,16,False,38883328,110678016,6917376.0,56992,56992,239112,0.012006377000943758,71ff94aaddd3cefcbbe746cdee3d110ed7411920b108df03d20295dcb4fc5505,30a3c8fbcc3e45baaf405a6ed1d8a1808bc20472e2d9d92e80f2b6c8edca291a,measured
D20_compact,compact,interior,16,True,38883328,149037056,9314816.0,56992,56992,239112,0.013377431001572404,71ff94aaddd3cefcbbe746cdee3d110ed7411920b108df03d20295dcb4fc5505,30a3c8fbcc3e45baaf405a6ed1d8a1808bc20472e2d9d92e80f2b6c8edca291a,measured
D20_compact,compact,first_frame,16,False,26275840,74846208,4677888.0,56992,56992,239112,0.00969902699580416,71ff94aaddd3cefcbbe746cdee3d110ed7411920b108df03d20295dcb4fc5505,30a3c8fbcc3e45baaf405a6ed1d8a1808bc20472e2d9d92e80f2b6c8edca291a,measured
D20_compact,compact,first_frame,16,True,26275840,100597760,6287360.0,56992,56992,239112,0.012611746999027673,71ff94aaddd3cefcbbe746cdee3d110ed7411920b108df03d20295dcb4fc5505,30a3c8fbcc3e45baaf405a6ed1d8a1808bc20472e2d9d92e80f2b6c8edca291a,measured
D20_temporal,temporal,interior,16,False,12707860480,34951114752,2184444672.0,179632,179632,361752,0.85421944999689,029461c98c97a41f71a3495d9aaab1f7c3bb5208f4a20516efe80897a1871676,4c69b5d8f677721ea494f02106c59c94ab7d4ec3e151bfa6b1cad01391712790,measured
D20_temporal,temporal,interior,16,True,12707860480,47658975232,2978685952.0,179632,179632,361752,1.108386125000834,029461c98c97a41f71a3495d9aaab1f7c3bb5208f4a20516efe80897a1871676,4c69b5d8f677721ea494f02106c59c94ab7d4ec3e151bfa6b1cad01391712790,measured
D20_temporal,temporal,first_frame,16,False,9083457536,24983875584,1561492224.0,179632,179632,361752,0.5778347890009172,029461c98c97a41f71a3495d9aaab1f7c3bb5208f4a20516efe80897a1871676,4c69b5d8f677721ea494f02106c59c94ab7d4ec3e151bfa6b1cad01391712790,measured
D20_temporal,temporal,first_frame,16,True,9083457536,34067333120,2129208320.0,179632,179632,361752,0.6338034840009641,029461c98c97a41f71a3495d9aaab1f7c3bb5208f4a20516efe80897a1871676,4c69b5d8f677721ea494f02106c59c94ab7d4ec3e151bfa6b1cad01391712790,measured
