adj_edge_jaccard,arm,clips,division_fn,division_fp,division_jaccard,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,matched_nodes,n,n_adj,node_recall,num_pred_nodes,score,status,delta_P0,delta_C4_m6,node_adjustment,reason,seed
0.9229308300345328,P0,199,122,92,0.11934156378600823,29,5711,4996,0.9200247985120893,123172,pooled,130836,199,199,0.982494434312724,4108943,0.9348649864131336,measured,0.0,-0.00031338384352019855,0.0029060315224435085,,
0.9228326912443082,C4_m6,199,121,92,0.12345679012345678,30,5750,4968,0.9199258877408462,123133,pooled,130836,199,199,0.982494434312724,4108943,0.9351783702566538,measured,0.00031338384352019855,0.0,0.002906803503462063,,
0.9228682178819851,C0,199,122,92,0.11934156378600823,29,5748,4965,0.9199614488076027,123135,pooled,130836,199,199,0.982494434312724,4108943,0.934802374260586,measured,-6.261215254765862e-05,-0.00037599599606785716,0.002906769074382476,,
0.9229308300345328,D00,199,122,92,0.11934156378600823,29,5711,4996,0.9200247985120893,123172,pooled,130836,199,199,0.982494434312724,4108943,0.9348649864131336,measured,0.0,-0.00031338384352019855,0.0029060315224435085,,
0.9143562432888941,D10_adapted,199,113,850,0.03796203796203796,38,5949,5990,0.9114796882993631,122934,pooled,130836,199,199,0.982494434312724,4108943,0.9181524470850979,measured,-0.016712539328035736,-0.017025923171555934,0.0028765549895309883,,
0.9143845675964755,D10_adapted_replacement,199,113,849,0.038,38,5947,5988,0.9115080336024795,122936,pooled,130836,199,199,0.982494434312724,4108943,0.9181845675964755,measured,-0.01668041881665816,-0.01699380266017836,0.002876533993996011,,
0.9142548388359548,D10_frozen,199,109,949,0.038181818181818185,42,5902,6057,0.9113754261153105,122981,pooled,130836,199,199,0.982494434312724,4108943,0.9180730206541367,measured,-0.016791965758996996,-0.017105349602517195,0.002879412720644292,,
0.9146625832874514,D20_compact,199,103,1245,0.034383954154727794,48,5695,6224,0.9117810328110313,123188,pooled,130836,199,199,0.982494434312724,4108943,0.9181009787029242,measured,-0.016764007710209472,-0.01707739155372967,0.002881550476420136,,
0.9151105041641711,D20_no_pretrain,199,115,716,0.04152249134948097,36,5970,5856,0.9122303119364104,122913,pooled,130836,199,199,0.982494434312724,4108943,0.9192627532991191,measured,-0.015602233114014541,-0.01591561695753474,0.002880192227760703,,
0.915485995457532,D20_temporal,199,106,1052,0.03740648379052369,45,5743,6050,0.9126010686785293,123140,pooled,130836,199,199,0.982494434312724,4108943,0.9192266438365844,measured,-0.01563834257654928,-0.01595172642006948,0.00288492677900265,,
0.9155328498240543,D20_temporal_replacement,199,108,1043,0.036013400335008376,43,5744,6042,0.9126477672781175,123139,pooled,130836,199,199,0.982494434312724,4108943,0.9191341898575551,measured,-0.01573079655557852,-0.016044180399098718,0.002885082545936779,,
,D10_random,,,,,,,,,,pooled,,,,,,,not run,,,,Organoid family did not qualify in both source directions; conditional control was not authorized,20260915
,A10,,,,,,,,,,pooled,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,20260915
,O10_swap,,,,,,,,,,pooled,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,20260915
,O10_restore,,,,,,,,,,pooled,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,20260915
,C10,,,,,,,,,,pooled,,,,,,,not run,,,,Required execution or validation is incomplete,20260915
,A10_replication,,,,,,,,,,pooled,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,314159
