arm,source,dataset,seed,status,event_head_used,raw_losses_before_calibration,ordinary_grouped_decision_loss,ordinary_grouped_pair_nll,stressed_grouped_decision_loss,stressed_grouped_pair_nll,supported_pairs,ordinary_grouped_selection_loss,stressed_grouped_selection_loss,supported_rows
D10_frozen,44b6,44b6_5f15d135,20260915,measured,True,True,"{'groups': 3, 'loss': 2.066808501879374}",0.034961991012096405,"{'groups': 3, 'loss': 1.8511572281519573}",0.03863297775387764,266,,,
D10_frozen,44b6,44b6_d754aa59,20260915,measured,True,True,"{'groups': 1, 'loss': 2.477217197418213}",0.0030052517540752888,"{'groups': 1, 'loss': 1.5670177936553955}",0.004155006259679794,69,,,
D10_frozen,44b6,44b6_e31261b4,20260915,measured,True,True,"{'groups': 3, 'loss': 4.552606264750163}",0.019749341532588005,"{'groups': 3, 'loss': 3.927253087361654}",0.024420319125056267,107,,,
D10_frozen,6bba,6bba_4ffd3da3,20260915,measured,True,True,"{'groups': 13, 'loss': 3.9041272218410787}",0.010676397942006588,"{'groups': 13, 'loss': 3.6251159539589515}",0.014821539632976055,661,,,
D10_frozen,6bba,6bba_767a1e17,20260915,measured,True,True,"{'groups': 28, 'loss': 2.350619561704142}",0.036329202353954315,"{'groups': 28, 'loss': 2.169408932328224}",0.03880913928151131,605,,,
D10_frozen,6bba,6bba_bb9f20c3,20260915,measured,True,True,"{'groups': 28, 'loss': 2.514737150498799}",0.019243968650698662,"{'groups': 28, 'loss': 1.9905349873006344}",0.020760243758559227,1879,,,
D10_adapted,44b6,44b6_5f15d135,20260915,measured,True,True,"{'groups': 3, 'loss': 2.8565498987833657}",0.02855241484940052,"{'groups': 3, 'loss': 2.4846036434173584}",0.03580804914236069,266,,,
D10_adapted,44b6,44b6_d754aa59,20260915,measured,True,True,"{'groups': 1, 'loss': 3.4949398040771484}",0.0021407129243016243,"{'groups': 1, 'loss': 2.6392946243286133}",0.0031495951116085052,69,,,
D10_adapted,44b6,44b6_e31261b4,20260915,measured,True,True,"{'groups': 3, 'loss': 5.657420476277669}",0.01476385910063982,"{'groups': 3, 'loss': 4.921504259109497}",0.020066680386662483,107,,,
D10_adapted,6bba,6bba_4ffd3da3,20260915,measured,True,True,"{'groups': 13, 'loss': 5.079607560084416}",0.008190487511456013,"{'groups': 13, 'loss': 4.106286828334515}",0.015200032852590084,661,,,
D10_adapted,6bba,6bba_767a1e17,20260915,measured,True,True,"{'groups': 28, 'loss': 3.2149887404271533}",0.034996502101421356,"{'groups': 28, 'loss': 2.5178924767034396}",0.039506442844867706,605,,,
D10_adapted,6bba,6bba_bb9f20c3,20260915,measured,True,True,"{'groups': 28, 'loss': 3.33063767850399}",0.018611887469887733,"{'groups': 28, 'loss': 2.4572646554027284}",0.020650725811719894,1879,,,
D20_compact,44b6,44b6_5f15d135,20260915,measured,True,True,"{'groups': 3, 'loss': 2.071084896723429}",0.034038763493299484,"{'groups': 3, 'loss': 1.6910686492919922}",0.04940527305006981,266,,,
D20_compact,44b6,44b6_d754aa59,20260915,measured,True,True,"{'groups': 1, 'loss': 0.9495668411254883}",0.005116799846291542,"{'groups': 1, 'loss': 0.6604983806610107}",0.006938070058822632,69,,,
D20_compact,44b6,44b6_e31261b4,20260915,measured,True,True,"{'groups': 3, 'loss': 2.7247681617736816}",0.03237387537956238,"{'groups': 3, 'loss': 2.208146254221598}",0.04898412898182869,107,,,
D20_compact,6bba,6bba_4ffd3da3,20260915,measured,True,True,"{'groups': 13, 'loss': 2.761568234517024}",0.03980639576911926,"{'groups': 13, 'loss': 2.441702072436993}",0.05123737081885338,661,,,
D20_compact,6bba,6bba_767a1e17,20260915,measured,True,True,"{'groups': 28, 'loss': 1.7985887343862228}",0.058116961270570755,"{'groups': 28, 'loss': 1.508698106078165}",0.06928214430809021,605,,,
D20_compact,6bba,6bba_bb9f20c3,20260915,measured,True,True,"{'groups': 28, 'loss': 1.217833111062646}",0.04683053866028786,"{'groups': 28, 'loss': 1.0422251892409153}",0.05680762231349945,1879,,,
D20_temporal,44b6,44b6_5f15d135,20260915,measured,True,True,"{'groups': 3, 'loss': 1.961815317471822}",0.01584947109222412,"{'groups': 3, 'loss': 1.9439843893051147}",0.01589241996407509,266,,,
D20_temporal,44b6,44b6_d754aa59,20260915,measured,True,True,"{'groups': 1, 'loss': 2.625032424926758}",0.0016208213055506349,"{'groups': 1, 'loss': 2.632509708404541}",0.0016043654177337885,69,,,
D20_temporal,44b6,44b6_e31261b4,20260915,measured,True,True,"{'groups': 3, 'loss': 3.8805373509724936}",0.008539116941392422,"{'groups': 3, 'loss': 3.8735174338022866}",0.008406209759414196,107,,,
D20_temporal,6bba,6bba_4ffd3da3,20260915,measured,True,True,"{'groups': 13, 'loss': 3.5821729119007406}",0.005631507374346256,"{'groups': 13, 'loss': 3.5696373994533834}",0.005715262144804001,661,,,
D20_temporal,6bba,6bba_767a1e17,20260915,measured,True,True,"{'groups': 28, 'loss': 2.183388934337667}",0.03642307221889496,"{'groups': 28, 'loss': 2.1720175644648925}",0.03635578975081444,605,,,
D20_temporal,6bba,6bba_bb9f20c3,20260915,measured,True,True,"{'groups': 28, 'loss': 1.845230566603797}",0.017321260645985603,"{'groups': 28, 'loss': 1.8372067457863264}",0.01709173433482647,1879,,,
D20_no_pretrain,44b6,44b6_5f15d135,20260915,measured,True,True,"{'groups': 3, 'loss': 5.166418393452962}",0.035042427480220795,"{'groups': 3, 'loss': 5.239131132761638}",0.029179422184824944,266,,,
D20_no_pretrain,44b6,44b6_d754aa59,20260915,measured,True,True,"{'groups': 1, 'loss': 7.820346832275391}",0.002491361927241087,"{'groups': 1, 'loss': 8.140225410461426}",0.002265267539769411,69,,,
D20_no_pretrain,44b6,44b6_e31261b4,20260915,measured,True,True,"{'groups': 3, 'loss': 8.854341348012289}",0.021188244223594666,"{'groups': 3, 'loss': 9.503024260203043}",0.016530727967619896,107,,,
D20_no_pretrain,6bba,6bba_4ffd3da3,20260915,measured,True,True,"{'groups': 13, 'loss': 7.294185198270357}",0.017958013340830803,"{'groups': 13, 'loss': 7.252276163834792}",0.018266160041093826,661,,,
D20_no_pretrain,6bba,6bba_767a1e17,20260915,measured,True,True,"{'groups': 28, 'loss': 5.629288077354431}",0.04097677394747734,"{'groups': 28, 'loss': 5.568194078547614}",0.041370853781700134,605,,,
D20_no_pretrain,6bba,6bba_bb9f20c3,20260915,measured,True,True,"{'groups': 28, 'loss': 5.588907548359463}",0.023341769352555275,"{'groups': 28, 'loss': 5.54966630254473}",0.02340884506702423,1879,,,
A10,44b6,44b6_5f15d135,20260915,measured,False,True,"{'groups': 3, 'loss': 2.372823635737101}",0.013545554131269455,"{'groups': 3, 'loss': 2.365026076634725}",0.013798808678984642,266,,,
A10,44b6,44b6_d754aa59,20260915,measured,False,True,"{'groups': 1, 'loss': 2.4487991333007812}",0.0009457886917516589,"{'groups': 1, 'loss': 2.4320383071899414}",0.0009534769924357533,69,,,
A10,44b6,44b6_e31261b4,20260915,measured,False,True,"{'groups': 3, 'loss': 3.744527498881022}",0.005468721967190504,"{'groups': 3, 'loss': 3.728352944056193}",0.005569095257669687,107,,,
A10,6bba,6bba_4ffd3da3,20260915,measured,False,True,"{'groups': 13, 'loss': 3.8882462611565223}",0.012204817496240139,"{'groups': 13, 'loss': 3.877466862018292}",0.012387283146381378,661,,,
A10,6bba,6bba_767a1e17,20260915,measured,False,True,"{'groups': 28, 'loss': 2.5125224898968423}",0.036598674952983856,"{'groups': 28, 'loss': 2.503941159961479}",0.03679116070270538,605,,,
A10,6bba,6bba_bb9f20c3,20260915,measured,False,True,"{'groups': 28, 'loss': 1.8320582040718623}",0.017970828339457512,"{'groups': 28, 'loss': 1.8261551106614726}",0.01796972192823887,1879,,,
O10_swap,44b6,44b6_5f15d135,20260915,measured,False,True,,,,,,0.8598191142082214,0.8602826595306396,156
O10_swap,44b6,44b6_d754aa59,20260915,measured,False,True,,,,,,0.9376578330993652,0.9387590885162354,49
O10_swap,44b6,44b6_e31261b4,20260915,measured,False,True,,,,,,0.7553824782371521,0.7558451294898987,71
O10_swap,6bba,6bba_4ffd3da3,20260915,measured,False,True,,,,,,0.7642765045166016,0.7649322748184204,333
O10_swap,6bba,6bba_767a1e17,20260915,measured,False,True,,,,,,0.8022827506065369,0.8033313155174255,412
O10_swap,6bba,6bba_bb9f20c3,20260915,measured,False,True,,,,,,0.7802081108093262,0.7807886004447937,1001
