variant,embryo,status,samples,expected_clips,score,delta_C0,adj_edge_jaccard,division_jaccard,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,prediction_seconds,official_seconds
C0,44b6,complete,71,71,0.9316644687218418,-2.220446049250313e-16,0.9170811353885086,0.14583333333333334,18866,1085,960,7,22,19,1972750,0.9877569341470968,0,74.40361528900212
C0,6bba,complete,128,128,0.9352217840973274,3.3306690738754696e-16,0.9239397328152761,0.11282051282051282,104269,3880,4788,22,70,103,2136193,0.9795753914358454,0,113.5908088970009
C0,pooled,complete,199,199,0.934802374260586,0.0,0.9228682178819851,0.11934156378600823,123135,4965,5748,29,92,122,4108943,0.982494434312724,0,187.99442418600302
P0,44b6,complete,71,71,0.9317272564133575,6.27876915154646e-05,0.9171439230800242,0.14583333333333334,18869,1087,957,7,22,19,1972750,0.9877569341470968,30.073850639009834,74.55572541899164
P0,6bba,complete,128,128,0.9352841911367036,6.240703937654413e-05,0.9240021398546523,0.11282051282051282,104303,3909,4754,22,70,103,2136193,0.9795753914358454,42.84133240200754,114.13295667498096
P0,pooled,complete,199,199,0.9348649864131336,6.261215254765862e-05,0.9229308300345328,0.11934156378600823,123172,4996,5711,29,92,122,4108943,0.982494434312724,72.91518304101737,188.6886820939726
B0,44b6,blocked,0,71,,,,,,,,,,,,,,
B0,6bba,blocked,0,128,,,,,,,,,,,,,,
B0,pooled,blocked,0,199,,,,,,,,,,,,,,
M0,44b6,blocked,0,71,,,,,,,,,,,,,,
M0,6bba,blocked,0,128,,,,,,,,,,,,,,
M0,pooled,blocked,0,199,,,,,,,,,,,,,,
U0,44b6,blocked,0,71,,,,,,,,,,,,,,
U0,6bba,blocked,0,128,,,,,,,,,,,,,,
U0,pooled,blocked,0,199,,,,,,,,,,,,,,
U1,44b6,blocked,0,71,,,,,,,,,,,,,,
U1,6bba,blocked,0,128,,,,,,,,,,,,,,
U1,pooled,blocked,0,199,,,,,,,,,,,,,,
