source,model,positive_fraction,steps,positives,loss,scope,seconds,positive_groups,available_positives,gpu_allocated_peak_bytes
44b6,F_logistic_quality,1.0,29,19980,0.0527505609052755,source_fit,1.4650864438153803,,,
44b6,F_hgb_quality,1.0,160,19980,0.0480353494257128,source_fit,8.99146441090852,,,
44b6,F_hgb_geometry,1.0,160,19980,0.0457772234929431,source_fit,10.357339951675383,,,
44b6,E_logistic,1.0,26,19483,0.0522254112443329,source_fit,0.1003386732190847,,,
44b6,E_hgb,1.0,120,19483,0.0465264004175521,source_fit,6.179846982937306,,,
44b6,D_graph,1.0,19,39,0.0058075401163129,source_fit,0.0178765510208904,,,
44b6,D_temporal,1.0,16,39,0.0053471957492376,source_fit,0.0181267186999321,,,
44b6,D_hgb,1.0,100,39,0.0053097482121036,source_fit,3.326166382990777,,,
6bba,F_logistic_quality,1.0,39,110979,0.1714710812537089,source_fit,2.271940860897302,,,
6bba,F_hgb_quality,1.0,160,110979,0.1485649336077598,source_fit,10.874565337784588,,,
6bba,F_hgb_geometry,1.0,160,110979,0.1475886731195791,source_fit,13.159727028105408,,,
6bba,E_logistic,1.0,33,106045,0.055022236702166,source_fit,0.5322440499439836,,,
6bba,E_hgb,1.0,120,106045,0.049918679494574,source_fit,3.187224892899394,,,
6bba,D_graph,1.0,21,165,0.0087973135240218,source_fit,0.0712411128915846,,,
6bba,D_temporal,1.0,25,165,0.007249421950755,source_fit,0.0826721917837858,,,
6bba,D_hgb,1.0,100,165,0.0060915482977958,source_fit,7.851541748736054,,,
44b6,temporal_image,0.1,100,2145,0.6080174657702446,source_training_balanced_weighted_BCE,1.6891609118320048,99.0,2145.0,213986816.0
44b6,temporal_image,0.1,200,2145,0.42535296842455866,source_training_balanced_weighted_BCE,2.8036127728410065,99.0,2145.0,213986816.0
44b6,temporal_image,0.1,300,2145,0.208628072142601,source_training_balanced_weighted_BCE,3.896205836907029,99.0,2145.0,213986816.0
