source,model,scope,rows,positives,average_precision,auroc,log_loss,seconds,outer_embryo,brier,natural_prevalence
44b6,F_logistic_quality,source_fit_inverse_probability_weighted,1058959,19980,0.027757466394424,0.7335216952296575,0.0527505609052755,1.4650864438153803,,,
44b6,F_hgb_quality,source_fit_inverse_probability_weighted,1058959,19980,0.0978616223859348,0.8185732922805097,0.0480353494257128,8.99146441090852,,,
44b6,F_hgb_geometry,source_fit_inverse_probability_weighted,1058959,19980,0.1521787891341397,0.8425301407464111,0.0457772234929431,10.357339951675383,,,
44b6,E_logistic,source_fit_inverse_probability_weighted,99654,19483,0.9730212993163174,0.9926245078228884,0.0522254112443329,0.1003386732190847,,,
44b6,E_hgb,source_fit_inverse_probability_weighted,99654,19483,0.979189894957914,0.9944530484367972,0.0465264004175521,6.179846982937306,,,
44b6,D_graph,source_fit_inverse_probability_weighted,15494,39,0.086581537417461,0.8628622083472139,0.0058075401163129,0.0178765510208904,,,
44b6,D_temporal,source_fit_inverse_probability_weighted,15494,39,0.0830761285077917,0.9002838473075507,0.0053471957492376,0.0181267186999321,,,
44b6,D_hgb,source_fit_inverse_probability_weighted,15494,39,0.0468018084519721,0.980016826501888,0.0053097482121036,3.326166382990777,,,
6bba,F_logistic_quality,source_fit_inverse_probability_weighted,1249360,110979,0.2825913972559682,0.7567827001802546,0.1714710812537089,2.271940860897302,,,
6bba,F_hgb_quality,source_fit_inverse_probability_weighted,1249360,110979,0.4438890135018233,0.8189136090353659,0.1485649336077598,10.874565337784588,,,
6bba,F_hgb_geometry,source_fit_inverse_probability_weighted,1249360,110979,0.4480467076681455,0.8243209826822646,0.1475886731195791,13.159727028105408,,,
6bba,E_logistic,source_fit_inverse_probability_weighted,388242,106045,0.9886236475811372,0.9946007729912908,0.055022236702166,0.5322440499439836,,,
6bba,E_hgb,source_fit_inverse_probability_weighted,388242,106045,0.9908259650025896,0.9959610209294596,0.049918679494574,3.187224892899394,,,
6bba,D_graph,source_fit_inverse_probability_weighted,64905,165,0.1769885901768733,0.8681476198344844,0.0087973135240218,0.0712411128915846,,,
6bba,D_temporal,source_fit_inverse_probability_weighted,64905,165,0.2718835619457547,0.928852080860082,0.007249421950755,0.0826721917837858,,,
6bba,D_hgb,source_fit_inverse_probability_weighted,64905,165,0.4667454240854216,0.970156650902952,0.0060915482977958,7.851541748736054,,,
6bba,F_logistic_quality,natural_full_node_population,1980130,19980,0.016277419365771515,0.6384320664566819,0.0676335832018998,,44b6,0.011339805263508447,0.01009024659997071
6bba,F_hgb_quality,natural_full_node_population,1980130,19980,0.03246831889934305,0.7596253188627242,0.05623026441656045,,44b6,0.010178290127627759,0.01009024659997071
6bba,F_hgb_geometry,natural_full_node_population,1980130,19980,0.04398578286215858,0.7770324452835867,0.05529147518314407,,44b6,0.010089429770136198,0.01009024659997071
6bba,E_logistic,known_annotated_transitions_inverse_probability_weighted,99654,19483,0.9728301115148372,0.9919814037166059,0.05312815681099892,,44b6,0.012076275423169136,0.14828599282624727
6bba,E_hgb,known_annotated_transitions_inverse_probability_weighted,99654,19483,0.9759034408086376,0.9935781469090665,0.04894830286502838,,44b6,0.011329115368425846,0.14828599282624727
6bba,D_graph,known_annotated_transitions_inverse_probability_weighted,15494,39,0.06170384615568851,0.7727412527014248,0.006504267919808626,,44b6,0.0008950864430516958,0.0008662239308170113
6bba,D_temporal,known_annotated_transitions_inverse_probability_weighted,15494,39,0.053963411330585194,0.8220037113861056,0.006064446642994881,,44b6,0.000915250217076391,0.0008662239308170113
6bba,D_hgb,known_annotated_transitions_inverse_probability_weighted,15494,39,0.12584449875862502,0.8703765374436429,0.005121348425745964,,44b6,0.0008148371707648039,0.0008662239308170113
6bba,D_score,known_annotated_transitions_inverse_probability_weighted,15494,39,0.012816664118898154,0.8149875415974875,0.00649934820830822,,44b6,0.0008620790322311223,0.0008662239308170113
6bba,E_native,known_annotated_transitions_inverse_probability_weighted,99654,19483,0.9700955038729809,0.9921355973815564,0.05901046097278595,,44b6,0.014010762795805931,0.14828599282624727
6bba,F_temporal,natural_full_node_population,1980130,19980,0.014235713992720098,0.5746084914851335,0.06860211240310429,,44b6,0.011844623638867841,0.01009024659997071
6bba,F_temporal_fraction_0_1,natural_full_node_population,1980130,19980,0.010158857845082133,0.49976450401374517,0.15106391997032942,,44b6,0.0105209122785934,0.01009024659997071
6bba,F_temporal_fraction_0_3,natural_full_node_population,1980130,19980,0.010374074142770402,0.5037992930052211,0.10897905453969188,,44b6,0.011466176660576113,0.01009024659997071
44b6,F_logistic_quality,natural_full_node_population,2153557,110979,0.07442937497452462,0.6129667079175699,0.24787137872879603,,6bba,0.050374936452548924,0.05153288257520001
44b6,F_hgb_quality,natural_full_node_population,2153557,110979,0.11422939371785747,0.6988157690500547,0.21921266606571405,,6bba,0.04909279126583917,0.05153288257520001
44b6,F_hgb_geometry,natural_full_node_population,2153557,110979,0.12935192347054217,0.7168996551943603,0.21935830784484522,,6bba,0.048944626712547415,0.05153288257520001
44b6,E_logistic,known_annotated_transitions_inverse_probability_weighted,388242,106045,0.987294169786084,0.9946516072558333,0.05673165246844292,,6bba,0.012996467761695385,0.24367405641227452
44b6,E_hgb,known_annotated_transitions_inverse_probability_weighted,388242,106045,0.9888272832619757,0.9954049395155737,0.052706602960824966,,6bba,0.012284344993531704,0.24367405641227452
44b6,D_graph,known_annotated_transitions_inverse_probability_weighted,64905,165,0.10660121342030178,0.7958914769409963,0.010216057300567627,,6bba,0.0015271484153345227,0.001603031186822326
44b6,D_temporal,known_annotated_transitions_inverse_probability_weighted,64905,165,0.11018338234818915,0.9063388937217053,0.008882278576493263,,6bba,0.0015104396734386683,0.001603031186822326
44b6,D_hgb,known_annotated_transitions_inverse_probability_weighted,64905,165,0.03076325013207319,0.8902879805081112,0.010215358808636665,,6bba,0.0015921805752441287,0.001603031186822326
44b6,D_score,known_annotated_transitions_inverse_probability_weighted,64905,165,0.06972882101735386,0.8750053618887558,0.009901013225317001,,6bba,0.0015767948934808373,0.001603031186822326
44b6,E_native,known_annotated_transitions_inverse_probability_weighted,388242,106045,0.9861287961249547,0.9943511714538069,0.0650956779718399,,6bba,0.015367105603218079,0.24367405641227452
44b6,F_temporal,natural_full_node_population,2153557,110979,0.05859224463174243,0.5400912786289004,0.6804084666365273,,6bba,0.05167569192765461,0.05153288257520001
44b6,F_temporal_fraction_0_1,natural_full_node_population,2153557,110979,0.057627889632109804,0.5484942627069822,0.816128821553843,,6bba,0.051545492573652714,0.05153288257520001
44b6,F_temporal_fraction_0_3,natural_full_node_population,2153557,110979,0.08473986674583855,0.6175977884839726,0.7607060793728484,,6bba,0.05151525698333427,0.05153288257520001
