variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
DEF_native_transfer,44b6,71,71,0.896604132035146,0.06779661016949153,8,92,18,0.9880624351836232,0.9119989047482211,71,0.9187785657651703,18878,1229,948,1960477,76.06492363801226,1.0,0.9900748940726114,18776,102,7,149,56,0.006257422651704592
DEF_native_transfer,6bba,128,128,0.9080008758484782,0.10756972111553785,27,126,98,0.9797565793700593,0.909092354645895,128,0.9198493267574488,103671,5118,5386,2132227,121.11247107479721,1.0,0.9900954560292576,103364,307,54,526,81,0.008252561867983621
DEF_native_transfer,pooled,199,199,0.9062264290468092,0.0948509485094851,35,218,116,0.9827199751628385,0.9095448978123853,199,0.9190299926633339,122549,6347,6334,4092704,197.17739471280947,1.0,0.9900856063848086,122140,409,61,675,137,0.007255978444691502
DEF_risk_transfer,44b6,71,71,0.890087435848698,0.06611570247933884,8,95,18,0.9779931233777963,0.9106950905347934,71,0.9173066607827273,18731,1218,1095,1805191,83.46924051316455,1.0,0.9116527702726589,18497,234,286,273,169,0.0047855176692616075
DEF_risk_transfer,6bba,128,128,0.8917341465979598,0.10756972111553785,27,126,98,0.9628866891278556,0.8941566794143371,128,0.9049136515258909,101754,5051,7303,2120071,131.33346749702469,1.0,0.9844508410968458,101299,455,2119,670,158,-0.0066831133635743
DEF_risk_transfer,pooled,199,199,0.8914777435776016,0.09408602150537634,35,221,116,0.9682764219506987,0.896731812032566,199,0.9061404141831036,120485,6269,8398,3925262,214.80270801018924,1.0,0.9495789110302739,119796,689,2405,943,327,-0.0056336000355386995
DEF_temporal_transfer,44b6,71,71,0.8960440708552976,0.06779661016949153,8,92,18,0.9878696090824661,0.9114332492466705,71,0.9182129102636196,18868,1231,958,1960443,88.47474039392546,1.0,0.9900577234828016,18765,103,18,150,59,0.005691767150153959
DEF_temporal_transfer,6bba,128,128,0.905655254560901,0.10756972111553785,27,126,98,0.9774471211892363,0.9067424717199559,128,0.9174994438315097,103405,5120,5652,2132235,132.06021344056353,1.0,0.9900991708136817,103067,338,351,550,107,0.005902678942044548
DEF_temporal_transfer,pooled,199,199,0.9041587174822899,0.0948509485094851,35,218,116,0.9811656972717454,0.9074728627634807,199,0.9169579576144292,122273,6351,6610,4092678,220.534953834489,1.0,0.9900793166004103,121832,441,369,700,166,0.005183943395786872
DE_primary,44b6,71,71,0.8968416053194016,0.06779661016949153,8,92,18,0.9885509592005769,0.9114949580918412,71,0.9182746191087904,18883,1229,943,1980130,72.0117337135598,1.0,1.0,18781,102,2,149,56,0.005753475995324719
DE_primary,6bba,128,128,0.9083209991154395,0.10756972111553785,27,126,98,0.9802489030388399,0.9085206641878574,128,0.9192776362994112,103713,5124,5344,2153557,123.91095755761489,1.0,1.0,103407,306,11,520,81,0.007680871409946
DE_primary,pooled,199,199,0.9065337631991481,0.0948509485094851,35,218,116,0.9832109431769471,0.9089837343625768,199,0.9184688292135254,122596,6353,6287,4133687,195.9226912711747,1.0,1.0,122188,408,13,669,137,0.006694814994883003
D_graph_p0.02,44b6,71,71,0.885119579006719,0.0365296803652968,8,193,18,0.9885509592005769,0.899633314038159,71,0.9032862820746888,18838,1457,988,1980130,71.91838733386248,1.0,1.0,18783,55,0,0,135,-0.00923486103877691
D_graph_p0.02,6bba,128,128,0.9021818752616158,0.09157509157509157,25,148,100,0.9802489030388399,0.9023703410765869,128,0.911527850234096,103455,5615,5602,2153557,123.77902467735112,1.0,1.0,103418,37,0,0,52,-6.891465536917885e-05
D_graph_p0.02,pooled,199,199,0.8995108675664742,0.06707317073170732,33,341,118,0.9832109431769471,0.9019418746983083,199,0.9086491917714791,122293,7072,6590,4133687,195.6974120112136,1.0,1.0,122201,92,0,0,187,-0.003124822447163278
D_graph_p0.05,44b6,71,71,0.8864974332407102,0.042682926829268296,7,138,19,0.9885509592005769,0.9010279776776698,71,0.9052962703605967,18823,1407,1003,1980130,71.53282915707678,1.0,1.0,18783,40,0,0,85,-0.007224872752868983
D_graph_p0.05,6bba,128,128,0.9022604932778461,0.09090909090909091,18,73,107,0.9802489030388399,0.9024518356281046,128,0.9115427447190136,103418,5564,5639,2153557,121.59770361799747,1.0,1.0,103418,0,0,0,1,-5.4020170451529737e-05
D_graph_p0.05,pooled,199,199,0.8997968407260736,0.06906077348066299,25,211,126,0.9832109431769471,0.9022292969037271,199,0.9091353742517934,122241,6971,6642,4133687,193.13053277507424,1.0,1.0,122201,40,0,0,86,-0.002638639966848988
D_graph_p0.1,44b6,71,71,0.8875465999716861,0.04424778761061947,5,87,21,0.9885509592005769,0.902092273081657,71,0.9065170518427189,18808,1365,1018,1980130,71.29476739699021,1.0,1.0,18783,25,0,0,43,-0.0060040912707467475
D_graph_p0.1,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,119.92439185921103,1.0,1.0,103418,0,0,0,0,0.0
D_graph_p0.1,pooled,199,199,0.8999712836220924,0.07419354838709677,23,159,128,0.9832109431769471,0.9024023769091043,199,0.909821731747814,122226,6928,6657,4133687,191.21915925620124,1.0,1.0,122201,25,0,0,43,-0.0019522824708283482
D_hgb_p0.02,44b6,71,71,0.8850044699571825,0.05806451612903226,9,129,17,0.9885509592005769,0.8995059161512977,71,0.905312367764201,18809,1427,1017,1980130,71.9714720142074,1.0,1.0,18781,28,2,1,106,-0.007208775349264673
D_hgb_p0.02,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,118.7423427561298,1.0,1.0,103418,0,0,0,0,0.0
D_hgb_p0.02,pooled,199,199,0.8995679789214929,0.07670454545454546,27,201,124,0.9832109431769471,0.9019976823025363,199,0.9096681368479909,122227,6990,6656,4133687,190.7138147703372,1.0,1.0,122199,28,2,1,106,-0.0021058773706514877
D_hgb_p0.05,44b6,71,71,0.8866465484722746,0.07964601769911504,9,87,17,0.9885509592005769,0.9011693815386201,71,0.9091339833085317,18804,1382,1022,1980130,71.76480097696185,1.0,1.0,18783,21,0,0,60,-0.0033871598049339813
D_hgb_p0.05,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,119.26175013696775,1.0,1.0,103418,0,0,0,0,0.0
D_hgb_p0.05,pooled,199,199,0.8998291957475631,0.08709677419354839,27,159,124,0.9832109431769471,0.9022582390611659,199,0.9109679164805207,122222,6945,6661,4133687,191.0265511139296,1.0,1.0,122201,21,0,0,60,-0.0008060977381216805
D_hgb_p0.1,44b6,71,71,0.887508854781582,0.07792207792207792,6,51,20,0.9885509592005769,0.9020458017900381,71,0.9098380095822459,18793,1349,1033,1980130,71.34537466987967,1.0,1.0,18783,10,0,0,27,-0.002683133531219739
D_hgb_p0.1,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,120.30496307183057,1.0,1.0,103418,0,0,0,0,0.0
D_hgb_p0.1,pooled,199,199,0.8999668618137634,0.08759124087591241,24,123,127,0.9832109431769471,0.9023951670122834,199,0.9111542910998747,122211,6912,6672,4133687,191.65033774171025,1.0,1.0,122201,10,0,0,27,-0.0006197231187676788
D_score_p0.02,44b6,71,71,0.8872017353579176,0.05384615384615385,7,104,19,0.9885509592005769,0.9017429299757025,71,0.9071275453603179,18814,1380,1012,1980130,71.5401530941017,1.0,1.0,18783,31,0,0,58,-0.005393597753147739
D_score_p0.02,6bba,128,128,0.9014328644222812,0.0891089108910891,36,279,89,0.9802489030388399,0.9016193465319808,128,0.9105302376210898,103489,5748,5568,2153557,121.37163205677643,1.0,1.0,103418,71,0,0,185,-0.0010665272683754168
D_score_p0.02,pooled,199,199,0.8992140341590018,0.08052434456928839,43,383,108,0.9832109431769471,0.9016386149037122,199,0.909691049360641,122303,7128,6580,4133687,192.91178515087813,1.0,1.0,122201,102,0,0,243,-0.0020829648580013016
D_score_p0.05,44b6,71,71,0.8879697471047033,0.08620689655172414,5,32,21,0.9885509592005769,0.9025145954544662,71,0.9111352851096386,18785,1329,1041,1980130,71.12699558585882,1.0,1.0,18783,2,0,0,7,-0.0013858580038270674
D_score_p0.05,6bba,128,128,0.9022715773679711,0.10599078341013825,23,92,102,0.9802489030388399,0.9024614206991586,128,0.9130604990401724,103431,5577,5626,2153557,123.14102036459371,1.0,1.0,103418,13,0,0,14,0.0014637341507072188
D_score_p0.05,pooled,199,199,0.900043449763972,0.10181818181818182,28,124,123,0.9832109431769471,0.9024697049633371,199,0.9126515231451553,122216,6906,6667,4133687,194.26801595045254,1.0,1.0,122201,15,0,0,21,0.0008775089265129488
D_score_p0.1,44b6,71,71,0.8882163797995082,0.09615384615384616,5,26,21,0.9885509592005769,0.902766246944152,71,0.9123816315595366,18784,1322,1042,1980130,71.1015955414623,1.0,1.0,18783,1,0,0,0,-0.00013951155392910586
D_score_p0.1,6bba,128,128,0.9022683650322806,0.09137055837563451,18,72,107,0.9802489030388399,0.9024597090519018,128,0.9115967648894652,103418,5563,5639,2153557,123.68522153934464,1.0,1.0,103418,0,0,0,0,0.0
D_score_p0.1,pooled,199,199,0.9000795474633198,0.09236947791164658,23,98,128,0.9832109431769471,0.902507457146779,199,0.9117444049379437,122202,6885,6681,4133687,194.78681708080694,1.0,1.0,122201,1,0,0,0,-2.9609280698617013e-05
D_temporal_p0.02,44b6,71,71,0.8853931527464259,0.0425531914893617,8,162,18,0.9885509592005769,0.8999091708395245,71,0.9041644899884607,18827,1438,999,1980130,71.70634978730232,1.0,1.0,18782,45,1,1,117,-0.008356653125004998
D_temporal_p0.02,6bba,128,128,0.9015490773493178,0.10752688172043011,40,247,85,0.9802489030388399,0.9017361978714554,128,0.9124888860434984,103478,5721,5579,2153557,124.72208394482732,1.0,1.0,103418,60,0,2,160,0.0008921211540332541
D_temporal_p0.02,pooled,199,199,0.899023830875759,0.08571428571428572,48,409,103,0.9832109431769471,0.9014506250130222,199,0.9100220535844508,122305,7159,6578,4133687,196.42843373212963,1.0,1.0,122200,105,1,3,277,-0.001751960634191585
D_temporal_p0.05,44b6,71,71,0.8871804546740873,0.06779661016949153,8,92,18,0.9885509592005769,0.9017167316730839,71,0.908496392690033,18810,1376,1016,1980130,71.49909258866683,1.0,1.0,18783,27,0,0,54,-0.004024750423432644
D_temporal_p0.05,6bba,128,128,0.9019419761591252,0.1067193675889328,27,128,98,0.9802489030388399,0.9021314465217426,128,0.9128033832806359,103432,5620,5625,2153557,124.28223382914439,1.0,1.0,103418,14,0,1,58,0.001206618391170755
D_temporal_p0.05,pooled,199,199,0.899638649092207,0.09433962264150944,35,220,116,0.9832109431769471,0.9020667361233641,199,0.911500698387515,122242,6996,6641,4133687,195.78132641781121,1.0,1.0,122201,41,0,1,112,-0.0002733158311273298
