variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,delta_v2
ADR_primary,44b6,71,71,0.8848086405259451,0.02857142857142857,10,324,16,0.9877230771590143,0.8994120987019447,71,0.9022692415590876,18842,1469,984,1972997,88.00615751324221,-0.029343145218243327
ADR_primary,6bba,128,128,0.9108956926046144,0.0631163708086785,32,382,93,0.9795863027486945,0.9115684789861151,128,0.917880116066983,103833,4933,5224,2136461,127.02178793726489,-0.01664513380254995
ADR_primary,pooled,199,199,0.9067893705880179,0.049008168028004666,42,706,109,0.9824893730156931,0.9096549622019083,199,0.9145557790047087,122675,6402,6208,4109458,215.0279454505071,-0.0196505359656316
AD_primary,44b6,71,71,0.8848140495867769,0.02849002849002849,10,325,16,0.9877569341470968,0.8994294946365519,71,0.9022784974855547,18843,1470,983,1972750,87.36296237260103,-0.02933388929177627
AD_primary,6bba,128,128,0.9109459850684727,0.0610236220472441,31,383,94,0.9795753914358454,0.911623302675214,128,0.9177256648799383,103836,4930,5221,2136193,128.2235947130248,-0.016799584989594663
AD_primary,pooled,199,199,0.9068323440491415,0.047729918509895226,41,708,110,0.982494434312724,0.909703775935037,199,0.9144767677860266,122679,6400,6204,4108943,215.58655708562583,-0.019729547184313745
A_hgb7_m1.5,44b6,71,71,0.9021999043519847,0.14583333333333334,7,22,19,0.9877569341470968,0.9170764742169302,71,0.9316598075502635,18865,1084,961,1972750,88.27164880512282,4.742077293251601e-05
A_hgb7_m1.5,6bba,128,128,0.9225529879631188,0.11282051282051282,22,70,103,0.9795753914358454,0.9232431985874817,128,0.934525249869533,104159,3846,4898,2136193,128.92386422585696,0.0
A_hgb7_m1.5,pooled,199,199,0.9193725572253817,0.11934156378600823,29,92,122,0.982494434312724,0.9222795686966023,199,0.9342137250752032,123024,4930,5859,4108943,217.19551303097978,7.410104862826117e-06
A_hgb7_m3.0,44b6,71,71,0.9021999043519847,0.14583333333333334,7,22,19,0.9877569341470968,0.9170764742169302,71,0.9316598075502635,18865,1084,961,1972750,87.72570160031319,4.742077293251601e-05
A_hgb7_m3.0,6bba,128,128,0.9225529879631188,0.11282051282051282,22,70,103,0.9795753914358454,0.9232431985874817,128,0.934525249869533,104159,3846,4898,2136193,130.28736575413495,0.0
A_hgb7_m3.0,pooled,199,199,0.9193725572253817,0.11934156378600823,29,92,122,0.982494434312724,0.9222795686966023,199,0.9342137250752032,123024,4930,5859,4108943,218.01306735444814,7.410104862826117e-06
A_residual_m1.5,44b6,71,71,0.9024098689872813,0.14583333333333334,7,22,19,0.9877569341470968,0.9172977102572896,71,0.9318810435906228,18873,1088,953,1972750,87.06252890499309,0.00026865681329191204
A_residual_m1.5,6bba,128,128,0.9232110457140328,0.11282051282051282,22,70,103,0.9795753914358454,0.9238983505037167,128,0.935180401785768,104309,3928,4748,2136193,130.4091068613343,0.0006551519162349972
A_residual_m1.5,pooled,199,199,0.9199620609563925,0.11934156378600823,29,92,122,0.982494434312724,0.9228673809661266,199,0.9348015373447275,123182,5016,5701,4108943,217.47163576632738,0.0005952223743871388
A_residual_m3.0,44b6,71,71,0.9022045813208359,0.14583333333333334,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,87.20672096125782,5.208194451089554e-05
A_residual_m3.0,6bba,128,128,0.9232492451543781,0.11282051282051282,22,70,103,0.9795753914358454,0.9239397328152761,128,0.9352217840973274,104269,3880,4788,2136193,129.26906937686726,0.0006965342277943654
A_residual_m3.0,pooled,199,199,0.9199614488076027,0.11934156378600823,29,92,122,0.982494434312724,0.9228682178819851,199,0.934802374260586,123135,4965,5748,4108943,216.47579033812508,0.000596059290245643
A_v2_transfer_m3.0,44b6,71,71,0.9021999043519847,0.14583333333333334,7,22,19,0.9877569341470968,0.9170764742169302,71,0.9316598075502635,18865,1084,961,1972750,87.65516230138019,4.742077293251601e-05
A_v2_transfer_m3.0,6bba,128,128,0.9225972737659761,0.11282051282051282,22,70,103,0.9795753914358454,0.9232877911332839,128,0.9345698424153351,104164,3846,4893,2136193,129.31385754374787,4.4592545802135675e-05
A_v2_transfer_m3.0,pooled,199,199,0.9194099228027173,0.11934156378600823,29,92,122,0.982494434312724,0.9223171930843577,199,0.9342513494629585,123029,4930,5854,4108943,216.96901984512806,4.503449261816783e-05
C_old_final_canonical,44b6,71,71,0.8822664072509847,0.1,5,24,21,0.9877569341470968,0.8969464670645597,71,0.9069464670645597,18592,1247,1234,1972750,84.94712561182678,-0.02466591971277121
C_old_final_canonical,6bba,128,128,0.8974728926197971,0.09137055837563451,18,72,107,0.9795753914358454,0.898144791202595,128,0.9072818470401585,102635,5303,6422,2136193,128.6399262305349,-0.02724340282937454
C_old_final_canonical,pooled,199,199,0.8951068055791425,0.0931174089068826,23,96,128,0.982494434312724,0.897958335282983,199,0.9072700761736713,121227,6550,7656,4108943,213.5870518423617,-0.026936238796669065
C_raw_neural_canonical,44b6,71,71,0.8976377952755905,0.0,0,0,26,0.9877569341470968,0.9124616034104087,71,0.9124616034104087,18696,1002,1130,1972750,85.00227030972019,-0.01915078336692222
C_raw_neural_canonical,6bba,128,128,0.922057974874595,0.0,0,0,125,0.9795753914358454,0.9227672341497691,128,0.9227672341497691,103856,3578,5201,2136193,127.17518131434917,-0.01175801571976387
C_raw_neural_canonical,pooled,199,199,0.9182470047878438,0.0,0,0,151,0.982494434312724,0.921158955622841,199,0.921158955622841,122552,4580,6331,4108943,212.17745162406936,-0.013047359347499343
C_v2_E_hgb_canonical,44b6,71,71,0.8892756663964523,0.1,5,24,21,0.9877569341470968,0.9040347070306062,71,0.9140347070306062,18649,1145,1177,1972750,85.35029941378161,-0.01757767974672475
C_v2_E_hgb_canonical,6bba,128,128,0.9039714742407475,0.09137055837563451,18,72,107,0.9795753914358454,0.9046560619039811,128,0.9137931177415445,102928,4805,6129,2136193,128.31572799477726,-0.020732132127988523
C_v2_E_hgb_canonical,pooled,199,199,0.9016857890872413,0.0931174089068826,23,96,128,0.982494434312724,0.9045594206288515,199,0.9138711615195398,121577,5950,7306,4108943,213.66602740855888,-0.020335153450800503
