dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
6bba_acd782a8,6bba,0.8854959447602776,311,21,19,0,1,0,19831,0.882980331280845,311,22,19,0,1,0,19831,-0.0025156134794326324,0,1,0,0,0,0,0
6bba_767a1e17,6bba,0.8032691624877709,577,60,81,0,1,0,47923,0.8010378592586382,577,62,81,0,1,0,47923,-0.002231303229132675,0,2,0,0,0,0,0
6bba_fc83837d,6bba,0.8558710269896562,836,60,87,0,1,0,12254,0.8541332177977989,836,62,87,0,1,0,12254,-0.0017378091918572869,0,2,0,0,0,0,0
6bba_07477033,6bba,0.97694662714824,595,10,7,0,1,0,4601,0.9753529132377208,595,11,7,0,1,0,4601,-0.0015937139105192122,0,1,0,0,0,0,0
6bba_05db0fb1,6bba,0.8785202883081356,1106,76,77,0,1,3,69764,0.8771269175098673,1106,78,77,0,1,3,69764,-0.0013933707982682897,0,2,0,0,0,0,0
6bba_6321a359,6bba,0.9816852019612206,784,5,14,0,0,1,4557,0.9804642004662438,784,6,14,0,0,1,4557,-0.0012210014949767256,0,1,0,0,0,0,0
6bba_1d0d8384,6bba,0.8775365890851026,1261,77,104,0,0,1,17283,0.8763211644464807,1261,79,104,0,0,1,17283,-0.001215424638621898,0,2,0,0,0,0,0
6bba_32db13fc,6bba,0.7473066495719265,685,93,126,0,2,1,44036,0.7464808963679797,685,94,126,0,2,1,44036,-0.000825753203946844,0,1,0,0,0,0,0
6bba_3a1849c2,6bba,0.9446413522533924,1108,38,34,0,1,0,6581,0.9438414865867936,1108,39,34,0,1,0,6581,-0.0007998656665988424,0,1,0,0,0,0,0
6bba_337b1b3a,6bba,0.9661176118874972,1193,26,20,1,1,1,29453,0.9653384847811364,1193,27,20,1,1,1,29453,-0.0007791271063608551,0,1,0,0,0,0,0
6bba_b329af44,6bba,0.8822204891882311,1178,62,90,0,1,1,64929,0.8815576638770454,1178,63,90,0,1,1,64929,-0.0006628253111857774,0,1,0,0,0,0,0
6bba_6feb10f0,6bba,0.7453243147901042,1112,99,231,0,0,0,11830,0.7449613369917686,1113,101,230,0,0,0,11830,-0.0003629777983356064,1,2,-1,0,0,0,0
6bba_a90a0b9c,6bba,0.6807673255702416,873,190,239,0,0,0,31250,0.6805018100952969,874,192,238,0,0,0,31250,-0.00026551547494468863,1,2,-1,0,0,0,0
6bba_786893ac,6bba,0.7189868737901336,1178,245,217,0,3,3,58409,0.718892517289828,1180,248,215,0,3,3,58409,-9.43565003056479e-05,2,3,-2,0,0,0,0
44b6_0113de3b,44b6,0.960391380314502,48,0,2,0,0,0,25650,0.960391380314502,48,0,2,0,0,0,25650,0.0,0,0,0,0,0,0,0
44b6_0b24845f,44b6,1.0167466382070436,49,1,0,0,1,0,20498,1.0167466382070436,49,1,0,0,1,0,20498,0.0,0,0,0,0,0,0,0
