dataset,embryo,variant,predicted_tp_pairs_lost,predicted_tp_pairs_new,predicted_tp_pairs_retained,fp_pairs_lost,fp_pairs_new,fp_pairs_retained,recovered_gt_edges_lost,recovered_gt_edges_new,recovered_gt_edges_retained
44b6_0113de3b,44b6,A_residual_m3.0,0,0,48,0,0,0,0,0,48
44b6_0b24845f,44b6,A_residual_m3.0,0,0,49,0,0,1,0,0,49
44b6_0c582fdc,44b6,A_residual_m3.0,0,0,67,0,0,4,0,0,67
44b6_0db75fae,44b6,A_residual_m3.0,0,0,149,0,0,0,0,0,149
44b6_12dfb391,44b6,A_residual_m3.0,0,0,737,0,0,33,0,0,737
44b6_144b256d,44b6,A_residual_m3.0,0,0,116,0,0,4,0,0,116
44b6_1574802b,44b6,A_residual_m3.0,0,0,144,0,0,8,0,0,144
44b6_18ced818,44b6,A_residual_m3.0,0,0,91,0,0,12,0,0,91
44b6_1d530831,44b6,A_residual_m3.0,0,0,244,0,0,33,0,0,244
44b6_24264f12,44b6,A_residual_m3.0,0,0,213,0,0,12,0,0,213
44b6_267148e4,44b6,A_residual_m3.0,0,0,260,0,0,24,0,0,260
44b6_2a2eff9f,44b6,A_residual_m3.0,0,0,198,0,0,20,0,0,198
44b6_2f31fc2f,44b6,A_residual_m3.0,0,0,65,0,0,36,0,0,65
44b6_33b596bf,44b6,A_residual_m3.0,0,0,49,0,0,0,0,0,49
44b6_341df25f,44b6,A_residual_m3.0,0,0,208,0,0,0,0,0,208
44b6_3a861e03,44b6,A_residual_m3.0,0,0,894,0,0,26,0,0,894
44b6_3bb3690f,44b6,A_residual_m3.0,0,0,371,0,0,34,0,0,371
44b6_40c45f5a,44b6,A_residual_m3.0,0,0,192,0,0,11,0,0,192
44b6_415c0a3a,44b6,A_residual_m3.0,0,0,312,0,0,12,0,0,312
44b6_53f95252,44b6,A_residual_m3.0,0,0,66,0,0,2,0,0,66
44b6_551a5dba,44b6,A_residual_m3.0,0,0,198,0,0,33,0,0,198
44b6_5740d24b,44b6,A_residual_m3.0,0,0,168,0,0,1,0,0,168
44b6_587a1e22,44b6,A_residual_m3.0,0,0,368,0,0,5,0,0,368
44b6_5f15d135,44b6,A_residual_m3.0,0,0,257,0,0,17,0,0,257
44b6_668e0cc7,44b6,A_residual_m3.0,0,1,616,0,1,20,0,1,616
44b6_66f9292d,44b6,A_residual_m3.0,0,0,197,0,0,2,0,0,197
44b6_706092f0,44b6,A_residual_m3.0,0,0,96,0,0,17,0,0,96
44b6_71a4179f,44b6,A_residual_m3.0,0,0,100,0,0,26,0,0,100
44b6_74d0c52e,44b6,A_residual_m3.0,0,0,133,0,0,6,0,0,133
44b6_7a302da0,44b6,A_residual_m3.0,0,0,490,0,0,24,0,0,490
44b6_7e557709,44b6,A_residual_m3.0,0,0,544,0,0,14,0,0,544
44b6_808952d6,44b6,A_residual_m3.0,0,0,179,0,0,0,0,0,179
44b6_81c256f0,44b6,A_residual_m3.0,0,0,197,0,0,0,0,0,197
44b6_87bba6c4,44b6,A_residual_m3.0,0,0,114,0,0,39,0,0,114
44b6_8cc6506c,44b6,A_residual_m3.0,0,0,386,0,0,6,0,0,386
44b6_8f5ab931,44b6,A_residual_m3.0,0,0,564,0,0,49,0,0,564
44b6_8f9ecab4,44b6,A_residual_m3.0,0,0,364,0,0,5,0,0,364
44b6_90724892,44b6,A_residual_m3.0,0,0,94,0,0,15,0,0,94
44b6_949adeb1,44b6,A_residual_m3.0,0,0,344,0,0,40,0,0,344
44b6_95029e92,44b6,A_residual_m3.0,0,0,198,0,0,0,0,0,198
44b6_97725144,44b6,A_residual_m3.0,0,0,218,0,0,4,0,0,218
44b6_996155de,44b6,A_residual_m3.0,0,0,370,0,0,2,0,0,370
44b6_9be80b04,44b6,A_residual_m3.0,0,0,207,0,0,17,0,0,207
44b6_9bfa6a0a,44b6,A_residual_m3.0,0,0,244,0,0,21,0,0,244
